# CREATED BY GENE DIAGNOSTICS TOOL on Fri Apr 10 00:12:52 2020
# diag: nrgsummary, run(s): 0021-0025, time window: 0-11.552773(1 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_nonlinGEM/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.9700E-04  3.2970E-03 -2.5835E-03 -4.7784E-08
  9.5800E-04  6.7111E-03 -4.6151E-03 -2.0605E-07
  1.4180E-03  1.0194E-02 -6.2832E-03 -3.8222E-07
  1.8770E-03  1.3481E-02 -7.8252E-03 -4.1350E-07
  2.3360E-03  1.6418E-02 -9.4491E-03 -1.0300E-07
  2.7960E-03  1.9199E-02 -1.1082E-02  4.3100E-07
  3.2550E-03  2.2035E-02 -1.2646E-02  1.8800E-07
  3.7150E-03  2.5190E-02 -1.3925E-02 -8.1700E-07
  4.1740E-03  2.8895E-02 -1.4630E-02 -1.3558E-06
  4.6330E-03  3.3251E-02 -1.4670E-02 -9.5000E-07
  5.0930E-03  3.7931E-02 -1.4077E-02 -1.4450E-07
  5.5520E-03  4.2718E-02 -1.3082E-02  1.3396E-06
  6.0180E-03  4.7097E-02 -1.2253E-02  2.9993E-06
  6.5010E-03  5.1338E-02 -1.1538E-02  3.4690E-06
  6.9830E-03  5.4993E-02 -1.1389E-02  3.3230E-06
  7.4650E-03  5.9094E-02 -1.1131E-02  2.9800E-06
  7.9470E-03  6.2845E-02 -1.1162E-02  4.4730E-06
  8.4300E-03  6.7204E-02 -1.0641E-02  1.6634E-05
  8.9120E-03  7.1182E-02 -1.0030E-02  3.4097E-05
  9.3940E-03  7.5166E-02 -9.0243E-03  5.6972E-05
  9.8770E-03  7.9315E-02 -7.5974E-03  8.7790E-05
  1.0359E-02  8.4505E-02 -5.2671E-03  1.2624E-04
  1.0849E-02  9.0276E-02 -2.7396E-03  1.5919E-04
  1.1355E-02  9.6660E-02  1.8019E-05  1.9437E-04
  1.1862E-02  1.0309E-01  2.5793E-03  2.2363E-04
  1.2368E-02  1.1066E-01  5.3910E-03  2.3387E-04
  1.2874E-02  1.1755E-01  7.7093E-03  2.4047E-04
  1.3381E-02  1.2308E-01  9.1508E-03  2.4769E-04
  1.3887E-02  1.2847E-01  1.0552E-02  2.6032E-04
  1.4394E-02  1.3366E-01  1.2195E-02  2.7620E-04
  1.4900E-02  1.3845E-01  1.3997E-02  3.0436E-04
  1.5407E-02  1.4440E-01  1.6578E-02  3.4418E-04
  1.5921E-02  1.5056E-01  1.9298E-02  3.8352E-04
  1.6452E-02  1.5678E-01  2.2049E-02  4.2514E-04
  1.6984E-02  1.6326E-01  2.4708E-02  4.5327E-04
  1.7516E-02  1.6894E-01  2.6978E-02  4.8304E-04
  1.8048E-02  1.7452E-01  2.9139E-02  5.0027E-04
  1.8579E-02  1.7882E-01  3.0568E-02  5.1127E-04
  1.9111E-02  1.8306E-01  3.2040E-02  5.2582E-04
  1.9643E-02  1.8661E-01  3.3220E-02  5.4804E-04
  2.0175E-02  1.8972E-01  3.4271E-02  5.8654E-04
  2.0706E-02  1.9236E-01  3.4947E-02  6.2518E-04
  2.1246E-02  1.9467E-01  3.5463E-02  6.5752E-04
  2.1805E-02  1.9704E-01  3.6165E-02  6.8625E-04
  2.2363E-02  1.9969E-01  3.7152E-02  7.2568E-04
  2.2921E-02  2.0193E-01  3.8071E-02  7.7248E-04
  2.3480E-02  2.0369E-01  3.8801E-02  8.2726E-04
  2.4038E-02  2.0580E-01  3.9558E-02  8.7978E-04
  2.4596E-02  2.0711E-01  4.0068E-02  9.2405E-04
  2.5155E-02  2.0829E-01  4.0346E-02  9.7777E-04
  2.5713E-02  2.0881E-01  4.0369E-02  1.0426E-03
  2.6271E-02  2.0931E-01  4.0471E-02  1.1146E-03
  2.6838E-02  2.1027E-01  4.0778E-02  1.1869E-03
  2.7424E-02  2.1009E-01  4.0598E-02  1.2772E-03
  2.8011E-02  2.0948E-01  4.0330E-02  1.3660E-03
  2.8597E-02  2.0909E-01  4.0252E-02  1.4608E-03
  2.9183E-02  2.0848E-01  4.0080E-02  1.5405E-03
  2.9769E-02  2.0751E-01  3.9922E-02  1.6172E-03
  3.0356E-02  2.0604E-01  3.9753E-02  1.6959E-03
  3.0942E-02  2.0451E-01  3.9640E-02  1.7566E-03
  3.1528E-02  2.0450E-01  4.0415E-02  1.8198E-03
  3.2114E-02  2.0487E-01  4.1350E-02  1.8835E-03
  3.2709E-02  2.0480E-01  4.2102E-02  1.9372E-03
