# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug 25 11:50:53 2020
# diag: spectra, run(s): 0017, time window: 0-139.27515(19 steps), species: neon
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
# kxind = -1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  ky         phi         n           Tpar        Tperp       qpar        qperp       upar      
  0.0000E+00  3.0052E+03  1.3441E+03  3.5847E+02  3.1155E+02  2.9064E+01  2.4753E+01  1.6022E+01
  5.0000E-02  4.5764E+00  4.8801E+02  1.8971E+02  1.0820E+01  7.0741E+00  3.4906E+00  3.4113E+00
  1.0000E-01  4.9074E+00  4.5697E+02  8.1877E+01  7.8207E+00  4.6250E+00  2.2361E+00  2.1815E+00
  1.5000E-01  9.8669E+00  4.8136E+02  6.9961E+01  9.7518E+00  5.8290E+00  2.8090E+00  2.7123E+00
  2.0000E-01  9.1277E+00  4.8305E+02  5.7175E+01  9.1456E+00  4.7876E+00  2.3184E+00  2.2189E+00
  2.5000E-01  7.0009E+00  4.5112E+02  4.9333E+01  7.5796E+00  3.7547E+00  1.7924E+00  1.7298E+00
  3.0000E-01  5.8846E+00  4.4410E+02  4.4395E+01  7.0097E+00  3.2467E+00  1.5695E+00  1.5057E+00
  3.5000E-01  4.9501E+00  4.4079E+02  4.0653E+01  6.8496E+00  2.8926E+00  1.4033E+00  1.3474E+00
  4.0000E-01  3.9139E+00  4.0999E+02  3.7156E+01  6.1445E+00  2.4562E+00  1.1802E+00  1.1408E+00
  4.5000E-01  2.7041E+00  3.9590E+02  3.4103E+01  5.5853E+00  2.0882E+00  1.0117E+00  9.7833E-01
  5.0000E-01  1.9719E+00  3.7376E+02  3.1809E+01  5.4969E+00  1.9047E+00  9.1848E-01  8.9268E-01
  5.5000E-01  1.5919E+00  3.5519E+02  3.0615E+01  5.2521E+00  1.7535E+00  8.4012E-01  8.2386E-01
  6.0000E-01  1.2867E+00  3.3199E+02  2.8549E+01  5.0673E+00  1.6565E+00  7.8933E-01  7.7535E-01
  6.5000E-01  1.0106E+00  3.0845E+02  2.7496E+01  5.0237E+00  1.5099E+00  7.1302E-01  7.0863E-01
  7.0000E-01  8.9640E-01  3.0191E+02  2.5884E+01  4.9225E+00  1.4383E+00  6.8221E-01  6.7723E-01
  7.5000E-01  7.6092E-01  2.8891E+02  2.4653E+01  4.9239E+00  1.3642E+00  6.4359E-01  6.4157E-01


# kyind = -1,z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  kx         phi         n           Tpar        Tperp       qpar        qperp       upar      
  0.0000E+00  1.0196E+01  3.0022E+02  1.1981E+02  7.9070E+00  4.8571E+00  2.4535E+00  2.3570E+00
  5.2590E-02  1.4117E+03  5.5345E+02  2.0658E+02  1.3185E+02  1.4316E+01  1.2139E+01  7.9934E+00
  1.0518E-01  8.1923E+01  3.9482E+02  8.8451E+01  2.5649E+01  6.7509E+00  3.4780E+00  3.1283E+00
  1.5777E-01  2.6290E+01  3.5130E+02  6.4625E+01  1.0364E+01  5.0283E+00  2.4297E+00  2.3081E+00
  2.1036E-01  9.3325E+00  3.0319E+02  5.0449E+01  5.9583E+00  3.5171E+00  1.7252E+00  1.6356E+00
  2.6295E-01  7.0435E+00  2.8227E+02  4.1827E+01  4.9071E+00  2.8864E+00  1.4130E+00  1.3388E+00
  3.1554E-01  3.8247E+00  2.4762E+02  3.0986E+01  3.9668E+00  2.2450E+00  1.0966E+00  1.0443E+00
  3.6813E-01  2.7969E+00  2.4151E+02  2.7269E+01  3.3296E+00  1.8079E+00  8.9748E-01  8.4686E-01
  4.2072E-01  2.4551E+00  2.2591E+02  2.3930E+01  3.0806E+00  1.4952E+00  7.3359E-01  6.9496E-01
  4.7331E-01  2.0629E+00  2.1724E+02  2.0992E+01  2.7883E+00  1.4049E+00  6.8924E-01  6.5426E-01
  5.2590E-01  1.7333E+00  2.0031E+02  2.0086E+01  2.5395E+00  1.2095E+00  5.8827E-01  5.6271E-01
  5.7849E-01  1.2096E+00  2.0075E+02  1.8324E+01  2.4363E+00  1.1269E+00  5.4947E-01  5.2390E-01
  6.3108E-01  1.0980E+00  1.8462E+02  1.6896E+01  2.2047E+00  1.0182E+00  4.9579E-01  4.7487E-01
  6.8368E-01  8.6119E-01  1.6921E+02  1.5019E+01  2.1023E+00  9.4916E-01  4.5867E-01  4.4005E-01
  7.3627E-01  7.6201E-01  1.6705E+02  1.4369E+01  2.0109E+00  9.1256E-01  4.4065E-01  4.2505E-01
  7.8886E-01  6.5351E-01  1.5345E+02  1.3558E+01  2.0045E+00  7.8629E-01  3.8090E-01  3.6690E-01
  8.4145E-01  5.4214E-01  1.4936E+02  1.2935E+01  1.8909E+00  7.5888E-01  3.6342E-01  3.5332E-01
  8.9404E-01  4.6919E-01  1.4008E+02  1.1755E+01  1.9173E+00  7.2971E-01  3.5018E-01  3.4065E-01
  9.4663E-01  4.0894E-01  1.3593E+02  1.1400E+01  1.8474E+00  6.9512E-01  3.3191E-01  3.2439E-01
  9.9922E-01  3.4244E-01  1.2681E+02  1.0801E+01  1.8235E+00  6.4029E-01  3.0505E-01  2.9887E-01
  1.0518E+00  3.0235E-01  1.2294E+02  1.0489E+01  1.7236E+00  5.8669E-01  2.8178E-01  2.7618E-01
  1.1044E+00  2.7627E-01  1.1807E+02  9.8865E+00  1.7248E+00  5.6793E-01  2.7061E-01  2.6711E-01
