# CREATED BY GENE DIAGNOSTICS TOOL on Thu Aug 13 14:06:23 2020
# diag: spectra, run(s): 0016, time window: 0-348.31466(48 steps), species: protons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
# kxind = -1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  ky         phi         n           Tpar        Tperp       qpar        qperp       upar      
  0.0000E+00  1.9952E+03  7.1231E+01  7.1517E+01  1.6570E+01  6.6119E+01  6.3550E+01  4.2385E+01
  5.0000E-02  5.3583E+00  3.1982E+01  5.5342E+01  4.8605E+00  1.2553E+01  6.6838E+00  6.4268E+00
  1.0000E-01  6.0961E+00  2.4776E+01  4.3379E+01  3.6580E+00  1.1587E+01  6.3331E+00  5.9663E+00
  1.5000E-01  1.0229E+01  2.4818E+01  4.3974E+01  4.4476E+00  1.3482E+01  7.7029E+00  7.1372E+00
  2.0000E-01  1.1846E+01  2.3125E+01  3.9887E+01  4.2822E+00  1.3218E+01  7.4666E+00  6.8813E+00
  2.5000E-01  8.8489E+00  1.9453E+01  3.0633E+01  3.2620E+00  1.0280E+01  5.6545E+00  5.2542E+00
  3.0000E-01  7.4531E+00  1.7790E+01  2.6402E+01  2.7527E+00  8.8636E+00  4.8089E+00  4.4929E+00
  3.5000E-01  5.4181E+00  1.6032E+01  2.2260E+01  2.2424E+00  7.1576E+00  3.7913E+00  3.5843E+00
  4.0000E-01  4.0593E+00  1.4189E+01  1.9174E+01  1.9047E+00  6.0609E+00  3.1178E+00  3.0000E+00
  4.5000E-01  2.9951E+00  1.3016E+01  1.6918E+01  1.6519E+00  5.1486E+00  2.5727E+00  2.5314E+00
  5.0000E-01  2.4145E+00  1.1987E+01  1.5043E+01  1.4624E+00  4.5227E+00  2.2305E+00  2.2270E+00
  5.5000E-01  1.8795E+00  1.1307E+01  1.4148E+01  1.3291E+00  4.0764E+00  1.9464E+00  1.9889E+00
  6.0000E-01  1.5479E+00  1.0508E+01  1.2850E+01  1.2133E+00  3.7385E+00  1.7485E+00  1.8175E+00
  6.5000E-01  1.3004E+00  1.0042E+01  1.2077E+01  1.1312E+00  3.4521E+00  1.5656E+00  1.6620E+00
  7.0000E-01  1.0974E+00  9.3326E+00  1.1258E+01  1.0782E+00  3.2412E+00  1.4408E+00  1.5551E+00
  7.5000E-01  9.1178E-01  8.8630E+00  1.0476E+01  1.0176E+00  3.0211E+00  1.3191E+00  1.4522E+00


