# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug 25 11:51:11 2020
# diag: spectra, run(s): 0018, time window: 0-159.81695(21 steps), species: tungsten
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
# kxind = -1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  ky         phi         n           Tpar        Tperp       qpar        qperp       upar      
  0.0000E+00  2.0274E+03  1.0339E+03  5.4531E+02  8.1862E+02  9.4949E+00  5.4528E+00  4.3797E+00
  5.0000E-02  5.8046E+00  4.7909E+02  1.2129E+02  2.8620E+01  2.4901E+00  1.1375E+00  1.1279E+00
  1.0000E-01  6.0019E+00  4.7473E+02  5.1933E+01  2.3539E+01  1.3282E+00  6.0681E-01  5.9988E-01
  1.5000E-01  6.6860E+00  4.7657E+02  4.3781E+01  2.3569E+01  1.2004E+00  5.5029E-01  5.4124E-01
  2.0000E-01  1.5078E+01  5.8476E+02  5.2461E+01  3.2672E+01  1.5833E+00  7.2877E-01  7.1161E-01
  2.5000E-01  8.2270E+00  4.8005E+02  3.9153E+01  2.4644E+01  1.0160E+00  4.6535E-01  4.5689E-01
  3.0000E-01  6.7545E+00  4.7181E+02  3.5681E+01  2.5011E+01  8.8933E-01  4.0826E-01  3.9996E-01
  3.5000E-01  5.2024E+00  4.3009E+02  3.0248E+01  2.1899E+01  7.3673E-01  3.3533E-01  3.3119E-01
  4.0000E-01  3.4181E+00  3.9301E+02  2.8120E+01  2.0894E+01  6.5435E-01  2.9889E-01  2.9503E-01
  4.5000E-01  2.2027E+00  3.6526E+02  2.5644E+01  2.0532E+01  5.7685E-01  2.6228E-01  2.5988E-01
  5.0000E-01  1.7638E+00  3.4474E+02  2.4723E+01  1.9987E+01  5.4985E-01  2.4965E-01  2.4769E-01
  5.5000E-01  1.1834E+00  3.2261E+02  2.2889E+01  1.9087E+01  4.9879E-01  2.2563E-01  2.2494E-01
  6.0000E-01  9.2077E-01  2.9982E+02  2.1974E+01  1.9151E+01  4.7294E-01  2.1344E-01  2.1345E-01
  6.5000E-01  7.8587E-01  2.8279E+02  2.0911E+01  1.9749E+01  4.5499E-01  2.0517E-01  2.0543E-01
  7.0000E-01  6.1590E-01  2.6591E+02  2.0043E+01  1.9413E+01  4.2480E-01  1.9055E-01  1.9168E-01
  7.5000E-01  5.0669E-01  2.5430E+02  1.9055E+01  1.9053E+01  4.0529E-01  1.8109E-01  1.8304E-01


# kyind = -1,z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
# sqrt(sum(<|n/n0|^2>)) = 0%
# sqrt(sum(<|Tpar/Tpar0|^2>)) = 0%
# sqrt(sum(<|Tperp/Tperp0|^2>)) = 0%
# sqrt(sum(<|qpar/qpar0|^2>)) = 0%
# sqrt(sum(<|qperp/qperp0|^2>)) = 0%
# sqrt(sum(<|upar/upar0|^2>)) = 0%
#  kx         phi         n           Tpar        Tperp       qpar        qperp       upar      
  0.0000E+00  1.3595E+01  3.3191E+02  6.9177E+01  1.8736E+01  1.7054E+00  7.8153E-01  7.6812E-01
  5.2590E-02  9.3500E+02  5.1497E+02  2.6553E+02  3.7282E+02  5.0749E+00  2.8743E+00  2.3510E+00
  1.0518E-01  7.4533E+01  3.9590E+02  8.3042E+01  4.5745E+01  1.8203E+00  8.4431E-01  8.0940E-01
  1.5777E-01  2.2067E+01  3.5515E+02  5.8172E+01  2.1348E+01  1.1616E+00  5.3554E-01  5.2156E-01
  2.1036E-01  1.2830E+01  3.3387E+02  3.8950E+01  1.5930E+01  9.7158E-01  4.4565E-01  4.3668E-01
  2.6295E-01  7.2940E+00  3.0388E+02  2.9837E+01  1.4994E+01  7.9746E-01  3.6822E-01  3.5949E-01
  3.1554E-01  4.4921E+00  2.8121E+02  2.3872E+01  1.2355E+01  5.8029E-01  2.6830E-01  2.6118E-01
  3.6813E-01  3.2567E+00  2.6766E+02  2.0038E+01  1.1509E+01  4.8908E-01  2.2591E-01  2.2031E-01
  4.2072E-01  2.3262E+00  2.3597E+02  1.7404E+01  1.0374E+01  4.1068E-01  1.8888E-01  1.8473E-01
  4.7331E-01  2.0395E+00  2.2075E+02  1.5133E+01  9.8036E+00  3.5738E-01  1.6481E-01  1.6073E-01
  5.2590E-01  1.5344E+00  2.1395E+02  1.4166E+01  9.1997E+00  3.4253E-01  1.5688E-01  1.5395E-01
  5.7849E-01  1.1032E+00  1.9245E+02  1.2439E+01  8.6148E+00  2.9733E-01  1.3670E-01  1.3386E-01
  6.3108E-01  8.2188E-01  1.8345E+02  1.1709E+01  8.1457E+00  2.6870E-01  1.2308E-01  1.2099E-01
  6.8368E-01  6.9710E-01  1.7000E+02  1.0790E+01  7.9796E+00  2.4837E-01  1.1369E-01  1.1191E-01
  7.3627E-01  5.7495E-01  1.6784E+02  9.9981E+00  7.6611E+00  2.4208E-01  1.1092E-01  1.0930E-01
  7.8886E-01  4.7734E-01  1.5698E+02  9.8150E+00  7.2410E+00  2.1651E-01  9.9064E-02  9.7680E-02
  8.4145E-01  3.7986E-01  1.4770E+02  8.8444E+00  7.1819E+00  2.0851E-01  9.5415E-02  9.4072E-02
  8.9404E-01  3.3724E-01  1.4037E+02  8.5374E+00  6.7653E+00  1.9738E-01  8.9883E-02  8.8959E-02
  9.4663E-01  2.9822E-01  1.3365E+02  7.9922E+00  6.8418E+00  1.8354E-01  8.3610E-02  8.2740E-02
  9.9922E-01  2.4711E-01  1.2595E+02  7.8645E+00  6.5860E+00  1.7802E-01  8.0726E-02  8.0307E-02
  1.0518E+00  2.0893E-01  1.1828E+02  7.1642E+00  6.3011E+00  1.6669E-01  7.5625E-02  7.5189E-02
  1.1044E+00  1.9092E-01  1.1077E+02  7.0951E+00  6.3148E+00  1.6428E-01  7.4606E-02  7.4308E-02
  1.1570E+00  1.7809E-01  1.0572E+02  6.8769E+00  6.1795E+00  1.5688E-01  7.1062E-02  7.0898E-02
  1.2096E+00  1.4525E-01  1.0073E+02  6.5070E+00  5.8461E+00  1.4678E-01  6.6247E-02  6.6306E-02
  1.2622E+00  1.2499E-01  9.4803E+01  6.2378E+00  5.7265E+00  1.4671E-01  6.6253E-02  6.6333E-02
  1.3148E+00  1.0864E-01  8.8310E+01  6.0794E+00  5.6678E+00  1.3977E-01  6.2969E-02  6.3196E-02
  1.3674E+00  9.6674E-02  8.4308E+01  5.8494E+00  5.3834E+00  1.3434E-01  6.0158E-02  6.0650E-02
  1.4199E+00  8.0899E-02  7.7151E+01  5.4893E+00  5.1738E+00  1.2828E-01  5.7683E-02  5.8105E-02
  1.4725E+00  7.3347E-02  7.5137E+01  5.6455E+00  5.1150E+00  1.2283E-01  5.4937E-02  5.5575E-02
  1.5251E+00  6.2617E-02  6.7923E+01  5.3416E+00  5.1584E+00  1.2016E-01  5.3696E-02  5.4402E-02
  1.5777E+00  5.8860E-02  6.5621E+01  5.2153E+00  5.0403E+00  1.1495E-01  5.1267E-02  5.2016E-02
  1.6303E+00  4.9885E-02  6.2950E+01  5.1019E+00  5.0628E+00  1.1345E-01  5.0459E-02  5.1384E-02
  1.6829E+00  4.4215E-02  5.9876E+01  4.9497E+00  4.9690E+00  1.0810E-01  4.7889E-02  4.8912E-02
  1.7355E+00  3.7339E-02  5.5977E+01  4.7790E+00  4.7764E+00  1.0209E-01  4.5155E-02  4.6248E-02
  1.7881E+00  3.6020E-02  5.3030E+01  4.6184E+00  4.7053E+00  1.0069E-01  4.4551E-02  4.5595E-02
  1.8407E+00  3.1048E-02  4.9957E+01  4.5957E+00  4.8054E+00  9.9374E-02  4.3833E-02  4.4992E-02
  1.8933E+00  2.7354E-02  4.8040E+01  4.4298E+00  4.6480E+00  9.8202E-02  4.3133E-02  4.4417E-02
  1.9458E+00  2.4172E-02  4.6052E+01  4.4349E+00  4.5990E+00  9.2273E-02  4.0561E-02  4.1835E-02
  1.9984E+00  2.2298E-02  4.3306E+01  4.3884E+00  4.7209E+00  9.2023E-02  4.0272E-02  4.1676E-02
  2.0510E+00  1.9484E-02  4.2160E+01  4.3203E+00  4.7393E+00  8.9772E-02  3.9129E-02  4.0665E-02
  2.1036E+00  1.8545E-02  4.0995E+01  4.0805E+00  4.8781E+00  8.9668E-02  3.9097E-02  4.0665E-02
  2.1562E+00  1.7377E-02  3.7631E+01  4.1076E+00  4.8616E+00  8.4407E-02  3.6693E-02  3.8265E-02
  2.2088E+00  1.4970E-02  3.6109E+01  4.1011E+00  4.9670E+00  8.6075E-02  3.7479E-02  3.9032E-02
  2.2614E+00  1.3635E-02  3.5705E+01  4.0249E+00  4.9884E+00  8.5710E-02  3.6986E-02  3.8839E-02
  2.3140E+00  1.3162E-02  3.4632E+01  3.9885E+00  5.2865E+00  8.6585E-02  3.7282E-02  3.9214E-02
  2.3666E+00  1.1994E-02  3.3403E+01  4.1897E+00  5.2789E+00  8.6335E-02  3.7152E-02  3.9091E-02
  2.4192E+00  1.1363E-02  3.3334E+01  4.1080E+00  5.5723E+00  8.7150E-02  3.7459E-02  3.9540E-02
  2.4717E+00  1.0912E-02  3.2904E+01  4.1131E+00  5.8964E+00  8.6904E-02  3.7156E-02  3.9371E-02
