# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:24:32 2020
# diag: nrgsummary, run(s): 0012-0013, time window: 0-93.852218(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3867E-02  1.7267E-01  2.5029E-01  1.9820E-05
  6.7734E-02  9.0359E-02  1.1905E-01 -9.7390E-06
  1.0160E-01  3.6713E-02  3.9924E-02 -1.7566E-05
  1.3547E-01  8.2207E-02  1.1072E-01 -8.1600E-06
  1.6933E-01  1.3113E-01  1.8411E-01  1.7131E-05
  2.0320E-01  1.3584E-01  1.9091E-01  2.9380E-05
  2.3707E-01  1.2260E-01  1.7251E-01  2.5832E-05
  2.7093E-01  1.3444E-01  1.9080E-01  2.0752E-05
  3.0480E-01  1.5783E-01  2.2376E-01  2.0388E-05
  3.3867E-01  1.7012E-01  2.3851E-01  2.5157E-05
  3.7254E-01  1.7159E-01  2.3619E-01  3.2940E-05
  4.0640E-01  1.7188E-01  2.3296E-01  3.7890E-05
  4.4027E-01  1.7898E-01  2.4050E-01  3.9263E-05
  4.7414E-01  1.8895E-01  2.5262E-01  5.3285E-05
  5.0800E-01  1.9584E-01  2.6025E-01  5.3608E-05
  5.4187E-01  2.0318E-01  2.6871E-01  6.0124E-05
  5.7574E-01  2.0725E-01  2.7270E-01  6.1029E-05
  6.0960E-01  2.1805E-01  2.8597E-01  5.8541E-05
  6.4347E-01  2.1625E-01  2.7730E-01  4.8790E-05
  6.7734E-01  2.1952E-01  2.7879E-01  5.0207E-05
  7.1121E-01  2.2512E-01  2.8290E-01  5.1986E-05
  7.4507E-01  2.3331E-01  2.9222E-01  4.8920E-05
  7.7894E-01  2.3483E-01  2.8884E-01  4.4548E-05
  8.1280E-01  2.2797E-01  2.7250E-01  4.5000E-05
  8.4667E-01  2.3594E-01  2.8300E-01  5.1168E-05
  8.8054E-01  2.4549E-01  2.9510E-01  5.6434E-05
  9.1441E-01  2.4004E-01  2.8312E-01  4.8619E-05
  9.4827E-01  2.3530E-01  2.7236E-01  5.1668E-05
  9.8214E-01  2.4418E-01  2.7985E-01  5.7402E-05
  1.0160E+00  2.5176E-01  2.8559E-01  6.1665E-05
  1.0499E+00  2.5436E-01  2.8665E-01  5.8065E-05
  1.0837E+00  2.4471E-01  2.6964E-01  5.2713E-05
  1.1176E+00  2.3831E-01  2.5762E-01  5.9830E-05
  1.1515E+00  2.4725E-01  2.6811E-01  6.8380E-05
  1.1853E+00  2.5579E-01  2.7736E-01  7.1330E-05
  1.2192E+00  2.5641E-01  2.7517E-01  6.0300E-05
  1.2531E+00  2.4824E-01  2.6074E-01  5.7480E-05
  1.2869E+00  2.4045E-01  2.4837E-01  5.7270E-05
  1.3208E+00  2.3967E-01  2.4694E-01  5.0340E-05
  1.3547E+00  2.5055E-01  2.5930E-01  5.3260E-05
  1.3885E+00  2.5796E-01  2.6333E-01  5.4300E-05
  1.4224E+00  2.5390E-01  2.5377E-01  4.8330E-05
  1.4563E+00  2.5098E-01  2.4750E-01  5.4450E-05
  1.4901E+00  2.4681E-01  2.3827E-01  6.8440E-05
  1.5240E+00  2.4491E-01  2.3402E-01  4.8600E-05
  1.5579E+00  2.4832E-01  2.3888E-01  3.3280E-05
  1.5917E+00  2.5518E-01  2.4636E-01  4.1550E-05
  1.6256E+00  2.4984E-01  2.3679E-01  4.5720E-05
  1.6595E+00  2.4711E-01  2.3210E-01  4.0670E-05
  1.6933E+00  2.4901E-01  2.3224E-01  4.1920E-05
  1.7272E+00  2.5076E-01  2.3142E-01  4.3530E-05
  1.7611E+00  2.5019E-01  2.2786E-01  3.5570E-05
  1.7949E+00  2.5013E-01  2.2720E-01  3.6770E-05
  1.8288E+00  2.5306E-01  2.3095E-01  4.1990E-05
  1.8627E+00  2.5589E-01  2.3313E-01  4.6230E-05
  1.8965E+00  2.5382E-01  2.2840E-01  5.1130E-05
  1.9304E+00  2.5327E-01  2.2588E-01  5.3240E-05
  1.9643E+00  2.5377E-01  2.2383E-01  5.1180E-05
  1.9981E+00  2.4928E-01  2.1426E-01  3.9430E-05
  2.0320E+00  2.4868E-01  2.1278E-01  3.5240E-05
  2.0659E+00  2.5162E-01  2.1665E-01  3.3270E-05
  2.0997E+00  2.5567E-01  2.2219E-01  3.0580E-05
  2.1336E+00  2.5702E-01  2.2280E-01  3.6200E-05
  2.1675E+00  2.5648E-01  2.1929E-01  4.7200E-05
  2.2013E+00  2.6118E-01  2.2368E-01  4.9290E-05
  2.2352E+00  2.6435E-01  2.2512E-01  5.0590E-05
  2.2691E+00  2.6390E-01  2.2089E-01  5.5940E-05
  2.3029E+00  2.6540E-01  2.2073E-01  4.9390E-05
  2.3368E+00  2.6648E-01  2.2038E-01  4.2610E-05
  2.3707E+00  2.6946E-01  2.2383E-01  3.4280E-05
  2.4045E+00  2.7342E-01  2.2817E-01  2.5390E-05
  2.4384E+00  2.7465E-01  2.2791E-01  2.0760E-05
  2.4723E+00  2.7577E-01  2.2758E-01  2.3910E-05
  2.5062E+00  2.7995E-01  2.3132E-01  2.9390E-05
  2.5400E+00  2.8383E-01  2.3414E-01  3.4190E-05
  2.5739E+00  2.8662E-01  2.3427E-01  3.5510E-05
  2.6078E+00  2.9025E-01  2.3546E-01  4.0900E-05
  2.6416E+00  2.9407E-01  2.3870E-01  4.7350E-05
  2.6755E+00  2.9860E-01  2.4322E-01  5.6310E-05
  2.7094E+00  3.0392E-01  2.4719E-01  6.5190E-05
  2.7432E+00  3.0602E-01  2.4567E-01  6.9640E-05
  2.7771E+00  3.0799E-01  2.4540E-01  7.6450E-05
  2.8110E+00  3.1329E-01  2.5017E-01  9.0160E-05
  2.8448E+00  3.1818E-01  2.5340E-01  1.0929E-04
  2.8787E+00  3.2187E-01  2.5485E-01  1.3465E-04
  2.9126E+00  3.2833E-01  2.5994E-01  1.6105E-04
  2.9464E+00  3.3325E-01  2.6250E-01  1.8453E-04
  2.9803E+00  3.3766E-01  2.6444E-01  1.9844E-04
  3.0142E+00  3.4204E-01  2.6617E-01  2.1079E-04
  3.0480E+00  3.4630E-01  2.6703E-01  2.2431E-04
  3.0819E+00  3.5223E-01  2.6962E-01  2.3263E-04
  3.1158E+00  3.5736E-01  2.7172E-01  2.3968E-04
  3.1496E+00  3.6233E-01  2.7386E-01  2.4600E-04
  3.1835E+00  3.6955E-01  2.7853E-01  2.4906E-04
  3.2174E+00  3.7605E-01  2.8216E-01  2.5038E-04
  3.2512E+00  3.8138E-01  2.8437E-01  2.5460E-04
  3.2851E+00  3.8819E-01  2.8900E-01  2.5815E-04
  3.3190E+00  3.9633E-01  2.9508E-01  2.6107E-04
  3.3528E+00  4.0421E-01  3.0072E-01  2.6106E-04
  3.3867E+00  4.1231E-01  3.0690E-01  2.6168E-04
  3.4206E+00  4.2349E-01  3.1742E-01  2.6280E-04
  3.4544E+00  4.3526E-01  3.2833E-01  2.6160E-04
  3.4883E+00  4.4540E-01  3.3672E-01  2.6234E-04
  3.5222E+00  4.5685E-01  3.4714E-01  2.6493E-04
  3.5560E+00  4.7059E-01  3.6017E-01  2.6797E-04
  3.5899E+00  4.8236E-01  3.6947E-01  2.7608E-04
  3.6238E+00  4.9306E-01  3.7715E-01  2.9015E-04
  3.6576E+00  5.0566E-01  3.8713E-01  3.1142E-04
  3.6915E+00  5.1845E-01  3.9659E-01  3.4234E-04
  3.7254E+00  5.2921E-01  4.0284E-01  3.7987E-04
  3.7592E+00  5.3846E-01  4.0715E-01  4.2024E-04
  3.7931E+00  5.4806E-01  4.1156E-01  4.5974E-04
  3.8270E+00  5.5772E-01  4.1485E-01  4.9227E-04
  3.8608E+00  5.6799E-01  4.1909E-01  5.1325E-04
  3.8947E+00  5.7921E-01  4.2491E-01  5.2515E-04
  3.9286E+00  5.8988E-01  4.2960E-01  5.2453E-04
  3.9624E+00  6.0136E-01  4.3578E-01  5.1817E-04
  3.9963E+00  6.1462E-01  4.4459E-01  5.0976E-04
  4.0302E+00  6.2966E-01  4.5576E-01  5.0108E-04
  4.0640E+00  6.4488E-01  4.6645E-01  4.9613E-04
  4.0979E+00  6.6001E-01  4.7696E-01  4.9828E-04
  4.1318E+00  6.7570E-01  4.8810E-01  5.0604E-04
  4.1656E+00  6.9263E-01  5.0062E-01  5.1579E-04
  4.1995E+00  7.1040E-01  5.1418E-01  5.2559E-04
  4.2334E+00  7.2927E-01  5.2904E-01  5.3394E-04
  4.2672E+00  7.4922E-01  5.4528E-01  5.4348E-04
  4.3011E+00  7.6967E-01  5.6193E-01  5.5855E-04
  4.3350E+00  7.9176E-01  5.8047E-01  5.7523E-04
  4.3688E+00  8.1472E-01  5.9972E-01  5.9456E-04
  4.4027E+00  8.3813E-01  6.1899E-01  6.1278E-04
  4.4366E+00  8.6191E-01  6.3775E-01  6.2857E-04
  4.4704E+00  8.8606E-01  6.5638E-01  6.4632E-04
  4.5043E+00  9.1026E-01  6.7424E-01  6.6368E-04
  4.5382E+00  9.3399E-01  6.9074E-01  6.8226E-04
  4.5720E+00  9.5758E-01  7.0621E-01  7.0273E-04
  4.6059E+00  9.8141E-01  7.2128E-01  7.2292E-04
  4.6398E+00  1.0061E+00  7.3715E-01  7.4181E-04
  4.6736E+00  1.0321E+00  7.5455E-01  7.5791E-04
  4.7075E+00  1.0586E+00  7.7297E-01  7.7088E-04
  4.7414E+00  1.0859E+00  7.9290E-01  7.7952E-04
  4.7752E+00  1.1158E+00  8.1665E-01  7.8288E-04
  4.8091E+00  1.1479E+00  8.4357E-01  7.8906E-04
  4.8430E+00  1.1808E+00  8.7096E-01  8.0470E-04
  4.8768E+00  1.2141E+00  8.9830E-01  8.2658E-04
  4.9107E+00  1.2473E+00  9.2414E-01  8.6473E-04
  4.9446E+00  1.2802E+00  9.4830E-01  9.1582E-04
  4.9784E+00  1.3132E+00  9.7131E-01  9.6751E-04
  5.0123E+00  1.3453E+00  9.9229E-01  1.0139E-03
  5.0462E+00  1.3777E+00  1.0135E+00  1.0468E-03
  5.0800E+00  1.4119E+00  1.0380E+00  1.0561E-03
