# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 13:27:45 2020
# diag: nrgsummary, run(s): 0012-0013, time window: 0-97.863777(1 steps), species: argon
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3867E-02  1.7955E-04  2.6803E-05  5.6912E-07
  6.7734E-02  1.0142E-04  1.4597E-05  5.4301E-07
  1.0160E-01  5.0954E-05  6.7690E-06  7.7071E-07
  1.3547E-01  1.0144E-04  1.4277E-05  6.6437E-07
  1.6933E-01  1.5484E-04  2.1746E-05  4.6309E-07
  2.0320E-01  1.6316E-04  2.2208E-05 -5.9440E-08
  2.3707E-01  1.5187E-04  1.9958E-05 -1.6962E-06
  2.7093E-01  1.6467E-04  2.1607E-05 -3.3997E-06
  3.0480E-01  1.8856E-04  2.4812E-05 -5.6297E-06
  3.3867E-01  2.0141E-04  2.6176E-05 -9.4035E-06
  3.7254E-01  2.0362E-04  2.5883E-05 -1.5077E-05
  4.0640E-01  2.0482E-04  2.5498E-05 -2.0802E-05
  4.4027E-01  2.1292E-04  2.6148E-05 -2.9390E-05
  4.7414E-01  2.2349E-04  2.7060E-05 -3.7150E-05
  5.0800E-01  2.2967E-04  2.7424E-05 -4.5558E-05
  5.4187E-01  2.3625E-04  2.7844E-05 -5.6869E-05
  5.7574E-01  2.3820E-04  2.7635E-05 -6.8081E-05
  6.0960E-01  2.4577E-04  2.8276E-05 -8.2489E-05
  6.4347E-01  2.4148E-04  2.6877E-05 -9.3837E-05
  6.7734E-01  2.4022E-04  2.6071E-05 -1.0936E-04
  7.1121E-01  2.4426E-04  2.6175E-05 -1.2709E-04
  7.4507E-01  2.4824E-04  2.6569E-05 -1.3755E-04
  7.7894E-01  2.4327E-04  2.4912E-05 -1.5826E-04
  8.1280E-01  2.3302E-04  2.2492E-05 -1.7948E-04
  8.4667E-01  2.3742E-04  2.2779E-05 -2.0026E-04
  8.8054E-01  2.4268E-04  2.2917E-05 -2.1521E-04
  9.1441E-01  2.3242E-04  2.0750E-05 -2.4165E-04
  9.4827E-01  2.2114E-04  1.8466E-05 -2.6565E-04
  9.8214E-01  2.2200E-04  1.7888E-05 -2.7931E-04
  1.0160E+00  2.2393E-04  1.7503E-05 -3.0171E-04
  1.0499E+00  2.2123E-04  1.6469E-05 -3.2693E-04
  1.0837E+00  2.0613E-04  1.3393E-05 -3.5086E-04
  1.1176E+00  1.9392E-04  1.1000E-05 -3.5866E-04
  1.1515E+00  1.9436E-04  1.0668E-05 -3.8887E-04
  1.1853E+00  1.9640E-04  1.0106E-05 -4.1942E-04
  1.2192E+00  1.9241E-04  8.4449E-06 -4.5521E-04
  1.2531E+00  1.8053E-04  5.9435E-06 -4.6625E-04
  1.2869E+00  1.6850E-04  3.8130E-06 -4.8183E-04
  1.3208E+00  1.6208E-04  2.6114E-06 -4.7392E-04
  1.3547E+00  1.5954E-04  1.3689E-06 -4.9753E-04
  1.3885E+00  1.5768E-04 -5.6075E-08 -5.3558E-04
  1.4224E+00  1.4955E-04 -1.9401E-06 -5.5593E-04
  1.4563E+00  1.3840E-04 -4.2607E-06 -5.8101E-04
  1.4901E+00  1.2754E-04 -6.7194E-06 -6.0449E-04
  1.5240E+00  1.1923E-04 -8.6348E-06 -6.1057E-04
  1.5579E+00  1.1315E-04 -1.0211E-05 -6.0394E-04
