# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:24:32 2020
# diag: nrgsummary, run(s): 0012-0013, time window: 0-93.852218(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3867E-02  1.6998E-01  2.5296E-01  9.0553E-05
  6.7734E-02  8.8837E-02  1.4934E-01  3.1810E-05
  1.0160E-01  3.5948E-02  7.1789E-02  2.4376E-05
  1.3547E-01  8.0685E-02  1.3499E-01  3.7400E-05
  1.6933E-01  1.2880E-01  2.1761E-01  4.8370E-05
  2.0320E-01  1.3339E-01  2.4321E-01 -1.3358E-05
  2.3707E-01  1.2032E-01  2.3709E-01 -2.2118E-04
  2.7093E-01  1.3198E-01  2.6106E-01 -3.5856E-04
  3.0480E-01  1.5501E-01  3.0484E-01 -4.9442E-04
  3.3867E-01  1.6710E-01  3.3697E-01 -8.3523E-04
  3.7254E-01  1.6854E-01  3.5541E-01 -1.3867E-03
  4.0640E-01  1.6881E-01  3.7061E-01 -1.9432E-03
  4.4027E-01  1.7578E-01  3.9537E-01 -2.8886E-03
  4.7414E-01  1.8559E-01  4.2690E-01 -3.5394E-03
  5.0800E-01  1.9239E-01  4.5384E-01 -4.3224E-03
  5.4187E-01  1.9964E-01  4.7962E-01 -5.4687E-03
  5.7574E-01  2.0367E-01  5.0138E-01 -6.5787E-03
  6.0960E-01  2.1436E-01  5.3483E-01 -8.1130E-03
  6.4347E-01  2.1263E-01  5.5637E-01 -9.2851E-03
  6.7734E-01  2.1591E-01  5.8065E-01 -1.0698E-02
  7.1121E-01  2.2145E-01  6.0244E-01 -1.2585E-02
  7.4507E-01  2.2959E-01  6.2888E-01 -1.3290E-02
  7.7894E-01  2.3117E-01  6.6301E-01 -1.5668E-02
  8.1280E-01  2.2447E-01  6.7734E-01 -1.8017E-02
  8.4667E-01  2.3238E-01  7.0293E-01 -1.9809E-02
  8.8054E-01  2.4185E-01  7.3862E-01 -2.1121E-02
  9.1441E-01  2.3656E-01  7.5317E-01 -2.3881E-02
  9.4827E-01  2.3199E-01  7.7130E-01 -2.5959E-02
  9.8214E-01  2.4084E-01  8.0964E-01 -2.7398E-02
  1.0160E+00  2.4840E-01  8.4010E-01 -2.9654E-02
  1.0499E+00  2.5104E-01  8.6790E-01 -3.1749E-02
  1.0837E+00  2.4162E-01  8.8423E-01 -3.3580E-02
  1.1176E+00  2.3540E-01  8.9401E-01 -3.3435E-02
  1.1515E+00  2.4433E-01  9.2563E-01 -3.6605E-02
  1.1853E+00  2.5284E-01  9.6816E-01 -3.9940E-02
  1.2192E+00  2.5353E-01  1.0048E+00 -4.3923E-02
  1.2531E+00  2.4554E-01  1.0159E+00 -4.4172E-02
  1.2869E+00  2.3793E-01  1.0169E+00 -4.4024E-02
  1.3208E+00  2.3725E-01  1.0282E+00 -4.1479E-02
  1.3547E+00  2.4816E-01  1.0837E+00 -4.4405E-02
  1.3885E+00  2.5559E-01  1.1342E+00 -4.8709E-02
  1.4224E+00  2.5165E-01  1.1503E+00 -5.0437E-02
  1.4563E+00  2.4891E-01  1.1700E+00 -5.2445E-02
  1.4901E+00  2.4490E-01  1.1856E+00 -5.2115E-02
  1.5240E+00  2.4313E-01  1.2073E+00 -5.1452E-02
  1.5579E+00  2.4663E-01  1.2432E+00 -5.1375E-02
  1.5917E+00  2.5352E-01  1.2851E+00 -5.3661E-02
  1.6256E+00  2.4834E-01  1.3054E+00 -5.2772E-02
  1.6595E+00  2.4575E-01  1.3282E+00 -5.2861E-02
  1.6933E+00  2.4775E-01  1.3605E+00 -5.3926E-02
  1.7272E+00  2.4960E-01  1.3959E+00 -5.4987E-02
  1.7611E+00  2.4915E-01  1.4249E+00 -5.5406E-02
  1.7949E+00  2.4919E-01  1.4500E+00 -5.4743E-02
  1.8288E+00  2.5220E-01  1.4844E+00 -5.4096E-02
  1.8627E+00  2.5514E-01  1.5268E+00 -5.4942E-02
  1.8965E+00  2.5321E-01  1.5583E+00 -5.5970E-02
  1.9304E+00  2.5279E-01  1.5905E+00 -5.4699E-02
  1.9643E+00  2.5343E-01  1.6319E+00 -5.5192E-02
  1.9981E+00  2.4910E-01  1.6575E+00 -5.5161E-02
  2.0320E+00  2.4860E-01  1.6807E+00 -5.3093E-02
  2.0659E+00  2.5163E-01  1.7136E+00 -5.2211E-02
  2.0997E+00  2.5577E-01  1.7524E+00 -5.2023E-02
  2.1336E+00  2.5726E-01  1.7897E+00 -5.1924E-02
  2.1675E+00  2.5687E-01  1.8239E+00 -5.1205E-02
  2.2013E+00  2.6167E-01  1.8687E+00 -5.1144E-02
  2.2352E+00  2.6498E-01  1.9197E+00 -5.1389E-02
  2.2691E+00  2.6471E-01  1.9615E+00 -5.0143E-02
  2.3029E+00  2.6633E-01  2.0024E+00 -4.8727E-02
  2.3368E+00  2.6756E-01  2.0439E+00 -4.7832E-02
  2.3707E+00  2.7068E-01  2.0872E+00 -4.6844E-02
  2.4045E+00  2.7476E-01  2.1341E+00 -4.6284E-02
  2.4384E+00  2.7614E-01  2.1788E+00 -4.4819E-02
  2.4723E+00  2.7744E-01  2.2222E+00 -4.2108E-02
  2.5062E+00  2.8176E-01  2.2715E+00 -4.0314E-02
  2.5400E+00  2.8582E-01  2.3252E+00 -3.9770E-02
  2.5739E+00  2.8882E-01  2.3891E+00 -3.9057E-02
  2.6078E+00  2.9259E-01  2.4450E+00 -3.7228E-02
  2.6416E+00  2.9651E-01  2.4979E+00 -3.4758E-02
  2.6755E+00  3.0122E-01  2.5595E+00 -3.2270E-02
