# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:23:00 2020
# diag: nrgsummary, run(s): 0004-0005, time window: 0-94.858774(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3656E-02  1.7522E-01  2.5366E-01  1.5822E-05
  6.7311E-02  9.0736E-02  1.1908E-01 -1.9278E-05
  1.0097E-01  3.6449E-02  3.9138E-02 -2.7701E-05
  1.3462E-01  8.2752E-02  1.1112E-01 -1.4332E-05
  1.6828E-01  1.3255E-01  1.8578E-01  1.4123E-05
  2.0193E-01  1.3782E-01  1.9349E-01  2.8039E-05
  2.3559E-01  1.2451E-01  1.7508E-01  2.3660E-05
  2.6924E-01  1.3644E-01  1.9348E-01  1.8840E-05
  3.0290E-01  1.6008E-01  2.2674E-01  2.0420E-05
  3.3656E-01  1.7247E-01  2.4155E-01  2.7224E-05
  3.7021E-01  1.7372E-01  2.3878E-01  3.6052E-05
  4.0387E-01  1.7351E-01  2.3473E-01  4.1705E-05
  4.3752E-01  1.8060E-01  2.4222E-01  4.3773E-05
  4.7118E-01  1.9106E-01  2.5514E-01  5.7871E-05
  5.0483E-01  1.9794E-01  2.6278E-01  5.7504E-05
  5.3849E-01  2.0600E-01  2.7226E-01  6.3548E-05
  5.7214E-01  2.0969E-01  2.7551E-01  6.2347E-05
  6.0580E-01  2.1987E-01  2.8792E-01  5.9524E-05
  6.3946E-01  2.1800E-01  2.7905E-01  4.7578E-05
  6.7311E-01  2.2125E-01  2.8031E-01  4.6220E-05
  7.0677E-01  2.2743E-01  2.8510E-01  5.1072E-05
  7.4042E-01  2.3418E-01  2.9227E-01  4.5989E-05
  7.7408E-01  2.3656E-01  2.9051E-01  4.4360E-05
  8.0774E-01  2.2928E-01  2.7319E-01  4.5187E-05
  8.4139E-01  2.3712E-01  2.8325E-01  5.2307E-05
  8.7505E-01  2.4839E-01  2.9802E-01  5.8323E-05
  9.0870E-01  2.4174E-01  2.8421E-01  5.2829E-05
  9.4236E-01  2.3540E-01  2.7131E-01  5.5113E-05
  9.7601E-01  2.4444E-01  2.7937E-01  5.9555E-05
  1.0097E+00  2.5317E-01  2.8650E-01  6.5742E-05
  1.0433E+00  2.5585E-01  2.8753E-01  6.3226E-05
  1.0770E+00  2.4685E-01  2.7157E-01  5.7756E-05
  1.1106E+00  2.3847E-01  2.5663E-01  6.1750E-05
  1.1443E+00  2.4665E-01  2.6598E-01  7.0220E-05
  1.1779E+00  2.5623E-01  2.7681E-01  7.3210E-05
  1.2116E+00  2.5845E-01  2.7684E-01  6.1710E-05
  1.2453E+00  2.5045E-01  2.6248E-01  5.7070E-05
  1.2789E+00  2.4245E-01  2.4982E-01  5.8890E-05
  1.3126E+00  2.3986E-01  2.4601E-01  4.7410E-05
  1.3462E+00  2.4955E-01  2.5735E-01  4.9900E-05
  1.3799E+00  2.5897E-01  2.6429E-01  5.0870E-05
