# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 13:26:18 2020
# diag: nrgsummary, run(s): 0004-0005, time window: 0-94.858774(1 steps), species: beryllium
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3656E-02  1.8202E-04  2.7153E-05  1.6432E-07
  6.7311E-02  1.0170E-04  1.4605E-05  1.6125E-07
  1.0097E-01  5.0617E-05  6.6976E-06  2.1388E-07
  1.3462E-01  1.0200E-04  1.4354E-05  1.7605E-07
  1.6828E-01  1.5648E-04  2.1973E-05  1.2731E-07
  2.0193E-01  1.6566E-04  2.2563E-05 -2.8754E-08
  2.3559E-01  1.5458E-04  2.0363E-05 -4.5928E-07
  2.6924E-01  1.6770E-04  2.2088E-05 -8.7011E-07
  3.0290E-01  1.9204E-04  2.5371E-05 -1.4315E-06
  3.3656E-01  2.0524E-04  2.6786E-05 -2.4261E-06
  3.7021E-01  2.0750E-04  2.6490E-05 -3.9760E-06
  4.0387E-01  2.0855E-04  2.6078E-05 -5.5347E-06
  4.3752E-01  2.1696E-04  2.6755E-05 -7.8448E-06
  4.7118E-01  2.2810E-04  2.7767E-05 -9.7366E-06
  5.0483E-01  2.3442E-04  2.8136E-05 -1.2086E-05
  5.3849E-01  2.4167E-04  2.8678E-05 -1.5035E-05
  5.7214E-01  2.4313E-04  2.8398E-05 -1.7864E-05
  6.0580E-01  2.5011E-04  2.8944E-05 -2.1769E-05
  6.3946E-01  2.4572E-04  2.7510E-05 -2.4734E-05
  6.7311E-01  2.4418E-04  2.6711E-05 -2.8677E-05
  7.0677E-01  2.4881E-04  2.6864E-05 -3.3646E-05
  7.4042E-01  2.5173E-04  2.7091E-05 -3.6224E-05
  7.7408E-01  2.4710E-04  2.5526E-05 -4.1684E-05
  8.0774E-01  2.3636E-04  2.2989E-05 -4.7346E-05
  8.4139E-01  2.4058E-04  2.3275E-05 -5.3021E-05
  8.7505E-01  2.4725E-04  2.3640E-05 -5.6806E-05
  9.0870E-01  2.3596E-04  2.1254E-05 -6.3914E-05
  9.4236E-01  2.2335E-04  1.8778E-05 -7.0270E-05
  9.7601E-01  2.2437E-04  1.8245E-05 -7.4360E-05
  1.0097E+00  2.2699E-04  1.7963E-05 -7.9903E-05
  1.0433E+00  2.2447E-04  1.6998E-05 -8.6273E-05
  1.0770E+00  2.0946E-04  1.3910E-05 -9.3681E-05
  1.1106E+00  1.9557E-04  1.1227E-05 -9.4985E-05
  1.1443E+00  1.9530E-04  1.0823E-05 -1.0299E-04
  1.1779E+00  1.9822E-04  1.0462E-05 -1.1061E-04
  1.2116E+00  1.9520E-04  8.8884E-06 -1.2131E-04
  1.2453E+00  1.8341E-04  6.2739E-06 -1.2424E-04
  1.2789E+00  1.7080E-04  4.0203E-06 -1.2880E-04
  1.3126E+00  1.6308E-04  2.6602E-06 -1.2682E-04
