# CREATED BY GENE DIAGNOSTICS TOOL on Wed Jun 24 14:02:09 2020
# diag: nrgsummary, run(s): 0014-0015, time window: 0-93.212002(1 steps), species: custom
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3655E-02  1.8224E-04  2.7191E-05  2.5061E-07
  6.7311E-02  1.0156E-04  1.4598E-05  2.7573E-07
  1.0097E-01  5.0687E-05  6.7156E-06  3.7103E-07
  1.3462E-01  1.0227E-04  1.4392E-05  3.0845E-07
  1.6828E-01  1.5656E-04  2.1967E-05  2.2130E-07
  2.0193E-01  1.6528E-04  2.2472E-05 -2.8457E-08
  2.3559E-01  1.5399E-04  2.0223E-05 -6.9055E-07
  2.6924E-01  1.6705E-04  2.1923E-05 -1.3350E-06
  3.0290E-01  1.9120E-04  2.5166E-05 -2.2262E-06
  3.3655E-01  2.0416E-04  2.6536E-05 -3.7699E-06
  3.7021E-01  2.0626E-04  2.6210E-05 -6.1470E-06
  4.0386E-01  2.0730E-04  2.5790E-05 -8.5343E-06
  4.3752E-01  2.1570E-04  2.6457E-05 -1.2053E-05
  4.7117E-01  2.2676E-04  2.7446E-05 -1.4951E-05
  5.0483E-01  2.3296E-04  2.7791E-05 -1.8519E-05
  5.3849E-01  2.4006E-04  2.8300E-05 -2.3000E-05
  5.7214E-01  2.4139E-04  2.7980E-05 -2.7321E-05
  6.0580E-01  2.4798E-04  2.8433E-05 -3.3183E-05
  6.3945E-01  2.4342E-04  2.6964E-05 -3.7689E-05
  6.7311E-01  2.4176E-04  2.6122E-05 -4.3697E-05
  7.0676E-01  2.4613E-04  2.6204E-05 -5.1167E-05
  7.4042E-01  2.4851E-04  2.6313E-05 -5.5037E-05
  7.7407E-01  2.4314E-04  2.4580E-05 -6.3256E-05
  8.0773E-01  2.3225E-04  2.1993E-05 -7.1778E-05
  8.4138E-01  2.3637E-04  2.2234E-05 -8.0304E-05
  8.7504E-01  2.4221E-04  2.2399E-05 -8.6053E-05
  9.0869E-01  2.3022E-04  1.9875E-05 -9.6715E-05
  9.4235E-01  2.1728E-04  1.7318E-05 -1.0622E-04
  9.7601E-01  2.1777E-04  1.6621E-05 -1.1229E-04
  1.0097E+00  2.1960E-04  1.6129E-05 -1.2057E-04
  1.0433E+00  2.1615E-04  1.4959E-05 -1.3012E-04
  1.0770E+00  2.0038E-04  1.1706E-05 -1.4112E-04
  1.1106E+00  1.8599E-04  8.8921E-06 -1.4307E-04
  1.1443E+00  1.8488E-04  8.2688E-06 -1.5494E-04
  1.1779E+00  1.8689E-04  7.6896E-06 -1.6613E-04
  1.2116E+00  1.8292E-04  5.8969E-06 -1.8186E-04
  1.2452E+00  1.7050E-04  3.1390E-06 -1.8612E-04
  1.2789E+00  1.5736E-04  7.4893E-07 -1.9284E-04
  1.3126E+00  1.4903E-04 -7.5959E-07 -1.8989E-04
  1.3462E+00  1.4436E-04 -2.3456E-06 -1.9657E-04
  1.3799E+00  1.4145E-04 -4.1337E-06 -2.1262E-04
  1.4135E+00  1.3382E-04 -6.0988E-06 -2.2060E-04
  1.4472E+00  1.2200E-04 -8.5411E-06 -2.3014E-04
  1.4808E+00  1.0869E-04 -1.1470E-05 -2.3996E-04
  1.5145E+00  9.8862E-05 -1.3743E-05 -2.4365E-04
  1.5481E+00  9.1048E-05 -1.5705E-05 -2.4003E-04
  1.5818E+00  8.7857E-05 -1.7100E-05 -2.4602E-04
  1.6155E+00  7.6914E-05 -1.9861E-05 -2.4746E-04
  1.6491E+00  6.5012E-05 -2.2524E-05 -2.4868E-04
  1.6828E+00  5.6716E-05 -2.4652E-05 -2.5366E-04
  1.7164E+00  4.8289E-05 -2.7021E-05 -2.5813E-04
  1.7501E+00  3.9680E-05 -2.9339E-05 -2.6260E-04
  1.7837E+00  3.1813E-05 -3.1312E-05 -2.5802E-04
  1.8174E+00  2.3156E-05 -3.3434E-05 -2.5473E-04
  1.8510E+00  1.4557E-05 -3.5864E-05 -2.5608E-04
  1.8847E+00  4.6560E-06 -3.8515E-05 -2.6287E-04
  1.9184E+00 -5.4756E-06 -4.1088E-05 -2.6135E-04
  1.9520E+00 -1.6039E-05 -4.3893E-05 -2.6250E-04
  1.9857E+00 -2.8313E-05 -4.7044E-05 -2.6738E-04
  2.0193E+00 -3.8054E-05 -4.9348E-05 -2.5889E-04
  2.0530E+00 -4.4922E-05 -5.1214E-05 -2.5105E-04
  2.0866E+00 -5.2991E-05 -5.3255E-05 -2.4409E-04
  2.1203E+00 -6.2809E-05 -5.5708E-05 -2.3830E-04
  2.1539E+00 -7.5258E-05 -5.8639E-05 -2.3230E-04
  2.1876E+00 -8.4312E-05 -6.1008E-05 -2.2573E-04
  2.2213E+00 -9.4283E-05 -6.3689E-05 -2.2198E-04
  2.2549E+00 -1.0918E-04 -6.7369E-05 -2.1624E-04
  2.2886E+00 -1.2031E-04 -7.0248E-05 -2.0803E-04
  2.3222E+00 -1.3136E-04 -7.3097E-05 -1.9778E-04
  2.3559E+00 -1.4299E-04 -7.5911E-05 -1.8914E-04
  2.3895E+00 -1.5349E-04 -7.8556E-05 -1.7988E-04
  2.4232E+00 -1.6501E-04 -8.1547E-05 -1.7167E-04
  2.4568E+00 -1.7903E-04 -8.4844E-05 -1.5485E-04
  2.4905E+00 -1.9170E-04 -8.7911E-05 -1.3904E-04
  2.5242E+00 -2.0483E-04 -9.1006E-05 -1.2803E-04
  2.5578E+00 -2.2240E-04 -9.5091E-05 -1.2077E-04
  2.5915E+00 -2.3602E-04 -9.8818E-05 -1.0861E-04
  2.6251E+00 -2.4553E-04 -1.0163E-04 -9.4666E-05
  2.6588E+00 -2.5849E-04 -1.0489E-04 -7.3991E-05
