# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:24:50 2020
# diag: nrgsummary, run(s): 0014-0015, time window: 0-93.212002(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3655E-02  1.7534E-01  2.5383E-01  1.5839E-05
  6.7311E-02  9.0467E-02  1.1868E-01 -1.9236E-05
  1.0097E-01  3.6454E-02  3.9155E-02 -2.7533E-05
  1.3462E-01  8.3044E-02  1.1156E-01 -1.4089E-05
  1.6828E-01  1.3272E-01  1.8600E-01  1.4461E-05
  2.0193E-01  1.3773E-01  1.9333E-01  2.8289E-05
  2.3559E-01  1.2446E-01  1.7502E-01  2.3772E-05
  2.6924E-01  1.3660E-01  1.9373E-01  1.8875E-05
  3.0290E-01  1.6022E-01  2.2696E-01  2.0435E-05
  3.3655E-01  1.7249E-01  2.4157E-01  2.7280E-05
  3.7021E-01  1.7364E-01  2.3864E-01  3.6102E-05
  4.0386E-01  1.7346E-01  2.3464E-01  4.1747E-05
  4.3752E-01  1.8062E-01  2.4226E-01  4.3884E-05
  4.7117E-01  1.9107E-01  2.5516E-01  5.8038E-05
  5.0483E-01  1.9793E-01  2.6278E-01  5.7686E-05
  5.3849E-01  2.0603E-01  2.7233E-01  6.3647E-05
  5.7214E-01  2.0974E-01  2.7560E-01  6.2393E-05
  6.0580E-01  2.1984E-01  2.8788E-01  5.9530E-05
  6.3945E-01  2.1786E-01  2.7885E-01  4.7680E-05
  6.7311E-01  2.2129E-01  2.8039E-01  4.6319E-05
  7.0676E-01  2.2755E-01  2.8530E-01  5.1149E-05
  7.4042E-01  2.3412E-01  2.9220E-01  4.6226E-05
  7.7407E-01  2.3632E-01  2.9016E-01  4.4580E-05
  8.0773E-01  2.2922E-01  2.7311E-01  4.5485E-05
  8.4138E-01  2.3734E-01  2.8364E-01  5.2454E-05
  8.7504E-01  2.4848E-01  2.9819E-01  5.8373E-05
  9.0869E-01  2.4154E-01  2.8392E-01  5.2744E-05
  9.4235E-01  2.3520E-01  2.7107E-01  5.5097E-05
  9.7601E-01  2.4453E-01  2.7954E-01  5.9591E-05
  1.0097E+00  2.5332E-01  2.8678E-01  6.5610E-05
  1.0433E+00  2.5583E-01  2.8754E-01  6.3126E-05
  1.0770E+00  2.4663E-01  2.7130E-01  5.7732E-05
  1.1106E+00  2.3838E-01  2.5654E-01  6.1900E-05
  1.1443E+00  2.4675E-01  2.6619E-01  7.0300E-05
  1.1779E+00  2.5629E-01  2.7696E-01  7.3140E-05
  1.2116E+00  2.5838E-01  2.7680E-01  6.1540E-05
  1.2452E+00  2.5029E-01  2.6232E-01  5.7140E-05
  1.2789E+00  2.4240E-01  2.4980E-01  5.9040E-05
  1.3126E+00  2.3987E-01  2.4611E-01  4.7680E-05
  1.3462E+00  2.4959E-01  2.5747E-01  5.0040E-05
  1.3799E+00  2.5894E-01  2.6431E-01  5.0860E-05
  1.4135E+00  2.5578E-01  2.5518E-01  4.8710E-05
  1.4472E+00  2.5271E-01  2.4903E-01  5.2590E-05
  1.4808E+00  2.4826E-01  2.3978E-01  7.0990E-05
  1.5145E+00  2.4582E-01  2.3428E-01  5.8400E-05
  1.5481E+00  2.4843E-01  2.3827E-01  3.5450E-05
  1.5818E+00  2.5699E-01  2.4844E-01  4.2430E-05
  1.6155E+00  2.5300E-01  2.4050E-01  4.7640E-05
  1.6491E+00  2.4818E-01  2.3301E-01  4.2290E-05
  1.6828E+00  2.4968E-01  2.3300E-01  4.1750E-05
  1.7164E+00  2.5185E-01  2.3294E-01  4.4660E-05
  1.7501E+00  2.5251E-01  2.3099E-01  3.6050E-05
  1.7837E+00  2.5208E-01  2.2935E-01  3.3800E-05
  1.8174E+00  2.5435E-01  2.3229E-01  4.1050E-05
  1.8510E+00  2.5789E-01  2.3566E-01  4.4550E-05
  1.8847E+00  2.5679E-01  2.3221E-01  5.0210E-05
  1.9184E+00  2.5547E-01  2.2860E-01  5.2750E-05
  1.9520E+00  2.5638E-01  2.2747E-01  5.2840E-05
  1.9857E+00  2.5293E-01  2.1900E-01  4.3400E-05
  2.0193E+00  2.5056E-01  2.1435E-01  3.6460E-05
  2.0530E+00  2.5399E-01  2.1917E-01  3.6090E-05
  2.0866E+00  2.5828E-01  2.2495E-01  3.3120E-05
  2.1203E+00  2.6051E-01  2.2720E-01  3.5770E-05
  2.1539E+00  2.5917E-01  2.2266E-01  4.7860E-05
  2.1876E+00  2.6333E-01  2.2598E-01  5.1840E-05
  2.2213E+00  2.6847E-01  2.3057E-01  5.0870E-05
  2.2549E+00  2.6766E-01  2.2553E-01  5.6630E-05
  2.2886E+00  2.6855E-01  2.2410E-01  5.2200E-05
  2.3222E+00  2.7063E-01  2.2501E-01  4.3620E-05
  2.3559E+00  2.7308E-01  2.2735E-01  3.6550E-05
  2.3895E+00  2.7753E-01  2.3278E-01  2.7170E-05
  2.4232E+00  2.7993E-01  2.3410E-01  2.0730E-05
  2.4568E+00  2.8051E-01  2.3290E-01  2.4670E-05
  2.4905E+00  2.8430E-01  2.3601E-01  2.9370E-05
  2.5242E+00  2.8848E-01  2.3919E-01  3.5250E-05
  2.5578E+00  2.9126E-01  2.3950E-01  3.8020E-05
  2.5915E+00  2.9477E-01  2.4023E-01  4.2910E-05
  2.6251E+00  2.9880E-01  2.4317E-01  5.0390E-05
  2.6588E+00  3.0302E-01  2.4738E-01  5.9080E-05
  2.6924E+00  3.0895E-01  2.5275E-01  6.8710E-05
  2.7261E+00  3.1294E-01  2.5382E-01  7.4000E-05
  2.7597E+00  3.1415E-01  2.5171E-01  7.8450E-05
  2.7934E+00  3.1845E-01  2.5505E-01  9.0680E-05
  2.8270E+00  3.2474E-01  2.6050E-01  1.0710E-04
  2.8607E+00  3.2855E-01  2.6210E-01  1.3324E-04
  2.8944E+00  3.3459E-01  2.6660E-01  1.6018E-04
  2.9280E+00  3.4110E-01  2.7134E-01  1.8762E-04
  2.9617E+00  3.4558E-01  2.7316E-01  2.0562E-04
  2.9953E+00  3.4987E-01  2.7464E-01  2.1770E-04
  3.0290E+00  3.5388E-01  2.7533E-01  2.3498E-04
  3.0626E+00  3.5944E-01  2.7737E-01  2.4750E-04
