# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:24:15 2020
# diag: nrgsummary, run(s): 0010-0011, time window: 0-97.863777(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.6807E-01  2.4360E-01  2.1869E-05
  7.1600E-02  8.0728E-02  1.0514E-01 -1.6810E-06
  1.0740E-01  3.9201E-02  4.4630E-02 -5.1570E-06
  1.4320E-01  9.1278E-02  1.2520E-01  2.9740E-06
  1.7900E-01  1.3332E-01  1.8801E-01  2.4942E-05
  2.1480E-01  1.2857E-01  1.8092E-01  3.1443E-05
  2.5060E-01  1.2033E-01  1.7011E-01  2.7056E-05
  2.8640E-01  1.3961E-01  1.9860E-01  2.2942E-05
  3.2220E-01  1.6045E-01  2.2704E-01  2.1941E-05
  3.5800E-01  1.6815E-01  2.3444E-01  2.7340E-05
  3.9380E-01  1.6794E-01  2.2984E-01  3.3402E-05
  4.2960E-01  1.7223E-01  2.3302E-01  3.5237E-05
  4.6540E-01  1.8247E-01  2.4518E-01  4.3816E-05
  5.0120E-01  1.8937E-01  2.5264E-01  4.6776E-05
  5.3700E-01  1.9773E-01  2.6250E-01  5.4559E-05
  5.7280E-01  2.0082E-01  2.6489E-01  5.7672E-05
  6.0860E-01  2.1300E-01  2.8071E-01  5.7642E-05
  6.4440E-01  2.1357E-01  2.7550E-01  4.9256E-05
  6.8020E-01  2.1547E-01  2.7487E-01  5.2653E-05
  7.1600E-01  2.2037E-01  2.7815E-01  5.3088E-05
  7.5180E-01  2.3078E-01  2.9051E-01  5.2184E-05
  7.8760E-01  2.3153E-01  2.8545E-01  4.4580E-05
  8.2340E-01  2.2570E-01  2.7133E-01  4.6026E-05
  8.5920E-01  2.3422E-01  2.8282E-01  5.2441E-05
  8.9500E-01  2.3969E-01  2.8838E-01  5.4433E-05
  9.3080E-01  2.3598E-01  2.7877E-01  4.6176E-05
  9.6660E-01  2.3644E-01  2.7471E-01  5.0257E-05
  1.0024E+00  2.4495E-01  2.8088E-01  5.8880E-05
  1.0382E+00  2.5011E-01  2.8439E-01  5.4995E-05
  1.0740E+00  2.4740E-01  2.7764E-01  5.0079E-05
  1.1098E+00  2.3779E-01  2.6053E-01  5.1086E-05
  1.1456E+00  2.4208E-01  2.6424E-01  6.1870E-05
  1.1814E+00  2.5150E-01  2.7479E-01  6.8980E-05
  1.2172E+00  2.5409E-01  2.7533E-01  6.1240E-05
  1.2530E+00  2.4748E-01  2.6289E-01  5.5100E-05
  1.2888E+00  2.3918E-01  2.4944E-01  5.5530E-05
  1.3246E+00  2.3758E-01  2.4645E-01  5.1470E-05
  1.3604E+00  2.4840E-01  2.5870E-01  5.7610E-05
  1.3962E+00  2.5530E-01  2.6204E-01  5.9480E-05
  1.4320E+00  2.5103E-01  2.5248E-01  5.0460E-05
  1.4678E+00  2.4788E-01  2.4529E-01  5.7920E-05
  1.5036E+00  2.4410E-01  2.3619E-01  6.3850E-05
  1.5394E+00  2.4311E-01  2.3394E-01  3.7400E-05
  1.5752E+00  2.4794E-01  2.4009E-01  3.4800E-05
  1.6110E+00  2.5058E-01  2.4123E-01  4.2740E-05
  1.6468E+00  2.4477E-01  2.3147E-01  4.4380E-05
  1.6826E+00  2.4584E-01  2.3142E-01  3.9800E-05
  1.7184E+00  2.4777E-01  2.3060E-01  4.4560E-05
  1.7542E+00  2.4752E-01  2.2669E-01  3.9410E-05
  1.7900E+00  2.4613E-01  2.2332E-01  3.7250E-05
  1.8258E+00  2.4829E-01  2.2617E-01  4.2030E-05
  1.8616E+00  2.5224E-01  2.3031E-01  4.5900E-05
  1.8974E+00  2.5040E-01  2.2571E-01  5.1390E-05
  1.9332E+00  2.4900E-01  2.2198E-01  5.3670E-05
  1.9690E+00  2.4960E-01  2.2010E-01  5.2180E-05
  2.0048E+00  2.4526E-01  2.1082E-01  3.9790E-05
  2.0406E+00  2.4463E-01  2.0932E-01  3.5330E-05
  2.0764E+00  2.4645E-01  2.1140E-01  3.2640E-05
  2.1122E+00  2.5032E-01  2.1670E-01  2.9680E-05
  2.1480E+00  2.5127E-01  2.1637E-01  3.6990E-05
  2.1838E+00  2.5188E-01  2.1457E-01  4.6020E-05
  2.2196E+00  2.5643E-01  2.1883E-01  4.7100E-05
  2.2554E+00  2.5745E-01  2.1673E-01  5.1240E-05
  2.2912E+00  2.5823E-01  2.1490E-01  5.2510E-05
  2.3270E+00  2.5929E-01  2.1427E-01  4.5400E-05
  2.3628E+00  2.6004E-01  2.1397E-01  3.9060E-05
  2.3986E+00  2.6387E-01  2.1853E-01  3.0230E-05
  2.4344E+00  2.6598E-01  2.1965E-01  2.2490E-05
  2.4702E+00  2.6619E-01  2.1811E-01  2.2240E-05
  2.5060E+00  2.6922E-01  2.2056E-01  2.7890E-05
  2.5418E+00  2.7344E-01  2.2441E-01  3.3810E-05
  2.5776E+00  2.7653E-01  2.2536E-01  3.5260E-05
  2.6134E+00  2.8001E-01  2.2621E-01  3.8860E-05
  2.6492E+00  2.8354E-01  2.2901E-01  4.4070E-05
  2.6850E+00  2.8773E-01  2.3317E-01  5.2620E-05
  2.7208E+00  2.9237E-01  2.3617E-01  6.1360E-05
  2.7566E+00  2.9388E-01  2.3410E-01  6.4720E-05
  2.7924E+00  2.9638E-01  2.3504E-01  7.1460E-05
  2.8282E+00  3.0176E-01  2.3977E-01  8.3910E-05
  2.8640E+00  3.0532E-01  2.4099E-01  1.0303E-04
  2.8998E+00  3.0977E-01  2.4351E-01  1.2522E-04
  2.9356E+00  3.1558E-01  2.4770E-01  1.4926E-04
  2.9714E+00  3.1928E-01  2.4878E-01  1.6804E-04
  3.0072E+00  3.2415E-01  2.5166E-01  1.7996E-04
  3.0430E+00  3.2845E-01  2.5325E-01  1.9326E-04
  3.0788E+00  3.3368E-01  2.5514E-01  2.0287E-04
  3.1146E+00  3.3975E-01  2.5854E-01  2.1037E-04
  3.1504E+00  3.4447E-01  2.6062E-01  2.1838E-04
  3.1862E+00  3.5132E-01  2.6492E-01  2.2553E-04
  3.2220E+00  3.5876E-01  2.6989E-01  2.2878E-04
  3.2578E+00  3.6448E-01  2.7276E-01  2.3535E-04
  3.2936E+00  3.7057E-01  2.7645E-01  2.4020E-04
  3.3294E+00  3.7816E-01  2.8161E-01  2.4553E-04
  3.3652E+00  3.8598E-01  2.8702E-01  2.4662E-04
  3.4010E+00  3.9387E-01  2.9282E-01  2.4959E-04
  3.4368E+00  4.0434E-01  3.0220E-01  2.5260E-04
  3.4726E+00  4.1487E-01  3.1109E-01  2.5526E-04
  3.5084E+00  4.2402E-01  3.1793E-01  2.6195E-04
  3.5442E+00  4.3521E-01  3.2768E-01  2.7087E-04
  3.5800E+00  4.4755E-01  3.3806E-01  2.8086E-04
  3.6158E+00  4.5714E-01  3.4403E-01  2.9588E-04
  3.6516E+00  4.6752E-01  3.5119E-01  3.1271E-04
  3.6874E+00  4.7975E-01  3.6037E-01  3.3492E-04
  3.7232E+00  4.9139E-01  3.6818E-01  3.6185E-04
  3.7590E+00  5.0122E-01  3.7365E-01  3.9036E-04
  3.7948E+00  5.1082E-01  3.7873E-01  4.1901E-04
  3.8306E+00  5.2101E-01  3.8348E-01  4.4559E-04
  3.8664E+00  5.3209E-01  3.8918E-01  4.6441E-04
  3.9022E+00  5.4397E-01  3.9619E-01  4.7851E-04
  3.9380E+00  5.5529E-01  4.0208E-01  4.8433E-04
  3.9738E+00  5.6737E-01  4.0928E-01  4.8788E-04
  4.0096E+00  5.8127E-01  4.1914E-01  4.8984E-04
  4.0454E+00  5.9660E-01  4.3061E-01  4.9123E-04
  4.0812E+00  6.1208E-01  4.4160E-01  4.9363E-04
  4.1170E+00  6.2733E-01  4.5233E-01  5.0160E-04
  4.1528E+00  6.4344E-01  4.6396E-01  5.1252E-04
  4.1886E+00  6.6062E-01  4.7675E-01  5.2375E-04
  4.2244E+00  6.7851E-01  4.9029E-01  5.3513E-04
  4.2602E+00  6.9738E-01  5.0507E-01  5.4429E-04
  4.2960E+00  7.1672E-01  5.2034E-01  5.5609E-04
  4.3316E+00  7.3701E-01  5.3663E-01  5.7033E-04
  4.3656E+00  7.5784E-01  5.5368E-01  5.8632E-04
  4.3996E+00  7.7923E-01  5.7100E-01  6.0324E-04
  4.4337E+00  8.0084E-01  5.8771E-01  6.1737E-04
  4.4677E+00  8.2292E-01  6.0430E-01  6.3192E-04
  4.5017E+00  8.4522E-01  6.2053E-01  6.4634E-04
  4.5357E+00  8.6711E-01  6.3555E-01  6.5878E-04
  4.5697E+00  8.8898E-01  6.4996E-01  6.7206E-04
  4.6037E+00  9.1137E-01  6.6464E-01  6.8529E-04
  4.6377E+00  9.3468E-01  6.8037E-01  7.0058E-04
  4.6717E+00  9.5915E-01  6.9745E-01  7.1608E-04
  4.7057E+00  9.8436E-01  7.1551E-01  7.3249E-04
  4.7397E+00  1.0100E+00  7.3398E-01  7.4820E-04
  4.7737E+00  1.0371E+00  7.5422E-01  7.6068E-04
  4.8078E+00  1.0665E+00  7.7741E-01  7.7117E-04
  4.8418E+00  1.0965E+00  8.0077E-01  7.8697E-04
  4.8758E+00  1.1268E+00  8.2389E-01  8.0544E-04
  4.9098E+00  1.1570E+00  8.4640E-01  8.2534E-04
  4.9438E+00  1.1872E+00  8.6827E-01  8.5325E-04
  4.9778E+00  1.2181E+00  8.9049E-01  8.8020E-04
  5.0118E+00  1.2494E+00  9.1290E-01  9.0401E-04
  5.0458E+00  1.2809E+00  9.3538E-01  9.2522E-04
  5.0798E+00  1.3139E+00  9.6020E-01  9.4179E-04
  5.1138E+00  1.3485E+00  9.8725E-01  9.5269E-04
  5.1479E+00  1.3853E+00  1.0174E+00  9.6216E-04
  5.1819E+00  1.4236E+00  1.0493E+00  9.7344E-04
  5.2159E+00  1.4635E+00  1.0822E+00  9.9043E-04
  5.2499E+00  1.5039E+00  1.1140E+00  1.0119E-03
  5.2839E+00  1.5429E+00  1.1421E+00  1.0368E-03
  5.3179E+00  1.5812E+00  1.1680E+00  1.0615E-03
  5.3519E+00  1.6195E+00  1.1936E+00  1.0863E-03
  5.3859E+00  1.6588E+00  1.2212E+00  1.1095E-03
  5.4199E+00  1.7004E+00  1.2530E+00  1.1281E-03
  5.4539E+00  1.7454E+00  1.2898E+00  1.1421E-03
  5.4880E+00  1.7936E+00  1.3314E+00  1.1558E-03
  5.5220E+00  1.8437E+00  1.3739E+00  1.1651E-03
  5.5560E+00  1.8937E+00  1.4138E+00  1.1802E-03
  5.5900E+00  1.9426E+00  1.4500E+00  1.2020E-03
  5.6240E+00  1.9904E+00  1.4829E+00  1.2220E-03
  5.6580E+00  2.0368E+00  1.5131E+00  1.2450E-03
  5.6920E+00  2.0852E+00  1.5464E+00  1.2662E-03
  5.7260E+00  2.1368E+00  1.5850E+00  1.2836E-03
  5.7600E+00  2.1913E+00  1.6278E+00  1.3013E-03
  5.7940E+00  2.2481E+00  1.6733E+00  1.3200E-03
  5.8281E+00  2.3061E+00  1.7199E+00  1.3418E-03
  5.8621E+00  2.3645E+00  1.7655E+00  1.3711E-03
  5.8961E+00  2.4224E+00  1.8092E+00  1.4072E-03
  5.9301E+00  2.4809E+00  1.8527E+00  1.4497E-03
  5.9641E+00  2.5408E+00  1.8973E+00  1.4939E-03
  5.9981E+00  2.6024E+00  1.9442E+00  1.5368E-03
  6.0321E+00  2.6664E+00  1.9942E+00  1.5739E-03
  6.0661E+00  2.7329E+00  2.0477E+00  1.6059E-03
  6.1001E+00  2.8015E+00  2.1037E+00  1.6409E-03
  6.1341E+00  2.8708E+00  2.1599E+00  1.6833E-03
  6.1682E+00  2.9397E+00  2.2139E+00  1.7324E-03
  6.2022E+00  3.0068E+00  2.2642E+00  1.7914E-03
