# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 13:26:50 2020
# diag: nrgsummary, run(s): 0010-0011, time window: 0-97.863777(1 steps), species: molybdenum
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.7525E-04  2.6173E-05  1.1908E-06
  7.1600E-02  9.1600E-05  1.3083E-05  9.2513E-07
  1.0740E-01  5.3876E-05  7.1986E-06  8.7619E-07
  1.4320E-01  1.1066E-04  1.5610E-05  1.1753E-06
  1.7900E-01  1.5713E-04  2.1927E-05  7.5220E-07
  2.1480E-01  1.5546E-04  2.0901E-05 -1.1701E-06
  2.5060E-01  1.4873E-04  1.9421E-05 -4.5670E-06
  2.8640E-01  1.6898E-04  2.2152E-05 -8.5091E-06
  3.2220E-01  1.9024E-04  2.4855E-05 -1.4305E-05
  3.5800E-01  1.9827E-04  2.5452E-05 -2.4208E-05
  3.9380E-01  1.9856E-04  2.4866E-05 -3.5570E-05
  4.2960E-01  2.0358E-04  2.5026E-05 -5.1650E-05
  4.6540E-01  2.1386E-04  2.5978E-05 -6.5690E-05
  5.0120E-01  2.2068E-04  2.6284E-05 -8.7253E-05
  5.3700E-01  2.2807E-04  2.6830E-05 -1.0817E-04
  5.7280E-01  2.2946E-04  2.6459E-05 -1.3089E-04
  6.0860E-01  2.3858E-04  2.7372E-05 -1.6249E-04
  6.4440E-01  2.3642E-04  2.6295E-05 -1.8753E-04
  6.8020E-01  2.3409E-04  2.5222E-05 -2.1968E-04
  7.1600E-01  2.3713E-04  2.5176E-05 -2.5683E-04
  7.5180E-01  2.4291E-04  2.5829E-05 -2.8195E-04
  7.8760E-01  2.3789E-04  2.4122E-05 -3.2720E-04
  8.2340E-01  2.2878E-04  2.1937E-05 -3.7209E-04
  8.5920E-01  2.3377E-04  2.2213E-05 -4.1237E-04
  8.9500E-01  2.3550E-04  2.1793E-05 -4.5315E-04
  9.3080E-01  2.2633E-04  1.9868E-05 -5.0554E-04
  9.6660E-01  2.1937E-04  1.8161E-05 -5.5325E-04
  1.0024E+00  2.2052E-04  1.7575E-05 -5.8776E-04
  1.0382E+00  2.2112E-04  1.7029E-05 -6.3665E-04
  1.0740E+00  2.1288E-04  1.4998E-05 -7.0080E-04
  1.1098E+00  1.9878E-04  1.2221E-05 -7.1761E-04
  1.1456E+00  1.9501E-04  1.1215E-05 -7.7697E-04
  1.1814E+00  1.9721E-04  1.0772E-05 -8.3920E-04
  1.2172E+00  1.9488E-04  9.3548E-06 -9.2314E-04
  1.2530E+00  1.8452E-04  7.0064E-06 -9.5246E-04
  1.2888E+00  1.7191E-04  4.7107E-06 -9.8980E-04
  1.3246E+00  1.6531E-04  3.4614E-06 -9.7816E-04
  1.3604E+00  1.6345E-04  2.3137E-06 -1.0270E-03
  1.3962E+00  1.6178E-04  9.7542E-07 -1.1080E-03
  1.4320E+00  1.5282E-04 -1.0384E-06 -1.1566E-03
  1.4678E+00  1.4169E-04 -3.4565E-06 -1.2132E-03
  1.5036E+00  1.3233E-04 -5.6890E-06 -1.2607E-03
  1.5394E+00  1.2427E-04 -7.5632E-06 -1.2636E-03
  1.5752E+00  1.1970E-04 -8.9032E-06 -1.2672E-03
  1.6110E+00  1.1475E-04 -1.0572E-05 -1.3058E-03
  1.6468E+00  1.0417E-04 -1.3102E-05 -1.3067E-03
  1.6826E+00  9.7216E-05 -1.4791E-05 -1.3314E-03
  1.7184E+00  9.0064E-05 -1.6792E-05 -1.3576E-03
  1.7542E+00  8.1884E-05 -1.8944E-05 -1.3969E-03
  1.7900E+00  7.4894E-05 -2.0656E-05 -1.3801E-03
  1.8258E+00  6.9025E-05 -2.2206E-05 -1.3674E-03
  1.8616E+00  6.3307E-05 -2.3967E-05 -1.3644E-03
  1.8974E+00  5.3780E-05 -2.6380E-05 -1.3978E-03
  1.9332E+00  4.4369E-05 -2.8707E-05 -1.3923E-03
  1.9690E+00  3.5667E-05 -3.1122E-05 -1.4136E-03
  2.0048E+00  2.4804E-05 -3.3735E-05 -1.4230E-03
  2.0406E+00  1.7431E-05 -3.5504E-05 -1.3822E-03
  2.0764E+00  9.9034E-06 -3.7321E-05 -1.3481E-03
  2.1122E+00  3.9311E-06 -3.8857E-05 -1.3094E-03
  2.1480E+00 -4.6397E-06 -4.0981E-05 -1.2760E-03
  2.1838E+00 -1.4928E-05 -4.3352E-05 -1.2461E-03
  2.2196E+00 -2.2750E-05 -4.5328E-05 -1.2240E-03
  2.2554E+00 -3.3967E-05 -4.8164E-05 -1.1968E-03
  2.2912E+00 -4.2746E-05 -5.0476E-05 -1.1577E-03
  2.3270E+00 -5.2352E-05 -5.2890E-05 -1.1131E-03
  2.3628E+00 -6.3393E-05 -5.5457E-05 -1.0763E-03
  2.3986E+00 -7.1520E-05 -5.7512E-05 -1.0346E-03
  2.4344E+00 -8.0274E-05 -5.9806E-05 -9.9418E-04
  2.4702E+00 -9.2309E-05 -6.2597E-05 -9.0700E-04
  2.5060E+00 -1.0247E-04 -6.4968E-05 -8.1529E-04
  2.5418E+00 -1.1292E-04 -6.7290E-05 -7.5242E-04
  2.5776E+00 -1.2727E-04 -7.0640E-05 -7.1023E-04
  2.6134E+00 -1.3685E-04 -7.3412E-05 -6.5124E-04
