# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:24:15 2020
# diag: nrgsummary, run(s): 0010-0011, time window: 0-97.863777(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.6264E-01  2.4182E-01  9.5127E-05
  7.1600E-02  7.7888E-02  1.3371E-01  3.8464E-05
  1.0740E-01  3.7530E-02  7.2839E-02  1.1827E-05
  1.4320E-01  8.7847E-02  1.4715E-01  5.6034E-05
  1.7900E-01  1.2845E-01  2.2132E-01  5.2196E-05
  2.1480E-01  1.2375E-01  2.3319E-01 -7.3112E-05
  2.5060E-01  1.1573E-01  2.3255E-01 -2.5382E-04
  2.8640E-01  1.3437E-01  2.6731E-01 -4.0621E-04
  3.2220E-01  1.5456E-01  3.0939E-01 -6.2950E-04
  3.5800E-01  1.6200E-01  3.3610E-01 -1.1007E-03
  3.9380E-01  1.6178E-01  3.5212E-01 -1.6434E-03
  4.2960E-01  1.6593E-01  3.7262E-01 -2.4724E-03
  4.6540E-01  1.7584E-01  4.0341E-01 -3.0261E-03
  5.0120E-01  1.8253E-01  4.3152E-01 -4.1462E-03
  5.3700E-01  1.9067E-01  4.5914E-01 -5.0535E-03
  5.7280E-01  1.9371E-01  4.8047E-01 -6.1487E-03
  6.0860E-01  2.0560E-01  5.1337E-01 -7.7233E-03
  6.4440E-01  2.0624E-01  5.3884E-01 -8.9443E-03
  6.8020E-01  2.0821E-01  5.6344E-01 -1.0325E-02
  7.1600E-01  2.1302E-01  5.8420E-01 -1.2167E-02
  7.5180E-01  2.2325E-01  6.1386E-01 -1.3058E-02
  7.8760E-01  2.2415E-01  6.4644E-01 -1.5570E-02
  8.2340E-01  2.1861E-01  6.6127E-01 -1.7837E-02
  8.5920E-01  2.2697E-01  6.9061E-01 -1.9435E-02
  8.9500E-01  2.3239E-01  7.1968E-01 -2.1180E-02
  9.3080E-01  2.2896E-01  7.3625E-01 -2.3762E-02
  9.6660E-01  2.2964E-01  7.6346E-01 -2.5841E-02
  1.0024E+00  2.3811E-01  8.0105E-01 -2.7453E-02
  1.0382E+00  2.4325E-01  8.2791E-01 -2.9559E-02
  1.0740E+00  2.4080E-01  8.5410E-01 -3.2129E-02
  1.1098E+00  2.3163E-01  8.6255E-01 -3.1848E-02
  1.1456E+00  2.3603E-01  8.8796E-01 -3.4511E-02
  1.1814E+00  2.4539E-01  9.2909E-01 -3.7642E-02
  1.2172E+00  2.4805E-01  9.6842E-01 -4.2091E-02
  1.2530E+00  2.4176E-01  9.8390E-01 -4.2723E-02
  1.2888E+00  2.3385E-01  9.8678E-01 -4.2802E-02
  1.3246E+00  2.3245E-01  9.9745E-01 -4.0365E-02
  1.3604E+00  2.4334E-01  1.0525E+00 -4.3173E-02
  1.3962E+00  2.5029E-01  1.0998E+00 -4.7506E-02
  1.4320E+00  2.4629E-01  1.1165E+00 -4.9483E-02
  1.4678E+00  2.4348E-01  1.1373E+00 -5.1193E-02
  1.5036E+00  2.4000E-01  1.1530E+00 -5.0706E-02
  1.5394E+00  2.3925E-01  1.1792E+00 -5.0002E-02
  1.5752E+00  2.4423E-01  1.2172E+00 -5.0810E-02
  1.6110E+00  2.4702E-01  1.2526E+00 -5.2344E-02
  1.6468E+00  2.4154E-01  1.2711E+00 -5.1231E-02
  1.6826E+00  2.4283E-01  1.3011E+00 -5.2421E-02
  1.7184E+00  2.4498E-01  1.3364E+00 -5.3092E-02
  1.7542E+00  2.4499E-01  1.3691E+00 -5.4462E-02
  1.7900E+00  2.4382E-01  1.3926E+00 -5.3770E-02
  1.8258E+00  2.4614E-01  1.4243E+00 -5.3327E-02
