# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 13:26:27 2020
# diag: nrgsummary, run(s): 0006-0007, time window: 0-78.435131(1 steps), species: neon
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3742E-02  1.8122E-04  2.7045E-05  3.9938E-07
  6.7484E-02  1.0145E-04  1.4592E-05  4.1815E-07
  1.0123E-01  5.0855E-05  6.7501E-06  5.7395E-07
  1.3497E-01  1.0213E-04  1.4379E-05  4.8536E-07
  1.6871E-01  1.5604E-04  2.1909E-05  3.4299E-07
  2.0245E-01  1.6450E-04  2.2383E-05 -4.7497E-08
  2.3619E-01  1.5322E-04  2.0137E-05 -1.1488E-06
  2.6994E-01  1.6625E-04  2.1829E-05 -2.2527E-06
  3.0368E-01  1.9032E-04  2.5058E-05 -3.7452E-06
  3.3742E-01  2.0318E-04  2.6422E-05 -6.2988E-06
  3.7116E-01  2.0530E-04  2.6108E-05 -1.0191E-05
  4.0491E-01  2.0644E-04  2.5710E-05 -1.4106E-05
  4.3865E-01  2.1479E-04  2.6384E-05 -1.9924E-05
  4.7239E-01  2.2570E-04  2.7350E-05 -2.4913E-05
  5.0613E-01  2.3190E-04  2.7710E-05 -3.0715E-05
  5.3987E-01  2.3887E-04  2.8201E-05 -3.8228E-05
  5.7362E-01  2.4048E-04  2.7932E-05 -4.5558E-05
  6.0736E-01  2.4755E-04  2.8482E-05 -5.5254E-05
  6.4110E-01  2.4311E-04  2.7046E-05 -6.2793E-05
  6.7484E-01  2.4174E-04  2.6250E-05 -7.2968E-05
  7.0859E-01  2.4609E-04  2.6366E-05 -8.5136E-05
  7.4233E-01  2.4917E-04  2.6610E-05 -9.1780E-05
  7.7607E-01  2.4401E-04  2.4922E-05 -1.0553E-04
  8.0981E-01  2.3347E-04  2.2427E-05 -1.1973E-04
  8.4355E-01  2.3795E-04  2.2736E-05 -1.3380E-04
  8.7730E-01  2.4365E-04  2.2922E-05 -1.4350E-04
  9.1104E-01  2.3233E-04  2.0545E-05 -1.6127E-04
  9.4478E-01  2.2015E-04  1.8125E-05 -1.7715E-04
  9.7852E-01  2.2111E-04  1.7546E-05 -1.8675E-04
  1.0123E+00  2.2320E-04  1.7152E-05 -2.0107E-04
  1.0460E+00  2.2020E-04  1.6076E-05 -2.1736E-04
  1.0797E+00  2.0469E-04  1.2908E-05 -2.3470E-04
  1.1135E+00  1.9133E-04  1.0300E-05 -2.3863E-04
  1.1472E+00  1.9120E-04  9.8768E-06 -2.5862E-04
  1.1810E+00  1.9346E-04  9.3657E-06 -2.7785E-04
  1.2147E+00  1.8971E-04  7.6862E-06 -3.0313E-04
  1.2485E+00  1.7768E-04  5.0812E-06 -3.1016E-04
  1.2822E+00  1.6521E-04  2.8560E-06 -3.2111E-04
  1.3159E+00  1.5785E-04  1.5216E-06 -3.1583E-04
  1.3497E+00  1.5437E-04  1.5214E-07 -3.2903E-04
  1.3834E+00  1.5230E-04 -1.3891E-06 -3.5516E-04
  1.4172E+00  1.4460E-04 -3.2752E-06 -3.6844E-04
  1.4509E+00  1.3327E-04 -5.6102E-06 -3.8464E-04
  1.4847E+00  1.2124E-04 -8.2785E-06 -4.0071E-04
  1.5184E+00  1.1234E-04 -1.0326E-05 -4.0598E-04
  1.5521E+00  1.0554E-04 -1.2055E-05 -4.0045E-04
  1.5859E+00  1.0319E-04 -1.3218E-05 -4.1142E-04
  1.6196E+00  9.2525E-05 -1.5863E-05 -4.1308E-04
  1.6534E+00  8.2018E-05 -1.8215E-05 -4.1576E-04
  1.6871E+00  7.4783E-05 -2.0087E-05 -4.2351E-04
  1.7208E+00  6.7334E-05 -2.2201E-05 -4.3236E-04
  1.7546E+00  5.9641E-05 -2.4264E-05 -4.3824E-04
  1.7883E+00  5.2715E-05 -2.5967E-05 -4.3043E-04
  1.8221E+00  4.5368E-05 -2.7801E-05 -4.2523E-04
  1.8558E+00  3.8045E-05 -2.9916E-05 -4.2798E-04
  1.8896E+00  2.8956E-05 -3.2308E-05 -4.3833E-04
  1.9233E+00  1.9901E-05 -3.4607E-05 -4.3502E-04
  1.9570E+00  1.0526E-05 -3.7135E-05 -4.3879E-04
  1.9908E+00 -8.0248E-07 -3.9973E-05 -4.4511E-04
  2.0245E+00 -9.0422E-06 -4.1923E-05 -4.3002E-04
  2.0583E+00 -1.5002E-05 -4.3530E-05 -4.1767E-04
  2.0920E+00 -2.1887E-05 -4.5258E-05 -4.0605E-04
  2.1258E+00 -3.0553E-05 -4.7412E-05 -3.9597E-04
  2.1595E+00 -4.1796E-05 -5.0023E-05 -3.8580E-04
  2.1932E+00 -4.9180E-05 -5.1975E-05 -3.7534E-04
  2.2270E+00 -5.8535E-05 -5.4447E-05 -3.6927E-04
  2.2607E+00 -7.1423E-05 -5.7639E-05 -3.5859E-04
  2.2945E+00 -8.0613E-05 -6.0056E-05 -3.4445E-04
  2.3282E+00 -9.0777E-05 -6.2614E-05 -3.2852E-04
  2.3619E+00 -1.0084E-04 -6.5023E-05 -3.1387E-04
  2.3957E+00 -1.0958E-04 -6.7268E-05 -2.9960E-04
  2.4294E+00 -1.1991E-04 -6.9909E-05 -2.8405E-04
  2.4632E+00 -1.3247E-04 -7.2824E-05 -2.5522E-04
  2.4969E+00 -1.4312E-04 -7.5388E-05 -2.2932E-04
  2.5307E+00 -1.5491E-04 -7.8088E-05 -2.1151E-04
  2.5644E+00 -1.7090E-04 -8.1813E-05 -1.9892E-04
  2.5981E+00 -1.8168E-04 -8.4880E-05 -1.7832E-04
  2.6319E+00 -1.8948E-04 -8.7226E-05 -1.5344E-04
  2.6656E+00 -2.0112E-04 -9.0087E-05 -1.1912E-04
  2.6994E+00 -2.1445E-04 -9.3274E-05 -1.0015E-04
  2.7331E+00 -2.2875E-04 -9.6650E-05 -8.6755E-05
  2.7669E+00 -2.4326E-04 -9.9838E-05 -5.7131E-05
  2.8006E+00 -2.5658E-04 -1.0295E-04 -3.6124E-05
  2.8343E+00 -2.6925E-04 -1.0635E-04 -1.0996E-05
  2.8681E+00 -2.8250E-04 -1.0977E-04  2.3605E-05
  2.9018E+00 -2.9503E-04 -1.1295E-04  5.6012E-05
  2.9356E+00 -3.0978E-04 -1.1648E-04  8.1552E-05
  2.9693E+00 -3.2459E-04 -1.2001E-04  1.1033E-04
  3.0030E+00 -3.4039E-04 -1.2381E-04  1.4382E-04
  3.0368E+00 -3.5671E-04 -1.2768E-04  1.7392E-04
  3.0705E+00 -3.7126E-04 -1.3134E-04  1.9654E-04
  3.1043E+00 -3.8710E-04 -1.3512E-04  2.2471E-04
  3.1380E+00 -4.0499E-04 -1.3908E-04  2.5808E-04
  3.1718E+00 -4.2213E-04 -1.4317E-04  2.8353E-04
  3.2055E+00 -4.3995E-04 -1.4756E-04  3.1034E-04
  3.2392E+00 -4.5959E-04 -1.5216E-04  3.4628E-04
  3.2730E+00 -4.7883E-04 -1.5658E-04  3.7660E-04
  3.3067E+00 -4.9815E-04 -1.6102E-04  4.0431E-04
  3.3405E+00 -5.1799E-04 -1.6554E-04  4.2524E-04
  3.3742E+00 -5.3910E-04 -1.7015E-04  4.5307E-04
  3.4080E+00 -5.5815E-04 -1.7436E-04  4.8021E-04
  3.4417E+00 -5.7766E-04 -1.7861E-04  4.9986E-04
  3.4754E+00 -5.9884E-04 -1.8322E-04  5.2871E-04
  3.5092E+00 -6.1878E-04 -1.8755E-04  5.6212E-04
  3.5429E+00 -6.3774E-04 -1.9167E-04  5.9095E-04
  3.5767E+00 -6.5902E-04 -1.9638E-04  6.2196E-04
  3.6104E+00 -6.8089E-04 -2.0111E-04  6.5655E-04
  3.6442E+00 -7.0206E-04 -2.0570E-04  6.8738E-04
  3.6779E+00 -7.2450E-04 -2.1080E-04  7.1687E-04
  3.7116E+00 -7.4909E-04 -2.1648E-04  7.4532E-04
  3.7454E+00 -7.7660E-04 -2.2257E-04  7.7051E-04
  3.7791E+00 -8.0602E-04 -2.2897E-04  7.9632E-04
  3.8129E+00 -8.3639E-04 -2.3575E-04  8.1962E-04
  3.8466E+00 -8.6825E-04 -2.4283E-04  8.3986E-04
  3.8803E+00 -9.0101E-04 -2.4995E-04  8.5666E-04
  3.9141E+00 -9.3656E-04 -2.5763E-04  8.6931E-04
  3.9478E+00 -9.7133E-04 -2.6518E-04  8.8531E-04
  3.9816E+00 -1.0049E-03 -2.7255E-04  9.0130E-04
  4.0153E+00 -1.0377E-03 -2.7988E-04  9.2183E-04
  4.0491E+00 -1.0727E-03 -2.8767E-04  9.4592E-04
  4.0828E+00 -1.1100E-03 -2.9585E-04  9.6687E-04
  4.1165E+00 -1.1483E-03 -3.0419E-04  9.9100E-04
  4.1503E+00 -1.1866E-03 -3.1261E-04  1.0067E-03
  4.1840E+00 -1.2249E-03 -3.2112E-04  1.0233E-03
  4.2178E+00 -1.2635E-03 -3.2979E-04  1.0490E-03
  4.2515E+00 -1.3017E-03 -3.3847E-04  1.0681E-03
  4.2853E+00 -1.3392E-03 -3.4708E-04  1.0891E-03
  4.3190E+00 -1.3752E-03 -3.5549E-04  1.1085E-03
  4.3527E+00 -1.4102E-03 -3.6382E-04  1.1222E-03
  4.3865E+00 -1.4451E-03 -3.7210E-04  1.1392E-03
  4.4202E+00 -1.4803E-03 -3.8061E-04  1.1562E-03
  4.4540E+00 -1.5157E-03 -3.8925E-04  1.1792E-03
  4.4877E+00 -1.5520E-03 -3.9817E-04  1.2017E-03
  4.5214E+00 -1.5904E-03 -4.0756E-04  1.2233E-03
  4.5552E+00 -1.6305E-03 -4.1736E-04  1.2444E-03
  4.5889E+00 -1.6723E-03 -4.2764E-04  1.2675E-03
  4.6227E+00 -1.7157E-03 -4.3826E-04  1.2897E-03
  4.6564E+00 -1.7601E-03 -4.4920E-04  1.3070E-03
  4.6902E+00 -1.8061E-03 -4.6043E-04  1.3267E-03
  4.7239E+00 -1.8544E-03 -4.7199E-04  1.3499E-03
  4.7576E+00 -1.9024E-03 -4.8350E-04  1.3800E-03
  4.7914E+00 -1.9496E-03 -4.9487E-04  1.4077E-03
  4.8251E+00 -1.9977E-03 -5.0639E-04  1.4448E-03
  4.8589E+00 -2.0471E-03 -5.1819E-04  1.4843E-03
  4.8926E+00 -2.0988E-03 -5.3037E-04  1.5203E-03
  4.9264E+00 -2.1531E-03 -5.4312E-04  1.5621E-03
  4.9601E+00 -2.2093E-03 -5.5637E-04  1.5929E-03
  4.9938E+00 -2.2668E-03 -5.7006E-04  1.6190E-03
  5.0276E+00 -2.3251E-03 -5.8415E-04  1.6497E-03
  5.0613E+00 -2.3839E-03 -5.9851E-04  1.6720E-03
  5.0951E+00 -2.4440E-03 -6.1310E-04  1.6976E-03
  5.1288E+00 -2.5054E-03 -6.2778E-04  1.7227E-03
  5.1625E+00 -2.5675E-03 -6.4257E-04  1.7504E-03
  5.1963E+00 -2.6303E-03 -6.5744E-04  1.7776E-03
  5.2300E+00 -2.6954E-03 -6.7284E-04  1.8028E-03
  5.2638E+00 -2.7632E-03 -6.8895E-04  1.8315E-03
  5.2975E+00 -2.8323E-03 -7.0560E-04  1.8571E-03
  5.3313E+00 -2.9016E-03 -7.2260E-04  1.8852E-03
  5.3650E+00 -2.9717E-03 -7.3992E-04  1.9078E-03
  5.3987E+00 -3.0415E-03 -7.5722E-04  1.9344E-03
  5.4325E+00 -3.1114E-03 -7.7448E-04  1.9612E-03
  5.4662E+00 -3.1808E-03 -7.9152E-04  2.0012E-03
  5.5000E+00 -3.2506E-03 -8.0856E-04  2.0473E-03
  5.5337E+00 -3.3232E-03 -8.2615E-04  2.0959E-03
  5.5675E+00 -3.3986E-03 -8.4444E-04  2.1442E-03
  5.6012E+00 -3.4790E-03 -8.6407E-04  2.1697E-03
  5.6349E+00 -3.5653E-03 -8.8519E-04  2.1860E-03
  5.6687E+00 -3.6552E-03 -9.0720E-04  2.2043E-03
  5.7024E+00 -3.7473E-03 -9.2968E-04  2.2128E-03
  5.7362E+00 -3.8399E-03 -9.5207E-04  2.2372E-03
  5.7699E+00 -3.9312E-03 -9.7392E-04  2.2662E-03
  5.8036E+00 -4.0197E-03 -9.9503E-04  2.2974E-03
  5.8374E+00 -4.1057E-03 -1.0157E-03  2.3209E-03
  5.8711E+00 -4.1911E-03 -1.0364E-03  2.3357E-03
  5.9049E+00 -4.2790E-03 -1.0576E-03  2.3437E-03
  5.9386E+00 -4.3703E-03 -1.0796E-03  2.3386E-03
  5.9724E+00 -4.4671E-03 -1.1028E-03  2.3339E-03
  6.0061E+00 -4.5672E-03 -1.1268E-03  2.3351E-03
  6.0398E+00 -4.6690E-03 -1.1512E-03  2.3591E-03
  6.0736E+00 -4.7716E-03 -1.1761E-03  2.3983E-03
  6.1073E+00 -4.8730E-03 -1.2012E-03  2.4434E-03
  6.1411E+00 -4.9710E-03 -1.2258E-03  2.4803E-03
  6.1748E+00 -5.0640E-03 -1.2490E-03  2.4951E-03
  6.2086E+00 -5.1498E-03 -1.2704E-03  2.4981E-03
  6.2423E+00 -5.2317E-03 -1.2907E-03  2.4843E-03
  6.2760E+00 -5.3177E-03 -1.3123E-03  2.4826E-03
  6.3098E+00 -5.4173E-03 -1.3373E-03  2.4904E-03
  6.3435E+00 -5.5335E-03 -1.3664E-03  2.4994E-03
  6.3773E+00 -5.6578E-03 -1.3976E-03  2.5232E-03
  6.4110E+00 -5.7781E-03 -1.4277E-03  2.5429E-03
  6.4447E+00 -5.8883E-03 -1.4553E-03  2.5732E-03
  6.4785E+00 -5.9869E-03 -1.4800E-03  2.6026E-03
  6.5122E+00 -6.0793E-03 -1.5036E-03  2.6342E-03
  6.5460E+00 -6.1769E-03 -1.5284E-03  2.6549E-03
  6.5797E+00 -6.2902E-03 -1.5571E-03  2.6495E-03
  6.6135E+00 -6.4204E-03 -1.5898E-03  2.6211E-03
  6.6472E+00 -6.5559E-03 -1.6238E-03  2.5826E-03
  6.6809E+00 -6.6772E-03 -1.6544E-03  2.5951E-03
  6.7147E+00 -6.7732E-03 -1.6788E-03  2.6744E-03
  6.7484E+00 -6.8553E-03 -1.7000E-03  2.7926E-03
  6.7822E+00 -6.9544E-03 -1.7249E-03  2.8806E-03
  6.8149E+00 -7.0856E-03 -1.7570E-03  2.8935E-03
  6.8469E+00 -7.2343E-03 -1.7931E-03  2.8325E-03
  6.8790E+00 -7.3754E-03 -1.8276E-03  2.7058E-03
  6.9110E+00 -7.4911E-03 -1.8562E-03  2.5906E-03
  6.9431E+00 -7.5833E-03 -1.8795E-03  2.5528E-03
  6.9751E+00 -7.6715E-03 -1.9023E-03  2.6092E-03
  7.0072E+00 -7.7726E-03 -1.9285E-03  2.7081E-03
  7.0392E+00 -7.8886E-03 -1.9582E-03  2.7782E-03
  7.0713E+00 -8.0103E-03 -1.9894E-03  2.8056E-03
  7.1033E+00 -8.1234E-03 -2.0186E-03  2.8030E-03
  7.1354E+00 -8.2203E-03 -2.0442E-03  2.7718E-03
  7.1674E+00 -8.3086E-03 -2.0680E-03  2.7202E-03
  7.1995E+00 -8.4026E-03 -2.0929E-03  2.6242E-03
  7.2315E+00 -8.5069E-03 -2.1202E-03  2.5245E-03
