# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 20:50:48 2020
# diag: nrgsummary, run(s): 0017, time window: 0-140.18452(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4620E-01 -1.1650E-04  1.0506E-01 -3.2655E-03
  4.9240E-01 -8.6914E-05  1.8828E-01 -1.8840E-02
  7.3861E-01  5.8637E-05  2.5535E-01 -3.5611E-02
  9.8481E-01  2.2567E-04  3.1514E-01 -4.2404E-02
  1.2310E+00  3.5848E-04  3.6930E-01 -3.6401E-02
  1.4772E+00  4.8182E-04  4.1677E-01 -2.0312E-02
  1.7234E+00  5.7802E-04  4.5786E-01 -1.0467E-03
  1.9696E+00  6.0268E-04  4.9381E-01  1.4871E-02
  2.2158E+00  5.4262E-04  5.2419E-01  2.4319E-02
  2.4620E+00  4.3108E-04  5.4808E-01  2.7502E-02
  2.7082E+00  3.3334E-04  5.6758E-01  2.7181E-02
  2.9544E+00  3.1257E-04  5.8765E-01  2.6969E-02
  3.2006E+00  3.7774E-04  6.1183E-01  2.9458E-02
  3.4468E+00  4.8226E-04  6.4019E-01  3.5617E-02
  3.6930E+00  5.7751E-04  6.7177E-01  4.4938E-02
  3.9392E+00  6.5863E-04  7.0723E-01  5.5762E-02
  4.1854E+00  7.4761E-04  7.4772E-01  6.5894E-02
  4.4316E+00  8.5882E-04  7.9187E-01  7.3082E-02
  4.6778E+00  9.9343E-04  8.3598E-01  7.5653E-02
  4.9240E+00  1.1495E-03  8.7838E-01  7.3939E-02
  5.1702E+00  1.3372E-03  9.2193E-01  7.0854E-02
  5.4164E+00  1.5734E-03  9.7091E-01  7.0200E-02
  5.6626E+00  1.8703E-03  1.0273E+00  7.4407E-02
  5.9088E+00  2.2335E-03  1.0913E+00  8.3539E-02
  6.1550E+00  2.6642E-03  1.1637E+00  9.5644E-02
  6.4013E+00  3.1597E-03  1.2460E+00  1.0771E-01
  6.6475E+00  3.7116E-03  1.3379E+00  1.1666E-01
  6.8937E+00  4.3090E-03  1.4359E+00  1.2050E-01
  7.1399E+00  4.9434E-03  1.5380E+00  1.1979E-01
  7.3861E+00  5.6286E-03  1.6470E+00  1.1787E-01
  7.6323E+00  6.4018E-03  1.7692E+00  1.1922E-01
  7.8785E+00  7.2878E-03  1.9098E+00  1.2723E-01
  8.1247E+00  8.2802E-03  2.0706E+00  1.4302E-01
