# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug 25 12:03:03 2020
# diag: nrgsummary, run(s): 0017, time window: 0-140.18452(1 steps), species: neon
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4620E-01  1.1650E-05 -1.8915E-06 -9.4625E-06
  4.9240E-01  8.6914E-06 -4.5484E-06 -6.2968E-05
  7.3861E-01 -5.8637E-06 -7.8868E-06 -1.4010E-04
  9.8481E-01 -2.2567E-05 -1.1395E-05 -2.0270E-04
  1.2310E+00 -3.5848E-05 -1.4457E-05 -2.4216E-04
  1.4772E+00 -4.8182E-05 -1.7225E-05 -2.6151E-04
  1.7234E+00 -5.7802E-05 -1.9410E-05 -2.7088E-04
  1.9696E+00 -6.0268E-05 -2.0479E-05 -2.7530E-04
  2.2158E+00 -5.4262E-05 -2.0245E-05 -2.6795E-04
  2.4620E+00 -4.3108E-05 -1.9088E-05 -2.3391E-04
  2.7082E+00 -3.3334E-05 -1.7964E-05 -1.6481E-04
  2.9544E+00 -3.1257E-05 -1.7949E-05 -6.7581E-05
  3.2006E+00 -3.7774E-05 -1.9304E-05  4.2547E-05
  3.4468E+00 -4.8226E-05 -2.1363E-05  1.4557E-04
  3.6930E+00 -5.7751E-05 -2.3381E-05  2.1960E-04
  3.9392E+00 -6.5863E-05 -2.5318E-05  2.5212E-04
  4.1854E+00 -7.4761E-05 -2.7569E-05  2.5046E-04
  4.4316E+00 -8.5882E-05 -3.0363E-05  2.3729E-04
  4.6778E+00 -9.9343E-05 -3.3659E-05  2.3542E-04
  4.9240E+00 -1.1495E-04 -3.7358E-05  2.5511E-04
  5.1702E+00 -1.3372E-04 -4.1611E-05  2.9334E-04
  5.4164E+00 -1.5734E-04 -4.6704E-05  3.3663E-04
  5.6626E+00 -1.8703E-04 -5.2827E-05  3.6515E-04
  5.9088E+00 -2.2335E-04 -6.0064E-05  3.6297E-04
  6.1550E+00 -2.6642E-04 -6.8462E-05  3.2846E-04
  6.4013E+00 -3.1597E-04 -7.8043E-05  2.7554E-04
  6.6475E+00 -3.7116E-04 -8.8699E-05  2.2952E-04
  6.8937E+00 -4.3090E-04 -1.0019E-04  2.2071E-04
  7.1399E+00 -4.9434E-04 -1.1234E-04  2.7326E-04
  7.3861E+00 -5.6286E-04 -1.2546E-04  3.9232E-04
  7.6323E+00 -6.4018E-04 -1.4029E-04  5.6224E-04
  7.8785E+00 -7.2878E-04 -1.5730E-04  7.5728E-04
  8.1247E+00 -8.2802E-04 -1.7642E-04  9.5124E-04
  8.3709E+00 -9.3521E-04 -1.9721E-04  1.1245E-03
  8.6171E+00 -1.0486E-03 -2.1939E-04  1.2702E-03
  8.8633E+00 -1.1689E-03 -2.4305E-04  1.3988E-03
  9.1095E+00 -1.2959E-03 -2.6814E-04  1.5324E-03
  9.3557E+00 -1.4263E-03 -2.9404E-04  1.6932E-03
  9.6019E+00 -1.5600E-03 -3.2082E-04  1.8954E-03
  9.8481E+00 -1.7035E-03 -3.4965E-04  2.1309E-03
  1.0094E+01 -1.8633E-03 -3.8179E-04  2.3710E-03
  1.0340E+01 -2.0427E-03 -4.1784E-04  2.5836E-03
  1.0587E+01 -2.2423E-03 -4.5789E-04  2.7434E-03
  1.0833E+01 -2.4619E-03 -5.0185E-04  2.8389E-03
  1.1079E+01 -2.6954E-03 -5.4871E-04  2.8741E-03
  1.1321E+01 -2.9296E-03 -5.9589E-04  2.8666E-03
  1.1555E+01 -3.1564E-03 -6.4159E-04  2.8534E-03
  1.1788E+01 -3.3886E-03 -6.8816E-04  2.8642E-03
  1.2021E+01 -3.6355E-03 -7.3717E-04  2.9026E-03
  1.2254E+01 -3.9082E-03 -7.9049E-04  2.9395E-03
  1.2488E+01 -4.2069E-03 -8.4840E-04  2.9142E-03
  1.2721E+01 -4.5258E-03 -9.0996E-04  2.7620E-03
  1.2954E+01 -4.8621E-03 -9.7461E-04  2.4415E-03
  1.3179E+01 -5.2042E-03 -1.0400E-03  1.9637E-03
  1.3400E+01 -5.5669E-03 -1.1083E-03  1.3564E-03
  1.3619E+01 -5.9679E-03 -1.1826E-03  6.7978E-04
  1.3829E+01 -6.4062E-03 -1.2632E-03  3.0572E-05
  1.4039E+01 -6.9089E-03 -1.3553E-03 -5.6275E-04
  1.4249E+01 -7.4878E-03 -1.4612E-03 -1.0654E-03
  1.4459E+01 -8.1407E-03 -1.5811E-03 -1.4952E-03
  1.4669E+01 -8.8547E-03 -1.7133E-03 -1.9152E-03
  1.4877E+01 -9.6103E-03 -1.8549E-03 -2.3915E-03
  1.5076E+01 -1.0374E-02 -1.9991E-03 -2.9578E-03
  1.5275E+01 -1.1177E-02 -2.1510E-03 -3.6215E-03
  1.5474E+01 -1.2016E-02 -2.3094E-03 -4.3153E-03
  1.5674E+01 -1.2879E-02 -2.4720E-03 -4.9505E-03
  1.5872E+01 -1.3744E-02 -2.6337E-03 -5.4939E-03
  1.6061E+01 -1.4557E-02 -2.7848E-03 -5.9600E-03
  1.6250E+01 -1.5367E-02 -2.9341E-03 -6.3983E-03
  1.6439E+01 -1.6208E-02 -3.0878E-03 -6.8023E-03
  1.6628E+01 -1.7100E-02 -3.2501E-03 -7.2049E-03
  1.6817E+01 -1.8013E-02 -3.4163E-03 -7.6653E-03
  1.7006E+01 -1.8938E-02 -3.5848E-03 -8.1690E-03
  1.7195E+01 -1.9877E-02 -3.7561E-03 -8.6755E-03
  1.7384E+01 -2.0813E-02 -3.9262E-03 -9.1519E-03
  1.7572E+01 -2.1727E-02 -4.0924E-03 -9.4982E-03
  1.7761E+01 -2.2657E-02 -4.2601E-03 -9.6424E-03
  1.7950E+01 -2.3614E-02 -4.4301E-03 -9.6588E-03
  1.8139E+01 -2.4510E-02 -4.5883E-03 -9.6733E-03
  1.8328E+01 -2.5340E-02 -4.7338E-03 -9.6132E-03
  1.8517E+01 -2.6133E-02 -4.8705E-03 -9.4746E-03
  1.8706E+01 -2.7005E-02 -5.0142E-03 -9.5705E-03
  1.8895E+01 -2.8072E-02 -5.1822E-03 -1.0212E-02
  1.9084E+01 -2.9251E-02 -5.3644E-03 -1.1336E-02
  1.9273E+01 -3.0217E-02 -5.5140E-03 -1.2397E-02
  1.9462E+01 -3.0735E-02 -5.5929E-03 -1.3178E-02
  1.9646E+01 -3.0904E-02 -5.6129E-03 -1.3564E-02
  1.9825E+01 -3.0999E-02 -5.6153E-03 -1.3320E-02
  2.0005E+01 -3.1303E-02 -5.6419E-03 -1.2756E-02
  2.0184E+01 -3.1832E-02 -5.6964E-03 -1.2328E-02
  2.0364E+01 -3.2174E-02 -5.7190E-03 -1.2081E-02
  2.0543E+01 -3.1877E-02 -5.6464E-03 -1.1602E-02
  2.0720E+01 -3.1220E-02 -5.5217E-03 -1.0613E-02
  2.0890E+01 -3.0763E-02 -5.4344E-03 -9.4546E-03
  2.1061E+01 -3.0540E-02 -5.3886E-03 -8.7050E-03
  2.1231E+01 -3.0675E-02 -5.3959E-03 -8.8688E-03
  2.1401E+01 -3.1208E-02 -5.4635E-03 -1.0116E-02
  2.1572E+01 -3.1597E-02 -5.5077E-03 -1.2159E-02
  2.1742E+01 -3.1585E-02 -5.4927E-03 -1.4540E-02
  2.1913E+01 -3.1349E-02 -5.4479E-03 -1.6533E-02
  2.2083E+01 -3.0842E-02 -5.3700E-03 -1.7485E-02
  2.2253E+01 -2.9817E-02 -5.2210E-03 -1.8112E-02
  2.2424E+01 -2.8127E-02 -4.9683E-03 -1.9341E-02
  2.2594E+01 -2.6553E-02 -4.7214E-03 -2.0813E-02
  2.2765E+01 -2.5479E-02 -4.5466E-03 -2.1014E-02
  2.2935E+01 -2.4744E-02 -4.4261E-03 -1.9396E-02
  2.3105E+01 -2.4601E-02 -4.3950E-03 -1.7022E-02
  2.3276E+01 -2.4803E-02 -4.4198E-03 -1.5312E-02
  2.3446E+01 -2.4707E-02 -4.4066E-03 -1.4755E-02
  2.3617E+01 -2.4625E-02 -4.3960E-03 -1.5367E-02
  2.3787E+01 -2.4691E-02 -4.4025E-03 -1.6463E-02
  2.3958E+01 -2.4303E-02 -4.3369E-03 -1.7328E-02
  2.4128E+01 -2.3490E-02 -4.1995E-03 -1.8176E-02
  2.4298E+01 -2.2435E-02 -4.0211E-03 -1.8899E-02
  2.4469E+01 -2.1039E-02 -3.7913E-03 -1.8689E-02
  2.4639E+01 -2.0117E-02 -3.6386E-03 -1.6961E-02
  2.4810E+01 -1.9764E-02 -3.5806E-03 -1.4620E-02
  2.4980E+01 -1.9713E-02 -3.5710E-03 -1.2330E-02
  2.5150E+01 -1.9879E-02 -3.5975E-03 -1.0794E-02
  2.5321E+01 -2.0518E-02 -3.6984E-03 -1.0426E-02
  2.5491E+01 -2.1643E-02 -3.8622E-03 -1.1114E-02
  2.5662E+01 -2.2170E-02 -3.9428E-03 -1.2049E-02
  2.5832E+01 -2.1122E-02 -3.8128E-03 -1.2957E-02
  2.6002E+01 -1.9458E-02 -3.6004E-03 -1.2954E-02
  2.6173E+01 -1.8134E-02 -3.4363E-03 -1.1933E-02
  2.6343E+01 -1.7295E-02 -3.3332E-03 -1.1050E-02
  2.6514E+01 -1.7558E-02 -3.3761E-03 -1.0057E-02
  2.6684E+01 -1.8717E-02 -3.5455E-03 -8.4888E-03
  2.6854E+01 -1.9715E-02 -3.6854E-03 -7.1830E-03
  2.7025E+01 -1.9802E-02 -3.6838E-03 -6.0998E-03
  2.7195E+01 -1.9929E-02 -3.6840E-03 -4.6932E-03
  2.7366E+01 -2.0977E-02 -3.8195E-03 -3.2715E-03
  2.7536E+01 -2.2566E-02 -4.0411E-03 -2.4696E-03
  2.7707E+01 -2.3791E-02 -4.2189E-03 -2.8891E-03
  2.7877E+01 -2.4564E-02 -4.3404E-03 -3.9647E-03
  2.8047E+01 -2.5087E-02 -4.4267E-03 -4.9631E-03
