# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 14:23:39 2020
# diag: nrgsummary, run(s): 0002-0003, time window: 0-94.129725(1 steps), species: cold ions
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3600E-02  1.8244E-04  2.7189E-05  4.5168E-08
  6.7200E-02  1.0085E-04  1.4366E-05  3.7143E-08
  1.0080E-01  4.9335E-05  6.3712E-06  4.8087E-08
  1.3440E-01  1.0066E-04  1.3993E-05  4.2627E-08
  1.6800E-01  1.5498E-04  2.1536E-05  3.7759E-08
  2.0160E-01  1.6401E-04  2.2047E-05  2.0141E-09
  2.3520E-01  1.5288E-04  1.9817E-05 -1.0275E-07
  2.6880E-01  1.6615E-04  2.1563E-05 -1.9115E-07
  3.0240E-01  1.9052E-04  2.4835E-05 -3.1504E-07
  3.3600E-01  2.0354E-04  2.6190E-05 -5.5451E-07
  3.6960E-01  2.0541E-04  2.5792E-05 -9.4287E-07
  4.0320E-01  2.0605E-04  2.5281E-05 -1.3312E-06
  4.3680E-01  2.1411E-04  2.5862E-05 -1.9113E-06
  4.7040E-01  2.2501E-04  2.6800E-05 -2.3552E-06
  5.0400E-01  2.3116E-04  2.7116E-05 -2.9452E-06
  5.3760E-01  2.3824E-04  2.7596E-05 -3.6717E-06
  5.7120E-01  2.3955E-04  2.7294E-05 -4.3556E-06
  6.0480E-01  2.4601E-04  2.7712E-05 -5.3577E-06
  6.3840E-01  2.4108E-04  2.6145E-05 -6.0801E-06
  6.7200E-01  2.3932E-04  2.5296E-05 -7.0496E-06
  7.0560E-01  2.4377E-04  2.5370E-05 -8.3379E-06
  7.3920E-01  2.4588E-04  2.5407E-05 -8.9911E-06
  7.7280E-01  2.4083E-04  2.3722E-05 -1.0386E-05
  8.0640E-01  2.2972E-04  2.1065E-05 -1.1795E-05
  8.4000E-01  2.3337E-04  2.1212E-05 -1.3244E-05
  8.7360E-01  2.3962E-04  2.1425E-05 -1.4184E-05
  9.0720E-01  2.2773E-04  1.8871E-05 -1.6012E-05
  9.4080E-01  2.1420E-04  1.6180E-05 -1.7662E-05
  9.7440E-01  2.1436E-04  1.5417E-05 -1.8772E-05
  1.0080E+00  2.1652E-04  1.4978E-05 -2.0174E-05
  1.0416E+00  2.1326E-04  1.3808E-05 -2.1822E-05
  1.0752E+00  1.9752E-04  1.0500E-05 -2.3827E-05
  1.1088E+00  1.8269E-04  7.5942E-06 -2.4118E-05
  1.1424E+00  1.8121E-04  6.8698E-06 -2.6252E-05
  1.1760E+00  1.8307E-04  6.2109E-06 -2.8323E-05
  1.2096E+00  1.7863E-04  4.2239E-06 -3.1265E-05
  1.2432E+00  1.6562E-04  1.2552E-06 -3.2093E-05
  1.2768E+00  1.5182E-04 -1.3236E-06 -3.3351E-05
  1.3104E+00  1.4301E-04 -2.9455E-06 -3.2867E-05
  1.3440E+00  1.3785E-04 -4.6637E-06 -3.3982E-05
  1.3776E+00  1.3408E-04 -6.7303E-06 -3.6907E-05
  1.4112E+00  1.2614E-04 -8.8670E-06 -3.8418E-05
  1.4448E+00  1.1423E-04 -1.1397E-05 -4.0198E-05
  1.4784E+00  1.0065E-04 -1.4411E-05 -4.1931E-05
  1.5120E+00  9.0245E-05 -1.6845E-05 -4.2628E-05
  1.5456E+00  8.1072E-05 -1.9148E-05 -4.2175E-05
  1.5792E+00  7.6534E-05 -2.0930E-05 -4.3361E-05
  1.6128E+00  6.5030E-05 -2.3896E-05 -4.3864E-05
  1.6464E+00  5.1662E-05 -2.6916E-05 -4.4202E-05
  1.6800E+00  4.1776E-05 -2.9439E-05 -4.5308E-05
  1.7136E+00  3.2074E-05 -3.2123E-05 -4.6212E-05
  1.7472E+00  2.2139E-05 -3.4814E-05 -4.7337E-05
  1.7808E+00  1.2629E-05 -3.7267E-05 -4.6850E-05
  1.8144E+00  2.3477E-06 -3.9831E-05 -4.6515E-05
  1.8480E+00 -8.3250E-06 -4.2822E-05 -4.6934E-05
  1.8816E+00 -2.0396E-05 -4.6101E-05 -4.8467E-05
  1.9152E+00 -3.2495E-05 -4.9218E-05 -4.8544E-05
  1.9488E+00 -4.5087E-05 -5.2569E-05 -4.8861E-05
  1.9824E+00 -5.9270E-05 -5.6267E-05 -5.0037E-05
  2.0160E+00 -7.1103E-05 -5.9108E-05 -4.8911E-05
  2.0496E+00 -7.9920E-05 -6.1513E-05 -4.7859E-05
  2.0832E+00 -9.0055E-05 -6.4155E-05 -4.6982E-05
  2.1168E+00 -1.0242E-04 -6.7327E-05 -4.6421E-05
  2.1504E+00 -1.1728E-04 -7.0940E-05 -4.5808E-05
  2.1840E+00 -1.2921E-04 -7.4101E-05 -4.4995E-05
  2.2176E+00 -1.4141E-04 -7.7478E-05 -4.4726E-05
  2.2512E+00 -1.5918E-04 -8.1952E-05 -4.4209E-05
  2.2848E+00 -1.7331E-04 -8.5630E-05 -4.3094E-05
  2.3184E+00 -1.8676E-04 -8.9182E-05 -4.1558E-05
  2.3520E+00 -2.0102E-04 -9.2748E-05 -4.0445E-05
  2.3856E+00 -2.1458E-04 -9.6245E-05 -3.9163E-05
  2.4192E+00 -2.2881E-04 -1.0003E-04 -3.8174E-05
  2.4528E+00 -2.4547E-04 -1.0412E-04 -3.5667E-05
  2.4864E+00 -2.6147E-04 -1.0815E-04 -3.3233E-05
  2.5200E+00 -2.7764E-04 -1.1219E-04 -3.1796E-05
  2.5536E+00 -2.9811E-04 -1.1714E-04 -3.0909E-05
  2.5872E+00 -3.1590E-04 -1.2200E-04 -2.9168E-05
  2.6208E+00 -3.2914E-04 -1.2590E-04 -2.7083E-05
  2.6544E+00 -3.4565E-04 -1.3025E-04 -2.3843E-05
  2.6880E+00 -3.6500E-04 -1.3511E-04 -2.1792E-05
  2.7216E+00 -3.8468E-04 -1.4005E-04 -2.0827E-05
  2.7552E+00 -4.0464E-04 -1.4482E-04 -1.8256E-05
  2.7888E+00 -4.2424E-04 -1.4958E-04 -1.6009E-05
  2.8224E+00 -4.4326E-04 -1.5470E-04 -1.3898E-05
  2.8560E+00 -4.6227E-04 -1.5977E-04 -1.0394E-05
  2.8896E+00 -4.8095E-04 -1.6467E-04 -7.0296E-06
  2.9232E+00 -5.0179E-04 -1.7002E-04 -4.3079E-06
  2.9568E+00 -5.2314E-04 -1.7537E-04 -1.5687E-06
  2.9904E+00 -5.4537E-04 -1.8098E-04  1.7028E-06
  3.0240E+00 -5.6855E-04 -1.8677E-04  5.1775E-06
  3.0576E+00 -5.8978E-04 -1.9227E-04  7.6215E-06
  3.0912E+00 -6.1112E-04 -1.9777E-04  1.0334E-05
  3.1248E+00 -6.3424E-04 -2.0334E-04  1.3582E-05
