# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:21:32 2020
# diag: nrgsummary, run(s): 0002-0003, time window: 0-93.97483(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3600E-02  1.7589E-01  2.5454E-01  1.4533E-05
  6.7200E-02  9.0844E-02  1.1910E-01 -2.2048E-05
  1.0080E-01  3.6366E-02  3.8912E-02 -3.0490E-05
  1.3440E-01  8.2861E-02  1.1118E-01 -1.5905E-05
  1.6800E-01  1.3290E-01  1.8618E-01  1.3398E-05
  2.0160E-01  1.3835E-01  1.9419E-01  2.7779E-05
  2.3520E-01  1.2500E-01  1.7575E-01  2.3156E-05
  2.6880E-01  1.3693E-01  1.9414E-01  1.8477E-05
  3.0240E-01  1.6063E-01  2.2747E-01  2.0676E-05
  3.3600E-01  1.7306E-01  2.4232E-01  2.8042E-05
  3.6960E-01  1.7426E-01  2.3944E-01  3.7093E-05
  4.0320E-01  1.7392E-01  2.3516E-01  4.2878E-05
  4.3680E-01  1.8099E-01  2.4265E-01  4.5096E-05
  4.7040E-01  1.9158E-01  2.5576E-01  5.9097E-05
  5.0400E-01  1.9847E-01  2.6341E-01  5.8513E-05
  5.3760E-01  2.0670E-01  2.7313E-01  6.4354E-05
  5.7120E-01  2.1030E-01  2.7619E-01  6.2556E-05
  6.0480E-01  2.2027E-01  2.8831E-01  5.9580E-05
  6.3840E-01  2.1840E-01  2.7944E-01  4.7099E-05
  6.7200E-01  2.2161E-01  2.8059E-01  4.5004E-05
  7.0560E-01  2.2799E-01  2.8563E-01  5.0803E-05
  7.3920E-01  2.3433E-01  2.9217E-01  4.5280E-05
  7.7280E-01  2.3695E-01  2.9086E-01  4.4474E-05
  8.0640E-01  2.2960E-01  2.7337E-01  4.5442E-05
  8.4000E-01  2.3733E-01  2.8320E-01  5.2887E-05
  8.7360E-01  2.4908E-01  2.9870E-01  5.9006E-05
  9.0720E-01  2.4214E-01  2.8447E-01  5.4231E-05
  9.4080E-01  2.3538E-01  2.7102E-01  5.6134E-05
  9.7440E-01  2.4442E-01  2.7915E-01  6.0265E-05
  1.0080E+00  2.5348E-01  2.8669E-01  6.6793E-05
  1.0416E+00  2.5614E-01  2.8764E-01  6.4544E-05
  1.0752E+00  2.4739E-01  2.7207E-01  5.9078E-05
  1.1088E+00  2.3854E-01  2.5642E-01  6.2160E-05
  1.1424E+00  2.4645E-01  2.6537E-01  7.0570E-05
  1.1760E+00  2.5628E-01  2.7659E-01  7.3430E-05
  1.2096E+00  2.5890E-01  2.7717E-01  6.1900E-05
  1.2432E+00  2.5101E-01  2.6295E-01  5.6780E-05
  1.2768E+00  2.4297E-01  2.5021E-01  5.9080E-05
  1.3104E+00  2.3994E-01  2.4583E-01  4.6760E-05
  1.3440E+00  2.4922E-01  2.5679E-01  4.9100E-05
  1.3776E+00  2.5909E-01  2.6442E-01  5.0030E-05
  1.4112E+00  2.5636E-01  2.5562E-01  4.9190E-05
  1.4448E+00  2.5319E-01  2.4938E-01  5.2310E-05
  1.4784E+00  2.4868E-01  2.4017E-01  7.1470E-05
  1.5120E+00  2.4612E-01  2.3439E-01  6.1360E-05
  1.5456E+00  2.4837E-01  2.3788E-01  3.6390E-05
  1.5792E+00  2.5726E-01  2.4865E-01  4.2680E-05
  1.6128E+00  2.5402E-01  2.4167E-01  4.8120E-05
  1.6464E+00  2.4859E-01  2.3330E-01  4.2830E-05
  1.6800E+00  2.4992E-01  2.3319E-01  4.1560E-05
  1.7136E+00  2.5208E-01  2.3314E-01  4.4670E-05
  1.7472E+00  2.5312E-01  2.3170E-01  3.6120E-05
  1.7808E+00  2.5267E-01  2.2989E-01  3.2810E-05
  1.8144E+00  2.5482E-01  2.3268E-01  4.0280E-05
  1.8480E+00  2.5841E-01  2.3618E-01  4.3900E-05
  1.8816E+00  2.5759E-01  2.3308E-01  4.9740E-05
  1.9152E+00  2.5611E-01  2.2923E-01  5.2500E-05
  1.9488E+00  2.5699E-01  2.2816E-01  5.3130E-05
  1.9824E+00  2.5404E-01  2.2035E-01  4.4550E-05
  2.0160E+00  2.5118E-01  2.1476E-01  3.6840E-05
  2.0496E+00  2.5452E-01  2.1949E-01  3.6900E-05
  2.0832E+00  2.5896E-01  2.2545E-01  3.3880E-05
  2.1168E+00  2.6152E-01  2.2828E-01  3.5660E-05
  2.1504E+00  2.6007E-01  2.2365E-01  4.7890E-05
  2.1840E+00  2.6388E-01  2.2638E-01  5.2560E-05
  2.2176E+00  2.6949E-01  2.3170E-01  5.1100E-05
  2.2512E+00  2.6888E-01  2.2691E-01  5.6320E-05
  2.2848E+00  2.6951E-01  2.2496E-01  5.2990E-05
  2.3184E+00  2.7183E-01  2.2619E-01  4.3770E-05
  2.3520E+00  2.7417E-01  2.2821E-01  3.7070E-05
  2.3856E+00  2.7869E-01  2.3382E-01  2.7600E-05
  2.4192E+00  2.8145E-01  2.3567E-01  2.0840E-05
  2.4528E+00  2.8202E-01  2.3442E-01  2.4690E-05
  2.4864E+00  2.8558E-01  2.3718E-01  2.9620E-05
  2.5200E+00  2.8986E-01  2.4050E-01  3.5760E-05
  2.5536E+00  2.9271E-01  2.4096E-01  3.9290E-05
  2.5872E+00  2.9613E-01  2.4149E-01  4.4110E-05
  2.6208E+00  3.0024E-01  2.4434E-01  5.2050E-05
  2.6544E+00  3.0442E-01  2.4850E-01  6.1000E-05
  2.6880E+00  3.1039E-01  2.5408E-01  7.0780E-05
  2.7216E+00  3.1495E-01  2.5601E-01  7.6610E-05
  2.7552E+00  3.1618E-01  2.5369E-01  8.0500E-05
  2.7888E+00  3.2013E-01  2.5646E-01  9.2100E-05
  2.8224E+00  3.2666E-01  2.6234E-01  1.0784E-04
  2.8560E+00  3.3073E-01  2.6427E-01  1.3352E-04
  2.8896E+00  3.3654E-01  2.6846E-01  1.6073E-04
  2.9232E+00  3.4348E-01  2.7378E-01  1.8898E-04
  2.9568E+00  3.4812E-01  2.7573E-01  2.0839E-04
  2.9904E+00  3.5238E-01  2.7715E-01  2.2056E-04
  3.0240E+00  3.5637E-01  2.7779E-01  2.3809E-04
  3.0576E+00  3.6182E-01  2.7972E-01  2.5193E-04
  3.0912E+00  3.6768E-01  2.8224E-01  2.6073E-04
  3.1248E+00  3.7196E-01  2.8314E-01  2.6917E-04
  3.1584E+00  3.7818E-01  2.8665E-01  2.7336E-04
  3.1920E+00  3.8512E-01  2.9064E-01  2.7350E-04
  3.2256E+00  3.9041E-01  2.9240E-01  2.7441E-04
  3.2592E+00  3.9639E-01  2.9538E-01  2.7704E-04
  3.2928E+00  4.0439E-01  3.0143E-01  2.7826E-04
  3.3264E+00  4.1273E-01  3.0759E-01  2.7788E-04
  3.3600E+00  4.2057E-01  3.1327E-01  2.7580E-04
  3.3936E+00  4.3060E-01  3.2211E-01  2.7536E-04
  3.4272E+00  4.4345E-01  3.3476E-01  2.7303E-04
  3.4608E+00  4.5511E-01  3.4538E-01  2.6902E-04
  3.4944E+00  4.6654E-01  3.5576E-01  2.6584E-04
  3.5280E+00  4.8065E-01  3.6996E-01  2.6165E-04
  3.5616E+00  4.9533E-01  3.8400E-01  2.5835E-04
  3.5952E+00  5.0770E-01  3.9414E-01  2.6169E-04
  3.6288E+00  5.2094E-01  4.0535E-01  2.7328E-04
  3.6624E+00  5.3550E-01  4.1765E-01  2.9770E-04
  3.6960E+00  5.4871E-01  4.2727E-01  3.3595E-04
  3.7296E+00  5.5946E-01  4.3312E-01  3.8436E-04
  3.7632E+00  5.6916E-01  4.3752E-01  4.3846E-04
  3.7968E+00  5.7913E-01  4.4145E-01  4.9115E-04
  3.8304E+00  5.8822E-01  4.4304E-01  5.3308E-04
  3.8640E+00  5.9807E-01  4.4632E-01  5.6065E-04
  3.8976E+00  6.0834E-01  4.5016E-01  5.7361E-04
  3.9312E+00  6.1818E-01  4.5332E-01  5.6914E-04
  3.9648E+00  6.2930E-01  4.5872E-01  5.5694E-04
  3.9984E+00  6.4261E-01  4.6742E-01  5.3946E-04
  4.0320E+00  6.5771E-01  4.7842E-01  5.2188E-04
  4.0656E+00  6.7301E-01  4.8918E-01  5.0935E-04
  4.0992E+00  6.8865E-01  5.0036E-01  5.0510E-04
  4.1328E+00  7.0531E-01  5.1264E-01  5.0679E-04
  4.1664E+00  7.2303E-01  5.2594E-01  5.1193E-04
  4.2000E+00  7.4170E-01  5.4035E-01  5.1842E-04
  4.2336E+00  7.6150E-01  5.5585E-01  5.2508E-04
  4.2672E+00  7.8231E-01  5.7257E-01  5.3658E-04
  4.3008E+00  8.0358E-01  5.8963E-01  5.5196E-04
  4.3344E+00  8.2656E-01  6.0881E-01  5.6793E-04
  4.3680E+00  8.5031E-01  6.2892E-01  5.8549E-04
  4.4016E+00  8.7493E-01  6.4994E-01  6.0091E-04
  4.4352E+00  9.0013E-01  6.7111E-01  6.1472E-04
  4.4688E+00  9.2627E-01  6.9321E-01  6.3248E-04
  4.5024E+00  9.5280E-01  7.1487E-01  6.5302E-04
  4.5360E+00  9.7907E-01  7.3520E-01  6.8121E-04
  4.5696E+00  1.0051E+00  7.5383E-01  7.1613E-04
  4.6032E+00  1.0309E+00  7.7081E-01  7.5367E-04
  4.6368E+00  1.0571E+00  7.8711E-01  7.8679E-04
  4.6704E+00  1.0834E+00  8.0310E-01  8.0975E-04
  4.7040E+00  1.1092E+00  8.1814E-01  8.1916E-04
  4.7376E+00  1.1352E+00  8.3425E-01  8.1821E-04
  4.7712E+00  1.1636E+00  8.5466E-01  8.0760E-04
  4.8048E+00  1.1946E+00  8.7985E-01  8.0136E-04
  4.8384E+00  1.2278E+00  9.0891E-01  8.0107E-04
  4.8720E+00  1.2636E+00  9.4176E-01  8.0992E-04
  4.9056E+00  1.3011E+00  9.7579E-01  8.4250E-04
  4.9392E+00  1.3395E+00  1.0090E+00  9.0240E-04
  4.9728E+00  1.3773E+00  1.0387E+00  9.8116E-04
  5.0064E+00  1.4120E+00  1.0615E+00  1.0732E-03
  5.0400E+00  1.4444E+00  1.0790E+00  1.1499E-03
  5.0736E+00  1.4757E+00  1.0949E+00  1.1875E-03
  5.1072E+00  1.5086E+00  1.1145E+00  1.1781E-03
  5.1408E+00  1.5451E+00  1.1414E+00  1.1238E-03
  5.1744E+00  1.5863E+00  1.1769E+00  1.0489E-03
  5.2080E+00  1.6323E+00  1.2202E+00  9.8379E-04
  5.2416E+00  1.6804E+00  1.2652E+00  9.6279E-04
  5.2752E+00  1.7282E+00  1.3064E+00  1.0074E-03
  5.3088E+00  1.7747E+00  1.3417E+00  1.1093E-03
  5.3424E+00  1.8185E+00  1.3697E+00  1.2253E-03
  5.3760E+00  1.8602E+00  1.3924E+00  1.2978E-03
  5.4096E+00  1.9012E+00  1.4148E+00  1.3008E-03
  5.4432E+00  1.9455E+00  1.4455E+00  1.2502E-03
  5.4768E+00  1.9956E+00  1.4888E+00  1.1901E-03
  5.5104E+00  2.0523E+00  1.5442E+00  1.1496E-03
  5.5440E+00  2.1140E+00  1.6067E+00  1.1536E-03
  5.5776E+00  2.1774E+00  1.6671E+00  1.1943E-03
  5.6112E+00  2.2358E+00  1.7125E+00  1.2651E-03
  5.6448E+00  2.2858E+00  1.7397E+00  1.3478E-03
  5.6784E+00  2.3304E+00  1.7564E+00  1.4074E-03
  5.7120E+00  2.3741E+00  1.7741E+00  1.4340E-03
  5.7456E+00  2.4232E+00  1.8050E+00  1.4347E-03
  5.7792E+00  2.4819E+00  1.8544E+00  1.4266E-03
  5.8128E+00  2.5495E+00  1.9178E+00  1.4454E-03
  5.8464E+00  2.6232E+00  1.9879E+00  1.5036E-03
  5.8800E+00  2.6975E+00  2.0545E+00  1.5775E-03
  5.9136E+00  2.7702E+00  2.1155E+00  1.6372E-03
  5.9472E+00  2.8404E+00  2.1720E+00  1.6760E-03
  5.9808E+00  2.9089E+00  2.2270E+00  1.7150E-03
  6.0144E+00  2.9756E+00  2.2802E+00  1.7604E-03
  6.0480E+00  3.0391E+00  2.3274E+00  1.8087E-03
  6.0816E+00  3.0995E+00  2.3658E+00  1.8490E-03
  6.1152E+00  3.1592E+00  2.3995E+00  1.8721E-03
  6.1488E+00  3.2248E+00  2.4417E+00  1.8731E-03
  6.1824E+00  3.3024E+00  2.5057E+00  1.8833E-03
  6.2160E+00  3.3938E+00  2.5962E+00  1.9132E-03
  6.2496E+00  3.4934E+00  2.7032E+00  1.9664E-03
  6.2832E+00  3.5920E+00  2.8079E+00  2.0379E-03
  6.3168E+00  3.6811E+00  2.8909E+00  2.1384E-03
  6.3504E+00  3.7540E+00  2.9386E+00  2.2492E-03
  6.3840E+00  3.8137E+00  2.9584E+00  2.2929E-03
  6.4176E+00  3.8699E+00  2.9718E+00  2.2449E-03
  6.4512E+00  3.9354E+00  3.0069E+00  2.1727E-03
  6.4848E+00  4.0216E+00  3.0874E+00  2.1153E-03
  6.5184E+00  4.1314E+00  3.2139E+00  2.0913E-03
  6.5520E+00  4.2576E+00  3.3630E+00  2.1368E-03
  6.5856E+00  4.3823E+00  3.4931E+00  2.2608E-03
  6.6192E+00  4.4854E+00  3.5681E+00  2.3634E-03
  6.6528E+00  4.5606E+00  3.5894E+00  2.3745E-03
  6.6864E+00  4.6210E+00  3.5965E+00  2.3515E-03
  6.7200E+00  4.6879E+00  3.6356E+00  2.2934E-03
  6.7536E+00  4.7739E+00  3.7204E+00  2.2020E-03
  6.7872E+00  4.8817E+00  3.8388E+00  2.2144E-03
  6.8208E+00  5.0061E+00  3.9703E+00  2.3855E-03
  6.8532E+00  5.1345E+00  4.0949E+00  2.4835E-03
  6.8851E+00  5.2556E+00  4.1971E+00  2.3786E-03
  6.9171E+00  5.3591E+00  4.2693E+00  2.2465E-03
  6.9490E+00  5.4448E+00  4.3248E+00  2.2934E-03
  6.9809E+00  5.5256E+00  4.3858E+00  2.4498E-03
  7.0128E+00  5.6122E+00  4.4569E+00  2.5111E-03
  7.0447E+00  5.7036E+00  4.5248E+00  2.4425E-03
  7.0767E+00  5.7990E+00  4.5919E+00  2.3746E-03
  7.1086E+00  5.9131E+00  4.6914E+00  2.4005E-03
  7.1405E+00  6.0529E+00  4.8379E+00  2.4812E-03
  7.1724E+00  6.2033E+00  5.0027E+00  2.5198E-03
  7.2043E+00  6.3387E+00  5.1362E+00  2.5213E-03
  7.2362E+00  6.4434E+00  5.2113E+00  2.5047E-03
  7.2682E+00  6.5255E+00  5.2497E+00  2.4086E-03
  7.3001E+00  6.6069E+00  5.2959E+00  2.2435E-03
  7.3320E+00  6.7081E+00  5.3798E+00  2.1514E-03
  7.3639E+00  6.8324E+00  5.4986E+00  2.1791E-03
  7.3958E+00  6.9742E+00  5.6364E+00  2.2671E-03
  7.4278E+00  7.1277E+00  5.7823E+00  2.3658E-03
  7.4597E+00  7.2712E+00  5.9069E+00  2.4743E-03
  7.4916E+00  7.3855E+00  5.9948E+00  2.6036E-03
  7.5235E+00  7.4705E+00  6.0538E+00  2.6397E-03
  7.5554E+00  7.5472E+00  6.1068E+00  2.4945E-03
  7.5874E+00  7.6420E+00  6.1772E+00  2.2366E-03
  7.6193E+00  7.7709E+00  6.2865E+00  1.9932E-03
  7.6512E+00  7.9255E+00  6.4336E+00  1.9192E-03
  7.6831E+00  8.0711E+00  6.5755E+00  2.1512E-03
  7.7150E+00  8.1874E+00  6.6870E+00  2.5466E-03
  7.7470E+00  8.2882E+00  6.7848E+00  2.6091E-03
  7.7789E+00  8.3862E+00  6.8756E+00  2.1693E-03
  7.8108E+00  8.4766E+00  6.9427E+00  1.7000E-03
  7.8427E+00  8.5724E+00  7.0125E+00  1.6563E-03
  7.8746E+00  8.6915E+00  7.1215E+00  1.9467E-03
  7.9065E+00  8.8110E+00  7.2352E+00  2.2494E-03
  7.9385E+00  8.8894E+00  7.2925E+00  2.3017E-03
  7.9704E+00  8.9420E+00  7.3305E+00  2.0972E-03
  8.0023E+00  9.0103E+00  7.4066E+00  1.9494E-03
  8.0342E+00  9.1061E+00  7.5136E+00  1.8746E-03
  8.0661E+00  9.2102E+00  7.6076E+00  1.7938E-03
  8.0981E+00  9.3029E+00  7.6732E+00  1.9072E-03
  8.1300E+00  9.3867E+00  7.7445E+00  2.1684E-03
  8.1619E+00  9.4538E+00  7.8271E+00  2.1509E-03
  8.1938E+00  9.4994E+00  7.9013E+00  1.8700E-03
  8.2257E+00  9.5365E+00  7.9543E+00  1.7055E-03
  8.2577E+00  9.5870E+00  8.0039E+00  1.5314E-03
  8.2896E+00  9.6506E+00  8.0537E+00  1.2189E-03
  8.3215E+00  9.6868E+00  8.0615E+00  1.3312E-03
  8.3534E+00  9.6983E+00  8.0560E+00  1.9440E-03
  8.3853E+00  9.7220E+00  8.0917E+00  2.0460E-03
  8.4173E+00  9.7475E+00  8.1360E+00  1.5028E-03
  8.4492E+00  9.7506E+00  8.1435E+00  9.4252E-04
  8.4811E+00  9.7572E+00  8.1661E+00  8.8810E-04
  8.5130E+00  9.8032E+00  8.2616E+00  1.4834E-03
  8.5449E+00  9.8646E+00  8.3644E+00  1.9311E-03
  8.5768E+00  9.8820E+00  8.3658E+00  1.6323E-03
