# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:21:32 2020
# diag: nrgsummary, run(s): 0002-0003, time window: 0-93.97483(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3600E-02  1.7570E-01  2.6188E-01  9.1792E-05
  6.7200E-02  9.0743E-02  1.5291E-01  2.6858E-05
  1.0080E-01  3.6317E-02  7.2660E-02  1.4130E-05
  1.3440E-01  8.2761E-02  1.3797E-01  3.3840E-05
  1.6800E-01  1.3275E-01  2.2320E-01  5.7567E-05
  2.0160E-01  1.3818E-01  2.5043E-01 -2.6049E-05
  2.3520E-01  1.2485E-01  2.4413E-01 -2.4476E-04
  2.6880E-01  1.3676E-01  2.6827E-01 -3.5573E-04
  3.0240E-01  1.6044E-01  3.1287E-01 -4.5948E-04
  3.3600E-01  1.7286E-01  3.4566E-01 -7.8845E-04
  3.6960E-01  1.7405E-01  3.6416E-01 -1.3718E-03
  4.0320E-01  1.7371E-01  3.7875E-01 -1.9757E-03
  4.3680E-01  1.8078E-01  4.0390E-01 -2.9463E-03
  4.7040E-01  1.9136E-01  4.3660E-01 -3.4901E-03
  5.0400E-01  1.9824E-01  4.6415E-01 -4.4079E-03
  5.3760E-01  2.0646E-01  4.9079E-01 -5.5039E-03
  5.7120E-01  2.1006E-01  5.1311E-01 -6.5832E-03
  6.0480E-01  2.2003E-01  5.4562E-01 -8.1739E-03
  6.3840E-01  2.1816E-01  5.6755E-01 -9.4047E-03
  6.7200E-01  2.2137E-01  5.9122E-01 -1.0730E-02
  7.0560E-01  2.2775E-01  6.1566E-01 -1.2793E-02
  7.3920E-01  2.3409E-01  6.3948E-01 -1.3396E-02
  7.7280E-01  2.3671E-01  6.7578E-01 -1.5699E-02
  8.0640E-01  2.2937E-01  6.9094E-01 -1.8164E-02
  8.4000E-01  2.3710E-01  7.1499E-01 -2.0112E-02
  8.7360E-01  2.4884E-01  7.5492E-01 -2.1352E-02
  9.0720E-01  2.4192E-01  7.6911E-01 -2.4070E-02
  9.4080E-01  2.3517E-01  7.8379E-01 -2.6224E-02
  9.7440E-01  2.4420E-01  8.2246E-01 -2.7965E-02
  1.0080E+00  2.5326E-01  8.5642E-01 -3.0012E-02
  1.0416E+00  2.5593E-01  8.8240E-01 -3.1970E-02
  1.0752E+00  2.4719E-01  9.0278E-01 -3.4438E-02
  1.1088E+00  2.3836E-01  9.1054E-01 -3.3879E-02
  1.1424E+00  2.4627E-01  9.3934E-01 -3.6933E-02
  1.1760E+00  2.5609E-01  9.8123E-01 -3.9847E-02
  1.2096E+00  2.5872E-01  1.0236E+00 -4.4548E-02
  1.2432E+00  2.5084E-01  1.0389E+00 -4.4964E-02
  1.2768E+00  2.4281E-01  1.0405E+00 -4.5134E-02
  1.3104E+00  2.3979E-01  1.0454E+00 -4.2449E-02
  1.3440E+00  2.4908E-01  1.0948E+00 -4.4155E-02
  1.3776E+00  2.5896E-01  1.1540E+00 -4.8907E-02
  1.4112E+00  2.5623E-01  1.1753E+00 -5.0738E-02
  1.4448E+00  2.5308E-01  1.1927E+00 -5.2884E-02
  1.4784E+00  2.4858E-01  1.2094E+00 -5.3031E-02
  1.5120E+00  2.4603E-01  1.2281E+00 -5.2332E-02
  1.5456E+00  2.4829E-01  1.2627E+00 -5.1836E-02
  1.5792E+00  2.5718E-01  1.3093E+00 -5.4100E-02
  1.6128E+00  2.5395E-01  1.3344E+00 -5.3745E-02
  1.6464E+00  2.4853E-01  1.3536E+00 -5.3169E-02
  1.6800E+00  2.4988E-01  1.3844E+00 -5.4549E-02
  1.7136E+00  2.5205E-01  1.4194E+00 -5.5053E-02
  1.7472E+00  2.5309E-01  1.4538E+00 -5.6169E-02
  1.7808E+00  2.5266E-01  1.4796E+00 -5.5370E-02
  1.8144E+00  2.5482E-01  1.5117E+00 -5.4665E-02
  1.8480E+00  2.5842E-01  1.5548E+00 -5.5039E-02
  1.8816E+00  2.5761E-01  1.5911E+00 -5.6697E-02
  1.9152E+00  2.5615E-01  1.6217E+00 -5.5709E-02
  1.9488E+00  2.5705E-01  1.6623E+00 -5.5342E-02
  1.9824E+00  2.5410E-01  1.6966E+00 -5.6074E-02
  2.0160E+00  2.5125E-01  1.7173E+00 -5.4011E-02
  2.0496E+00  2.5460E-01  1.7489E+00 -5.2793E-02
  2.0832E+00  2.5904E-01  1.7882E+00 -5.2284E-02
  2.1168E+00  2.6162E-01  1.8286E+00 -5.2468E-02
  2.1504E+00  2.6019E-01  1.8621E+00 -5.1787E-02
  2.1840E+00  2.6401E-01  1.9051E+00 -5.1243E-02
  2.2176E+00  2.6963E-01  1.9580E+00 -5.1687E-02
  2.2512E+00  2.6904E-01  2.0048E+00 -5.0834E-02
  2.2848E+00  2.6968E-01  2.0454E+00 -4.9305E-02
  2.3184E+00  2.7201E-01  2.0898E+00 -4.7925E-02
  2.3520E+00  2.7437E-01  2.1324E+00 -4.7019E-02
  2.3856E+00  2.7890E-01  2.1808E+00 -4.6020E-02
  2.4192E+00  2.8168E-01  2.2293E+00 -4.5242E-02
  2.4528E+00  2.8228E-01  2.2730E+00 -4.2628E-02
  2.4864E+00  2.8584E-01  2.3222E+00 -4.0281E-02
  2.5200E+00  2.9014E-01  2.3749E+00 -3.9169E-02
  2.5536E+00  2.9301E-01  2.4381E+00 -3.8791E-02
  2.5872E+00  2.9644E-01  2.5005E+00 -3.6845E-02
  2.6208E+00  3.0057E-01  2.5531E+00 -3.4802E-02
  2.6544E+00  3.0476E-01  2.6132E+00 -3.1743E-02
  2.6880E+00  3.1076E-01  2.6801E+00 -3.0114E-02
  2.7216E+00  3.1534E-01  2.7413E+00 -2.9093E-02
  2.7552E+00  3.1659E-01  2.7945E+00 -2.6533E-02
  2.7888E+00  3.2055E-01  2.8555E+00 -2.4972E-02
  2.8224E+00  3.2710E-01  2.9293E+00 -2.3222E-02
  2.8560E+00  3.3120E-01  2.9973E+00 -1.9393E-02
  2.8896E+00  3.3702E-01  3.0667E+00 -1.6583E-02
  2.9232E+00  3.4398E-01  3.1406E+00 -1.4245E-02
  2.9568E+00  3.4864E-01  3.2089E+00 -1.1350E-02
  2.9904E+00  3.5292E-01  3.2818E+00 -8.5659E-03
  3.0240E+00  3.5694E-01  3.3564E+00 -5.5972E-03
  3.0576E+00  3.6241E-01  3.4307E+00 -2.8856E-03
  3.0912E+00  3.6829E-01  3.5078E+00  3.9320E-05
  3.1248E+00  3.7260E-01  3.5815E+00  2.9377E-03
  3.1584E+00  3.7884E-01  3.6606E+00  5.2688E-03
  3.1920E+00  3.8580E-01  3.7481E+00  7.9535E-03
  3.2256E+00  3.9111E-01  3.8370E+00  1.1888E-02
  3.2592E+00  3.9712E-01  3.9252E+00  1.5255E-02
  3.2928E+00  4.0515E-01  4.0193E+00  1.8058E-02
  3.3264E+00  4.1352E-01  4.1173E+00  2.0334E-02
  3.3600E+00  4.2139E-01  4.2166E+00  2.2967E-02
  3.3936E+00  4.3145E-01  4.3210E+00  2.6141E-02
  3.4272E+00  4.4432E-01  4.4329E+00  2.8174E-02
  3.4608E+00  4.5601E-01  4.5462E+00  3.0867E-02
  3.4944E+00  4.6747E-01  4.6586E+00  3.4656E-02
  3.5280E+00  4.8161E-01  4.7760E+00  3.7879E-02
  3.5616E+00  4.9632E-01  4.9004E+00  4.1549E-02
  3.5952E+00  5.0872E-01  5.0213E+00  4.6067E-02
  3.6288E+00  5.2198E-01  5.1416E+00  4.9848E-02
  3.6624E+00  5.3657E-01  5.2700E+00  5.3979E-02
  3.6960E+00  5.4982E-01  5.4024E+00  5.8923E-02
  3.7296E+00  5.6061E-01  5.5320E+00  6.4014E-02
  3.7632E+00  5.7035E-01  5.6591E+00  6.9296E-02
  3.7968E+00  5.8035E-01  5.7894E+00  7.4644E-02
  3.8304E+00  5.8948E-01  5.9225E+00  7.9870E-02
  3.8640E+00  5.9937E-01  6.0600E+00  8.4719E-02
  3.8976E+00  6.0969E-01  6.2053E+00  8.9239E-02
  3.9312E+00  6.1957E-01  6.3521E+00  9.3824E-02
  3.9648E+00  6.3074E-01  6.5014E+00  9.8661E-02
