# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 20:50:30 2020
# diag: nrgsummary, run(s): 0016, time window: 0-349.03173(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4609E-01 -8.1037E-06  1.0630E-01 -3.3257E-03
  4.9218E-01 -1.3163E-06  1.9026E-01 -1.9218E-02
  7.3826E-01  1.8323E-05  2.5801E-01 -3.6309E-02
  9.8435E-01  3.6821E-05  3.1864E-01 -4.3186E-02
  1.2304E+00  4.7388E-05  3.7375E-01 -3.6930E-02
  1.4765E+00  5.2906E-05  4.2221E-01 -2.0365E-02
  1.7226E+00  5.4897E-05  4.6437E-01 -6.6892E-04
  1.9687E+00  5.4046E-05  5.0133E-01  1.5427E-02
  2.2148E+00  5.2692E-05  5.3250E-01  2.4742E-02
  2.4609E+00  5.4051E-05  5.5702E-01  2.7614E-02
  2.7070E+00  5.9841E-05  5.7731E-01  2.7058E-02
  2.9530E+00  7.0153E-05  5.9858E-01  2.6848E-02
  3.1991E+00  8.4399E-05  6.2432E-01  2.9572E-02
  3.4452E+00  1.0161E-04  6.5438E-01  3.6121E-02
  3.6913E+00  1.2062E-04  6.8781E-01  4.5884E-02
  3.9374E+00  1.4074E-04  7.2541E-01  5.7060E-02
  4.1835E+00  1.6184E-04  7.6833E-01  6.7343E-02
  4.4296E+00  1.8359E-04  8.1484E-01  7.4398E-02
  4.6757E+00  2.0517E-04  8.6092E-01  7.6577E-02
  4.9217E+00  2.2626E-04  9.0516E-01  7.4468E-02
  5.1678E+00  2.4757E-04  9.5097E-01  7.1342E-02
  5.4139E+00  2.6994E-04  1.0028E+00  7.1167E-02
  5.6600E+00  2.9363E-04  1.0625E+00  7.6275E-02
  5.9061E+00  3.1905E-04  1.1300E+00  8.6467E-02
  6.1522E+00  3.4720E-04  1.2064E+00  9.9481E-02
  6.3983E+00  3.7892E-04  1.2933E+00  1.1203E-01
