# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jun 29 12:38:02 2020
# diag: nrgsummary, run(s): 0016, time window: 0-349.03173(1 steps), species: protons
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4609E-01  8.1037E-06 -2.7699E-06 -1.1117E-06
  4.9218E-01  1.3163E-06 -6.2244E-06 -7.3436E-06
  7.3826E-01 -1.8323E-05 -1.0373E-05 -1.6224E-05
  9.8435E-01 -3.6821E-05 -1.4207E-05 -2.3453E-05
  1.2304E+00 -4.7388E-05 -1.7004E-05 -2.8014E-05
  1.4765E+00 -5.2906E-05 -1.8960E-05 -3.0156E-05
  1.7226E+00 -5.4897E-05 -2.0310E-05 -3.1031E-05
  1.9687E+00 -5.4046E-05 -2.1274E-05 -3.1690E-05
  2.2148E+00 -5.2692E-05 -2.2140E-05 -3.1660E-05
  2.4609E+00 -5.4051E-05 -2.3255E-05 -2.9133E-05
  2.7070E+00 -5.9841E-05 -2.4919E-05 -2.3127E-05
  2.9530E+00 -7.0153E-05 -2.7326E-05 -1.4522E-05
  3.1991E+00 -8.4399E-05 -3.0513E-05 -4.9103E-06
  3.4452E+00 -1.0161E-04 -3.4332E-05  4.0346E-06
  3.6913E+00 -1.2062E-04 -3.8559E-05  1.0677E-05
  3.9374E+00 -1.4074E-04 -4.3083E-05  1.4082E-05
  4.1835E+00 -1.6184E-04 -4.7923E-05  1.4956E-05
  4.4296E+00 -1.8359E-04 -5.3035E-05  1.5470E-05
  4.6757E+00 -2.0517E-04 -5.8245E-05  1.7751E-05
  4.9217E+00 -2.2626E-04 -6.3452E-05  2.2415E-05
  5.1678E+00 -2.4757E-04 -6.8786E-05  2.8671E-05
  5.4139E+00 -2.6994E-04 -7.4440E-05  3.5100E-05
  5.6600E+00 -2.9363E-04 -8.0491E-05  4.0056E-05
  5.9061E+00 -3.1905E-04 -8.7008E-05  4.2237E-05
  6.1522E+00 -3.4720E-04 -9.4179E-05  4.1325E-05
  6.3983E+00 -3.7892E-04 -1.0218E-04  3.8129E-05
  6.6444E+00 -4.1398E-04 -1.1096E-04  3.4353E-05
  6.8904E+00 -4.5124E-04 -1.2034E-04  3.2139E-05
  7.1365E+00 -4.9022E-04 -1.3027E-04  3.3258E-05
  7.3826E+00 -5.3246E-04 -1.4116E-04  3.8251E-05
  7.6287E+00 -5.8104E-04 -1.5368E-04  4.6300E-05
  7.8748E+00 -6.3812E-04 -1.6835E-04  5.5867E-05
  8.1209E+00 -7.0394E-04 -1.8524E-04  6.5289E-05
  8.3670E+00 -7.7767E-04 -2.0425E-04  7.3322E-05
  8.6131E+00 -8.5903E-04 -2.2542E-04  7.9805E-05
  8.8591E+00 -9.4868E-04 -2.4891E-04  8.5968E-05
  9.1052E+00 -1.0471E-03 -2.7470E-04  9.3848E-05
  9.3513E+00 -1.1544E-03 -3.0264E-04  1.0537E-04
  9.5974E+00 -1.2723E-03 -3.3309E-04  1.2139E-04
  9.8435E+00 -1.4048E-03 -3.6696E-04  1.4105E-04
  1.0090E+01 -1.5551E-03 -4.0517E-04  1.6229E-04
  1.0336E+01 -1.7248E-03 -4.4817E-04  1.8269E-04
  1.0582E+01 -1.9147E-03 -4.9632E-04  2.0029E-04
  1.0828E+01 -2.1259E-03 -5.5012E-04  2.1411E-04
  1.1074E+01 -2.3580E-03 -6.0977E-04  2.2446E-04
  1.1312E+01 -2.5988E-03 -6.7249E-04  2.3273E-04
  1.1545E+01 -2.8462E-03 -7.3799E-04  2.4160E-04
  1.1778E+01 -3.1074E-03 -8.0806E-04  2.5333E-04
  1.2010E+01 -3.3884E-03 -8.8412E-04  2.6821E-04
