# CREATED BY GENE DIAGNOSTICS TOOL on Fri Jun 12 13:26:40 2020
# diag: nrgsummary, run(s): 0008-0009, time window: 0-93.426872(1 steps), species: tungsten
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.6824E-04  2.5139E-05  1.4071E-06
  7.1600E-02  9.5412E-05  1.3683E-05  8.0140E-07
  1.0740E-01  5.1921E-05  6.8996E-06  9.8277E-07
  1.4320E-01  1.0156E-04  1.4251E-05  1.1529E-06
  1.7900E-01  1.4939E-04  2.0874E-05  5.9560E-07
  2.1480E-01  1.5272E-04  2.0628E-05 -1.0142E-06
  2.5060E-01  1.4364E-04  1.8749E-05 -5.0807E-06
  2.8640E-01  1.5944E-04  2.0824E-05 -1.0275E-05
  3.2220E-01  1.8162E-04  2.3713E-05 -1.6759E-05
  3.5800E-01  1.9219E-04  2.4734E-05 -2.7919E-05
  3.9380E-01  1.9392E-04  2.4380E-05 -4.0902E-05
  4.2960E-01  1.9764E-04  2.4369E-05 -5.9493E-05
  4.6540E-01  2.0638E-04  2.5146E-05 -7.5682E-05
  5.0120E-01  2.1358E-04  2.5523E-05 -1.0286E-04
  5.3700E-01  2.2092E-04  2.6060E-05 -1.2613E-04
  5.7280E-01  2.2142E-04  2.5495E-05 -1.5358E-04
  6.0860E-01  2.3054E-04  2.6471E-05 -1.9317E-04
  6.4440E-01  2.3245E-04  2.6125E-05 -2.2471E-04
  6.8020E-01  2.2978E-04  2.4937E-05 -2.6185E-04
  7.1600E-01  2.2959E-04  2.4307E-05 -3.1037E-04
  7.5180E-01  2.3594E-04  2.5080E-05 -3.4166E-04
  7.8760E-01  2.3699E-04  2.4519E-05 -3.9337E-04
  8.2340E-01  2.2903E-04  2.2494E-05 -4.5137E-04
  8.5920E-01  2.2793E-04  2.1748E-05 -5.0479E-04
  8.9500E-01  2.2936E-04  2.1313E-05 -5.5226E-04
  9.3080E-01  2.2651E-04  2.0427E-05 -6.1697E-04
  9.6660E-01  2.2274E-04  1.9302E-05 -6.7952E-04
  1.0024E+00  2.2188E-04  1.8458E-05 -7.1797E-04
  1.0382E+00  2.1964E-04  1.7443E-05 -7.8417E-04
  1.0740E+00  2.1469E-04  1.5957E-05 -8.6143E-04
  1.1098E+00  2.0483E-04  1.3877E-05 -8.9215E-04
  1.1456E+00  2.0115E-04  1.2885E-05 -9.5631E-04
  1.1814E+00  2.0230E-04  1.2374E-05 -1.0379E-03
  1.2172E+00  1.9971E-04  1.0984E-05 -1.1441E-03
  1.2530E+00  1.9238E-04  9.1074E-06 -1.1950E-03
  1.2888E+00  1.8130E-04  6.9689E-06 -1.2429E-03
  1.3246E+00  1.7418E-04  5.6469E-06 -1.2414E-03
  1.3604E+00  1.7192E-04  4.5944E-06 -1.2809E-03
