# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:23:34 2020
# diag: nrgsummary, run(s): 0008-0009, time window: 0-93.426872(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.5469E-01  2.2950E-01  8.9629E-05
  7.1600E-02  8.1118E-02  1.3740E-01  3.9541E-05
  1.0740E-01  3.6043E-02  7.1756E-02  3.5249E-05
  1.4320E-01  7.9044E-02  1.3392E-01  5.6800E-05
  1.7900E-01  1.2100E-01  2.0877E-01  4.2173E-05
  2.1480E-01  1.2122E-01  2.2758E-01 -3.5233E-05
  2.5060E-01  1.1075E-01  2.2430E-01 -2.1969E-04
  2.8640E-01  1.2472E-01  2.5213E-01 -4.0859E-04
  3.2220E-01  1.4530E-01  2.9348E-01 -6.2303E-04
  3.5800E-01  1.5501E-01  3.2242E-01 -1.0556E-03
  3.9380E-01  1.5630E-01  3.4016E-01 -1.5433E-03
  4.2960E-01  1.5949E-01  3.5904E-01 -2.3001E-03
  4.6540E-01  1.6799E-01  3.8626E-01 -2.8128E-03
  5.0120E-01  1.7490E-01  4.1381E-01 -3.9421E-03
  5.3700E-01  1.8295E-01  4.4163E-01 -4.6895E-03
  5.7280E-01  1.8468E-01  4.6148E-01 -5.7366E-03
  6.0860E-01  1.9588E-01  4.9042E-01 -7.2543E-03
  6.4440E-01  2.0038E-01  5.1850E-01 -8.4239E-03
  6.8020E-01  2.0134E-01  5.4325E-01 -9.6031E-03
  7.1600E-01  2.0325E-01  5.6247E-01 -1.1432E-02
  7.5180E-01  2.1323E-01  5.8856E-01 -1.2312E-02
  7.8760E-01  2.1929E-01  6.2233E-01 -1.4434E-02
  8.2340E-01  2.1491E-01  6.3996E-01 -1.6745E-02
  8.5920E-01  2.1709E-01  6.6332E-01 -1.8407E-02
  8.9500E-01  2.2133E-01  6.8970E-01 -1.9875E-02
  9.3080E-01  2.2274E-01  7.0860E-01 -2.2359E-02
  9.6660E-01  2.2551E-01  7.3541E-01 -2.4358E-02
  1.0024E+00  2.3168E-01  7.7062E-01 -2.5672E-02
  1.0382E+00  2.3390E-01  7.9508E-01 -2.7976E-02
  1.0740E+00  2.3374E-01  8.2131E-01 -3.0253E-02
  1.1098E+00  2.2767E-01  8.3226E-01 -3.0349E-02
  1.1456E+00  2.3051E-01  8.5457E-01 -3.2247E-02
  1.1814E+00  2.3850E-01  8.9229E-01 -3.5406E-02
  1.2172E+00  2.4058E-01  9.2849E-01 -3.9615E-02
  1.2530E+00  2.3683E-01  9.4771E-01 -4.0928E-02
  1.2888E+00  2.3029E-01  9.5436E-01 -4.1044E-02
  1.3246E+00  2.2719E-01  9.6120E-01 -3.8854E-02
  1.3604E+00  2.3507E-01  1.0061E+00 -4.0417E-02
  1.3962E+00  2.4354E-01  1.0541E+00 -4.4655E-02
  1.4320E+00  2.4166E-01  1.0749E+00 -4.7291E-02
  1.4678E+00  2.3852E-01  1.0946E+00 -4.9003E-02
  1.5036E+00  2.3500E-01  1.1099E+00 -4.8926E-02
  1.5394E+00  2.3439E-01  1.1336E+00 -4.8340E-02
  1.5752E+00  2.3648E-01  1.1650E+00 -4.8127E-02
  1.6110E+00  2.4084E-01  1.2008E+00 -5.0252E-02
  1.6468E+00  2.3611E-01  1.2205E+00 -4.9402E-02
  1.6826E+00  2.3620E-01  1.2460E+00 -5.0067E-02
  1.7184E+00  2.3946E-01  1.2807E+00 -5.0842E-02
  1.7542E+00  2.3972E-01  1.3132E+00 -5.2254E-02
  1.7900E+00  2.3769E-01  1.3356E+00 -5.1868E-02
  1.8258E+00  2.3832E-01  1.3626E+00 -5.1730E-02
  1.8616E+00  2.4288E-01  1.4014E+00 -5.1309E-02
  1.8974E+00  2.4321E-01  1.4364E+00 -5.2505E-02
  1.9332E+00  2.4089E-01  1.4642E+00 -5.1911E-02
  1.9690E+00  2.4127E-01  1.5015E+00 -5.1902E-02
  2.0048E+00  2.3837E-01  1.5296E+00 -5.2115E-02
  2.0406E+00  2.3723E-01  1.5525E+00 -5.0823E-02
  2.0764E+00  2.3776E-01  1.5802E+00 -4.9717E-02
  2.1122E+00  2.4053E-01  1.6131E+00 -4.9016E-02
  2.1480E+00  2.4303E-01  1.6490E+00 -4.8925E-02
  2.1838E+00  2.4366E-01  1.6838E+00 -4.8502E-02
  2.2196E+00  2.4718E-01  1.7252E+00 -4.8507E-02
  2.2554E+00  2.4897E-01  1.7703E+00 -4.8202E-02
  2.2912E+00  2.5021E-01  1.8090E+00 -4.7177E-02
  2.3270E+00  2.5177E-01  1.8486E+00 -4.6278E-02
  2.3628E+00  2.5185E-01  1.8878E+00 -4.5545E-02
  2.3986E+00  2.5446E-01  1.9296E+00 -4.4876E-02
  2.4344E+00  2.5720E-01  1.9716E+00 -4.4412E-02
  2.4702E+00  2.5771E-01  2.0116E+00 -4.2334E-02
  2.5060E+00  2.5946E-01  2.0542E+00 -3.9988E-02
  2.5418E+00  2.6314E-01  2.0984E+00 -3.8762E-02
  2.5776E+00  2.6695E-01  2.1528E+00 -3.8659E-02
  2.6134E+00  2.7037E-01  2.2098E+00 -3.7688E-02
  2.6492E+00  2.7385E-01  2.2606E+00 -3.5890E-02
  2.6850E+00  2.7735E-01  2.3141E+00 -3.3567E-02
  2.7208E+00  2.8157E-01  2.3714E+00 -3.2515E-02
  2.7566E+00  2.8388E-01  2.4197E+00 -3.1319E-02
  2.7924E+00  2.8623E-01  2.4669E+00 -2.9433E-02
  2.8282E+00  2.9077E-01  2.5266E+00 -2.8412E-02
  2.8640E+00  2.9488E-01  2.5910E+00 -2.6202E-02
  2.8998E+00  2.9825E-01  2.6491E+00 -2.3211E-02
  2.9356E+00  3.0405E-01  2.7139E+00 -2.1090E-02
  2.9714E+00  3.0779E-01  2.7753E+00 -1.8523E-02
