# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 20:51:03 2020
# diag: nrgsummary, run(s): 0018, time window: 0-160.01151(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4919E-01 -3.8878E-04  9.9501E-02 -2.8161E-03
  4.9839E-01 -4.6699E-04  1.7995E-01 -1.5852E-02
  7.4758E-01 -2.7028E-04  2.4424E-01 -2.9803E-02
  9.9678E-01  2.4182E-04  2.9951E-01 -3.5259E-02
  1.2460E+00  8.3312E-04  3.4802E-01 -3.0374E-02
  1.4952E+00  1.4162E-03  3.8963E-01 -1.7537E-02
  1.7444E+00  1.8900E-03  4.2480E-01 -1.8202E-03
  1.9936E+00  2.1177E-03  4.5494E-01  1.2057E-02
  2.2428E+00  2.0646E-03  4.8054E-01  2.1655E-02
  2.4919E+00  1.8435E-03  5.0100E-01  2.6669E-02
  2.7411E+00  1.6973E-03  5.1701E-01  2.8339E-02
  2.9903E+00  1.8473E-03  5.3163E-01  2.8812E-02
  3.2395E+00  2.3336E-03  5.4808E-01  3.0177E-02
  3.4887E+00  2.9863E-03  5.6760E-01  3.3725E-02
  3.7379E+00  3.5597E-03  5.8991E-01  3.9767E-02
  3.9871E+00  3.9246E-03  6.1499E-01  4.7693E-02
  4.2363E+00  4.1334E-03  6.4339E-01  5.6242E-02
  4.4855E+00  4.2931E-03  6.7497E-01  6.3844E-02
  4.7347E+00  4.4518E-03  7.0805E-01  6.9028E-02
  4.9839E+00  4.6365E-03  7.4084E-01  7.1143E-02
  5.2331E+00  4.9123E-03  7.7358E-01  7.1046E-02
  5.4823E+00  5.3712E-03  8.0863E-01  7.0796E-02
  5.7315E+00  6.1047E-03  8.4844E-01  7.2423E-02
  5.9807E+00  7.1978E-03  8.9428E-01  7.6924E-02
  6.2299E+00  8.7172E-03  9.4673E-01  8.4071E-02
  6.4791E+00  1.0684E-02  1.0065E+00  9.2757E-02
  6.7283E+00  1.3063E-02  1.0741E+00  1.0147E-01
  6.9775E+00  1.5788E-02  1.1491E+00  1.0876E-01
  7.2267E+00  1.8775E-02  1.2298E+00  1.1379E-01
  7.4758E+00  2.1928E-02  1.3160E+00  1.1692E-01
  7.7250E+00  2.5195E-02  1.4092E+00  1.1972E-01
  7.9742E+00  2.8615E-02  1.5128E+00  1.2438E-01
  8.2234E+00  3.2270E-02  1.6300E+00  1.3275E-01
  8.4726E+00  3.6237E-02  1.7627E+00  1.4570E-01
  8.7218E+00  4.0557E-02  1.9120E+00  1.6288E-01
  8.9710E+00  4.5232E-02  2.0790E+00  1.8295E-01
  9.2202E+00  5.0245E-02  2.2638E+00  2.0399E-01
  9.4694E+00  5.5530E-02  2.4653E+00  2.2417E-01
  9.7186E+00  6.0971E-02  2.6822E+00  2.4254E-01
  9.9678E+00  6.6552E-02  2.9156E+00  2.5970E-01
  1.0217E+01  7.2457E-02  3.1704E+00  2.7773E-01
  1.0466E+01  7.8914E-02  3.4535E+00  2.9922E-01
  1.0715E+01  8.6097E-02  3.7708E+00  3.2593E-01
  1.0965E+01  9.4152E-02  4.1268E+00  3.5793E-01
  1.1214E+01  1.0305E-01  4.5239E+00  3.9345E-01
  1.1463E+01  1.1267E-01  4.9634E+00  4.2937E-01
  1.1712E+01  1.2291E-01  5.4447E+00  4.6236E-01
  1.1961E+01  1.3358E-01  5.9659E+00  4.9019E-01
  1.2211E+01  1.4463E-01  6.5282E+00  5.1290E-01
  1.2460E+01  1.5610E-01  7.1384E+00  5.3292E-01
  1.2709E+01  1.6828E-01  7.8078E+00  5.5371E-01
  1.2958E+01  1.8159E-01  8.5480E+00  5.7700E-01
  1.3207E+01  1.9641E-01  9.3680E+00  6.0156E-01
  1.3455E+01  2.1291E-01  1.0269E+01  6.2337E-01
  1.3692E+01  2.3049E-01  1.1210E+01  6.3685E-01
  1.3928E+01  2.5001E-01  1.2231E+01  6.3856E-01
  1.4165E+01  2.7154E-01  1.3329E+01  6.2479E-01
  1.4393E+01  2.9431E-01  1.4457E+01  5.9528E-01
  1.4617E+01  3.1878E-01  1.5633E+01  5.5064E-01
  1.4841E+01  3.4541E-01  1.6880E+01  4.9120E-01
  1.5065E+01  3.7438E-01  1.8202E+01  4.1766E-01
  1.5289E+01  4.0577E-01  1.9604E+01  3.2924E-01
  1.5513E+01  4.3966E-01  2.1088E+01  2.2309E-01
  1.5735E+01  4.7567E-01  2.2634E+01  9.5962E-02
  1.5948E+01  5.1251E-01  2.4182E+01 -5.1026E-02
  1.6160E+01  5.5174E-01  2.5786E+01 -2.2593E-01
  1.6373E+01  5.9346E-01  2.7433E+01 -4.3071E-01
  1.6584E+01  6.3747E-01  2.9099E+01 -6.6520E-01
  1.6786E+01  6.8177E-01  3.0699E+01 -9.1758E-01
  1.6987E+01  7.2846E-01  3.2297E+01 -1.1972E+00
  1.7189E+01  7.7756E-01  3.3889E+01 -1.5027E+00
  1.7390E+01  8.2912E-01  3.5474E+01 -1.8323E+00
  1.7592E+01  8.8309E-01  3.7051E+01 -2.1841E+00
  1.7793E+01  9.3901E-01  3.8621E+01 -2.5554E+00
  1.7995E+01  9.9616E-01  4.0174E+01 -2.9428E+00
  1.8197E+01  1.0532E+00  4.1701E+01 -3.3449E+00
  1.8398E+01  1.1087E+00  4.3185E+01 -3.7606E+00
  1.8600E+01  1.1617E+00  4.4606E+01 -4.1851E+00
  1.8801E+01  1.2115E+00  4.5948E+01 -4.6132E+00
  1.9003E+01  1.2576E+00  4.7205E+01 -5.0372E+00
  1.9205E+01  1.3003E+00  4.8384E+01 -5.4416E+00
  1.9406E+01  1.3413E+00  4.9504E+01 -5.8078E+00
  1.9608E+01  1.3823E+00  5.0585E+01 -6.1259E+00
  1.9809E+01  1.4258E+00  5.1640E+01 -6.3994E+00
  2.0002E+01  1.4717E+00  5.2620E+01 -6.6267E+00
  2.0193E+01  1.5204E+00  5.3553E+01 -6.8249E+00
  2.0384E+01  1.5703E+00  5.4414E+01 -6.9949E+00
  2.0576E+01  1.6198E+00  5.5165E+01 -7.1369E+00
  2.0765E+01  1.6679E+00  5.5764E+01 -7.2475E+00
  2.0946E+01  1.7127E+00  5.6175E+01 -7.3178E+00
