# CREATED BY GENE DIAGNOSTICS TOOL on Tue Aug 25 12:01:14 2020
# diag: nrgsummary, run(s): 0018, time window: 0-160.01151(1 steps), species: tungsten
# original data path: /global/cscratch1/sd/stirkas/genecode/prob_impITG/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4919E-01  9.7195E-06 -2.0192E-06 -3.3332E-05
  4.9839E-01  1.1675E-05 -3.9349E-06 -2.1431E-04
  7.4758E-01  6.7571E-06 -5.9411E-06 -4.7297E-04
  9.9678E-01 -6.0455E-06 -8.8299E-06 -6.7217E-04
  1.2460E+00 -2.0828E-05 -1.1974E-05 -7.7501E-04
  1.4952E+00 -3.5406E-05 -1.4925E-05 -7.9372E-04
  1.7444E+00 -4.7250E-05 -1.7226E-05 -7.6577E-04
  1.9936E+00 -5.2942E-05 -1.8434E-05 -7.1836E-04
  2.2428E+00 -5.1616E-05 -1.8481E-05 -6.4136E-04
  2.4919E+00 -4.6087E-05 -1.7789E-05 -4.9738E-04
  2.7411E+00 -4.2431E-05 -1.7264E-05 -2.5803E-04
  2.9903E+00 -4.6182E-05 -1.7791E-05  6.9338E-05
  3.2395E+00 -5.8339E-05 -1.9598E-05  4.4920E-04
  3.4887E+00 -7.4656E-05 -2.2095E-05  8.3401E-04
  3.7379E+00 -8.8991E-05 -2.4385E-05  1.1691E-03
  3.9871E+00 -9.8115E-05 -2.6013E-05  1.4037E-03
  4.2363E+00 -1.0333E-04 -2.7225E-05  1.5216E-03
  4.4855E+00 -1.0733E-04 -2.8454E-05  1.5537E-03
  4.7347E+00 -1.1130E-04 -2.9851E-05  1.5548E-03
  4.9839E+00 -1.1591E-04 -3.1441E-05  1.5717E-03
  5.2331E+00 -1.2281E-04 -3.3402E-05  1.6279E-03
  5.4823E+00 -1.3428E-04 -3.6060E-05  1.7206E-03
  5.7315E+00 -1.5262E-04 -3.9772E-05  1.8208E-03
  5.9807E+00 -1.7994E-04 -4.4865E-05  1.8870E-03
  6.2299E+00 -2.1793E-04 -5.1598E-05  1.8928E-03
  6.4791E+00 -2.6711E-04 -6.0081E-05  1.8451E-03
  6.7283E+00 -3.2657E-04 -7.0229E-05  1.7835E-03
  6.9775E+00 -3.9469E-04 -8.1828E-05  1.7703E-03
  7.2267E+00 -4.6937E-04 -9.4576E-05  1.8734E-03
  7.4758E+00 -5.4819E-04 -1.0812E-04  2.1387E-03
  7.7250E+00 -6.2988E-04 -1.2229E-04  2.5677E-03
  7.9742E+00 -7.1537E-04 -1.3725E-04  3.1199E-03
  8.2234E+00 -8.0675E-04 -1.5333E-04  3.7349E-03
  8.4726E+00 -9.0592E-04 -1.7081E-04  4.3468E-03
  8.7218E+00 -1.0139E-03 -1.8983E-04  4.8985E-03
  8.9710E+00 -1.1308E-03 -2.1043E-04  5.3655E-03
  9.2202E+00 -1.2561E-03 -2.3257E-04  5.7654E-03
  9.4694E+00 -1.3883E-03 -2.5603E-04  6.1386E-03
  9.7186E+00 -1.5243E-03 -2.8034E-04  6.5266E-03
  9.9678E+00 -1.6638E-03 -3.0537E-04  6.9574E-03
  1.0217E+01 -1.8114E-03 -3.3180E-04  7.4289E-03
  1.0466E+01 -1.9729E-03 -3.6053E-04  7.9001E-03
  1.0715E+01 -2.1524E-03 -3.9229E-04  8.3013E-03
  1.0965E+01 -2.3538E-03 -4.2768E-04  8.5770E-03
  1.1214E+01 -2.5762E-03 -4.6668E-04  8.7062E-03
  1.1463E+01 -2.8168E-03 -5.0890E-04  8.7080E-03
  1.1712E+01 -3.0727E-03 -5.5393E-04  8.6370E-03
  1.1961E+01 -3.3396E-03 -6.0106E-04  8.5544E-03
  1.2211E+01 -3.6157E-03 -6.4990E-04  8.5098E-03
  1.2460E+01 -3.9024E-03 -7.0066E-04  8.5090E-03
  1.2709E+01 -4.2070E-03 -7.5432E-04  8.5125E-03
  1.2958E+01 -4.5397E-03 -8.1242E-04  8.4347E-03
  1.3207E+01 -4.9101E-03 -8.7637E-04  8.1438E-03
  1.3455E+01 -5.3228E-03 -9.4699E-04  7.5265E-03
  1.3692E+01 -5.7623E-03 -1.0218E-03  6.5754E-03
  1.3928E+01 -6.2501E-03 -1.1045E-03  5.2790E-03
  1.4165E+01 -6.7886E-03 -1.1956E-03  3.7225E-03
  1.4393E+01 -7.3578E-03 -1.2915E-03  2.0952E-03
  1.4617E+01 -7.9694E-03 -1.3943E-03  5.0182E-04
