# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:23:34 2020
# diag: nrgsummary, run(s): 0008-0009, time window: 0-93.426872(1 steps), species: electrons
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5800E-02  1.6142E-01  2.3449E-01  2.3068E-05
  7.1600E-02  8.4933E-02  1.1238E-01  6.1320E-06
  1.0740E-01  3.8120E-02  4.3518E-02  3.5810E-06
  1.4320E-01  8.3107E-02  1.1369E-01  7.9830E-06
  1.7900E-01  1.2697E-01  1.7969E-01  2.5679E-05
  2.1480E-01  1.2733E-01  1.7994E-01  3.2213E-05
  2.5060E-01  1.1649E-01  1.6483E-01  2.9791E-05
  2.8640E-01  1.3109E-01  1.8671E-01  2.6384E-05
  3.2220E-01  1.5257E-01  2.1658E-01  2.4024E-05
  3.5800E-01  1.6270E-01  2.2817E-01  2.7193E-05
  3.9380E-01  1.6406E-01  2.2613E-01  3.2228E-05
  4.2960E-01  1.6740E-01  2.2795E-01  3.3347E-05
  4.6540E-01  1.7625E-01  2.3812E-01  3.9180E-05
  5.0120E-01  1.8345E-01  2.4594E-01  4.2225E-05
  5.3700E-01  1.9179E-01  2.5580E-01  4.9130E-05
  5.7280E-01  1.9354E-01  2.5613E-01  5.3340E-05
  6.0860E-01  2.0510E-01  2.7155E-01  5.5547E-05
  6.4440E-01  2.0968E-01  2.7273E-01  4.8037E-05
  6.8020E-01  2.1054E-01  2.7058E-01  5.2367E-05
  7.1600E-01  2.1243E-01  2.6973E-01  5.4847E-05
  7.5180E-01  2.2267E-01  2.8208E-01  5.3433E-05
  7.8760E-01  2.2876E-01  2.8557E-01  4.7044E-05
  8.2340E-01  2.2407E-01  2.7297E-01  4.4268E-05
  8.5920E-01  2.2621E-01  2.7455E-01  5.0428E-05
  8.9500E-01  2.3050E-01  2.7899E-01  5.5118E-05
  9.3080E-01  2.3180E-01  2.7716E-01  4.6597E-05
  9.6660E-01  2.3443E-01  2.7638E-01  4.9169E-05
  1.0024E+00  2.4056E-01  2.7915E-01  5.7195E-05
  1.0382E+00  2.4269E-01  2.7774E-01  5.4273E-05
  1.0740E+00  2.4232E-01  2.7449E-01  4.8740E-05
  1.1098E+00  2.3585E-01  2.6204E-01  4.6589E-05
  1.1456E+00  2.3856E-01  2.6351E-01  5.7250E-05
  1.1814E+00  2.4660E-01  2.7212E-01  6.5700E-05
  1.2172E+00  2.4856E-01  2.7184E-01  6.1570E-05
  1.2530E+00  2.4453E-01  2.6308E-01  5.2220E-05
  1.2888E+00  2.3755E-01  2.5129E-01  5.1160E-05
  1.3246E+00  2.3416E-01  2.4537E-01  4.7460E-05
  1.3604E+00  2.4194E-01  2.5401E-01  5.7590E-05
  1.3962E+00  2.5041E-01  2.6029E-01  6.4970E-05
  1.4320E+00  2.4825E-01  2.5307E-01  5.5490E-05
  1.4678E+00  2.4471E-01  2.4548E-01  5.6960E-05
  1.5036E+00  2.4085E-01  2.3604E-01  6.4400E-05
  1.5394E+00  2.3998E-01  2.3319E-01  4.1580E-05
