# CREATED BY GENE DIAGNOSTICS TOOL on Tue Sep 29 17:23:14 2020
# diag: nrgsummary, run(s): 0006-0007, time window: 0-78.435131(1 steps), species: ions
# original data path: /home/stirkas/Workspace/GENE/genecode/Archives/ImpurityRuns/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3742E-02  1.7251E-01  2.5692E-01  9.1160E-05
  6.7484E-02  8.9325E-02  1.5040E-01  2.9577E-05
  1.0123E-01  3.6061E-02  7.2009E-02  1.9022E-05
  1.3497E-01  8.1816E-02  1.3661E-01  3.6025E-05
  1.6871E-01  1.3061E-01  2.2020E-01  5.2413E-05
  2.0245E-01  1.3529E-01  2.4611E-01 -2.0170E-05
  2.3619E-01  1.2218E-01  2.3994E-01 -2.3253E-04
  2.6994E-01  1.3415E-01  2.6427E-01 -3.5740E-04
  3.0368E-01  1.5744E-01  3.0843E-01 -4.7975E-04
  3.3742E-01  1.6955E-01  3.4069E-01 -8.1604E-04
  3.7116E-01  1.7076E-01  3.5898E-01 -1.3828E-03
  4.0491E-01  1.7077E-01  3.7387E-01 -1.9605E-03
  4.3865E-01  1.7786E-01  3.9896E-01 -2.9210E-03
  4.7239E-01  1.8799E-01  4.3100E-01 -3.5231E-03
  5.0613E-01  1.9479E-01  4.5811E-01 -4.3626E-03
  5.3987E-01  2.0255E-01  4.8431E-01 -5.4889E-03
  5.7362E-01  2.0639E-01  5.0635E-01 -6.5868E-03
  6.0736E-01  2.1671E-01  5.3944E-01 -8.1436E-03
  6.4110E-01  2.1479E-01  5.6087E-01 -9.3413E-03
  6.7484E-01  2.1825E-01  5.8499E-01 -1.0719E-02
  7.0859E-01  2.2420E-01  6.0800E-01 -1.2686E-02
  7.4233E-01  2.3139E-01  6.3319E-01 -1.3332E-02
  7.7607E-01  2.3327E-01  6.6820E-01 -1.5685E-02
  8.0981E-01  2.2639E-01  6.8280E-01 -1.8083E-02
  8.4355E-01  2.3456E-01  7.0798E-01 -1.9942E-02
  8.7730E-01  2.4495E-01  7.4562E-01 -2.1215E-02
  9.1104E-01  2.3860E-01  7.5967E-01 -2.3977E-02
  9.4478E-01  2.3303E-01  7.7618E-01 -2.6075E-02
  9.7852E-01  2.4228E-01  8.1496E-01 -2.7635E-02
  1.0123E+00  2.5058E-01  8.4691E-01 -2.9813E-02
  1.0460E+00  2.5314E-01  8.7387E-01 -3.1848E-02
  1.0797E+00  2.4378E-01  8.9188E-01 -3.3977E-02
  1.1135E+00  2.3643E-01  9.0058E-01 -3.3602E-02
  1.1472E+00  2.4515E-01  9.3108E-01 -3.6761E-02
  1.1810E+00  2.5427E-01  9.7343E-01 -3.9882E-02
  1.2147E+00  2.5575E-01  1.0127E+00 -4.4227E-02
  1.2485E+00  2.4767E-01  1.0253E+00 -4.4507E-02
  1.2822E+00  2.3996E-01  1.0265E+00 -4.4538E-02
  1.3159E+00  2.3823E-01  1.0347E+00 -4.1851E-02
  1.3497E+00  2.4855E-01  1.0880E+00 -4.4320E-02
  1.3834E+00  2.5715E-01  1.1427E+00 -4.8817E-02
  1.4172E+00  2.5359E-01  1.1604E+00 -5.0539E-02
  1.4509E+00  2.5073E-01  1.1792E+00 -5.2651E-02
  1.4847E+00  2.4650E-01  1.1952E+00 -5.2501E-02
  1.5184E+00  2.4435E-01  1.2155E+00 -5.1833E-02
  1.5521E+00  2.4742E-01  1.2511E+00 -5.1554E-02
  1.5859E+00  2.5537E-01  1.2952E+00 -5.3895E-02
  1.6196E+00  2.5076E-01  1.3172E+00 -5.3176E-02
  1.6534E+00  2.4694E-01  1.3384E+00 -5.2959E-02
  1.6871E+00  2.4871E-01  1.3699E+00 -5.4205E-02
  1.7208E+00  2.5084E-01  1.4053E+00 -5.4996E-02
  1.7546E+00  2.5103E-01  1.4368E+00 -5.5750E-02
  1.7883E+00  2.5079E-01  1.4619E+00 -5.4993E-02
  1.8221E+00  2.5339E-01  1.4950E+00 -5.4325E-02
  1.8558E+00  2.5678E-01  1.5381E+00 -5.4977E-02
  1.8896E+00  2.5533E-01  1.5717E+00 -5.6325E-02
  1.9233E+00  2.5441E-01  1.6028E+00 -5.5088E-02
  1.9570E+00  2.5535E-01  1.6445E+00 -5.5262E-02
  1.9908E+00  2.5145E-01  1.6736E+00 -5.5610E-02
  2.0245E+00  2.4993E-01  1.6952E+00 -5.3438E-02
  2.0583E+00  2.5330E-01  1.7279E+00 -5.2474E-02
  2.0920E+00  2.5753E-01  1.7670E+00 -5.2151E-02
  2.1258E+00  2.5948E-01  1.8055E+00 -5.2173E-02
  2.1595E+00  2.5851E-01  1.8390E+00 -5.1468E-02
  2.1932E+00  2.6306E-01  1.8832E+00 -5.1179E-02
  2.2270E+00  2.6752E-01  1.9353E+00 -5.1593E-02
  2.2607E+00  2.6685E-01  1.9791E+00 -5.0447E-02
  2.2945E+00  2.6817E-01  2.0197E+00 -4.8984E-02
  2.3282E+00  2.6992E-01  2.0625E+00 -4.7905E-02
  2.3619E+00  2.7270E-01  2.1053E+00 -4.6959E-02
