# CREATED BY GENE DIAGNOSTICS TOOL on Sun Dec 13 19:48:04 2020
# diag: nrgsummary, run(s): 0021-0026, time window: 0-34.793562(1 steps), species: electrons
# original data path: /global/cscratch1/sd/stirkas/genecode/etgOld/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.9700E-04  3.2970E-03  4.5513E-01  4.4123E-05
  9.5800E-04  6.7111E-03  6.8535E-01  1.2141E-04
  1.4180E-03  1.0194E-02  8.9524E-01  1.6256E-04
  1.8770E-03  1.3481E-02  1.1165E+00  3.1403E-04
  2.3360E-03  1.6418E-02  1.2711E+00  5.2046E-04
  2.7960E-03  1.9199E-02  1.3853E+00  6.9929E-04
  3.2550E-03  2.2035E-02  1.4846E+00  9.2063E-04
  3.7150E-03  2.5190E-02  1.5600E+00  1.1544E-03
  4.1740E-03  2.8895E-02  1.6308E+00  1.4019E-03
  4.6330E-03  3.3251E-02  1.6849E+00  1.6808E-03
  5.0930E-03  3.7931E-02  1.7369E+00  1.8946E-03
  5.5520E-03  4.2718E-02  1.8046E+00  2.2289E-03
  6.0180E-03  4.7097E-02  1.8711E+00  2.5495E-03
  6.5010E-03  5.1338E-02  1.9252E+00  2.7006E-03
  6.9830E-03  5.4993E-02  1.9757E+00  2.9044E-03
  7.4650E-03  5.9094E-02  2.0522E+00  3.2947E-03
  7.9470E-03  6.2845E-02  2.1430E+00  3.7301E-03
  8.4300E-03  6.7204E-02  2.1871E+00  3.3520E-03
  8.9120E-03  7.1182E-02  2.2166E+00  3.6889E-03
  9.3940E-03  7.5166E-02  2.3165E+00  4.3037E-03
  9.8770E-03  7.9315E-02  2.3763E+00  4.3792E-03
  1.0359E-02  8.4505E-02  2.3797E+00  3.8179E-03
  1.0849E-02  9.0276E-02  2.4298E+00  4.0193E-03
  1.1355E-02  9.6660E-02  2.5510E+00  5.0692E-03
  1.1862E-02  1.0309E-01  2.6084E+00  4.6528E-03
  1.2368E-02  1.1066E-01  2.6430E+00  5.0811E-03
  1.2874E-02  1.1755E-01  2.7195E+00  6.2139E-03
  1.3381E-02  1.2308E-01  2.7909E+00  6.2787E-03
  1.3887E-02  1.2847E-01  2.8572E+00  6.2679E-03
  1.4394E-02  1.3366E-01  2.9186E+00  7.3810E-03
  1.4900E-02  1.3845E-01  2.9583E+00  7.4202E-03
  1.5407E-02  1.4440E-01  3.0143E+00  6.3357E-03
  1.5921E-02  1.5056E-01  3.0703E+00  6.4633E-03
  1.6452E-02  1.5678E-01  3.1436E+00  7.3786E-03
  1.6984E-02  1.6326E-01  3.1956E+00  7.4142E-03
  1.7516E-02  1.6894E-01  3.2245E+00  7.1365E-03
  1.8048E-02  1.7452E-01  3.2480E+00  7.2157E-03
  1.8579E-02  1.7882E-01  3.3068E+00  7.6939E-03
  1.9111E-02  1.8306E-01  3.3629E+00  7.3668E-03
  1.9643E-02  1.8661E-01  3.3818E+00  7.0311E-03
  2.0175E-02  1.8972E-01  3.4000E+00  7.3135E-03
  2.0706E-02  1.9236E-01  3.4232E+00  7.1340E-03
  2.1246E-02  1.9467E-01  3.4312E+00  7.5221E-03
  2.1805E-02  1.9704E-01  3.5229E+00  8.1588E-03
  2.2363E-02  1.9969E-01  3.5594E+00  7.9040E-03
  2.2921E-02  2.0193E-01  3.5339E+00  8.5999E-03
  2.3480E-02  2.0369E-01  3.5441E+00  9.0173E-03
